# Time : Sat Jun 18 15:52:17 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : AH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xfe24378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xfe24490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,9.8275862069,1,0,0,3.55947804451,0 
1,0.51724137931,1,0,0,4.49561285973,0 
2,7.75862068966,1,1,0,3.32792901993,0 
3,12.9310344828,1,1,0,2.96272706985,0 
4,11.8965517241,1,0,1,4.06122517586,0 
5,9.8275862069,1,1,0,3.83195590973,0 
6,7.75862068966,1,0,1,3.75177812576,0 
7,7.75862068966,1,0,1,3.69597411156,0 
8,5.68965517241,1,1,1,3.40794897079,0 
9,1.55172413793,0,0,0,3.79187321663,0 
10,9.8275862069,1,1,0,3.29574394226,0 
11,4.65517241379,1,0,1,3.80009293556,0 
12,1.55172413793,1,1,0,3.06449389458,0 
13,10.8620689655,1,0,1,4.03124499321,0 
14,1.55172413793,1,1,1,3.36796998978,0 
15,5.68965517241,1,1,0,3.73612213135,0 
16,9.8275862069,1,0,0,3.5926220417,0 
17,12.9310344828,1,1,0,3.34279203415,0 
18,3.62068965517,1,1,0,3.21974802017,0 
19,2.58620689655,1,0,1,3.45199203491,0 
20,6.72413793103,1,0,0,3.56795096397,0 
21,4.65517241379,1,1,1,3.63167500496,0 
22,13.9655172414,1,1,0,3.62415885925,0 
23,3.62068965517,1,1,1,3.31981301308,0 
24,2.58620689655,1,0,1,3.59187912941,0 
25,1.55172413793,1,0,1,3.97589993477,0 
26,12.9310344828,1,1,1,3.53593397141,0 
27,7.75862068966,0,1,1,3.34396314621,0 
28,8.79310344828,1,0,0,3.4558839798,0 
29,9.8275862069,1,1,0,3.27188611031,0 
30,9.8275862069,1,0,0,3.5520029068,0 
31,5.68965517241,0,1,1,3.71977996826,0 
32,5.68965517241,0,0,0,3.93605303764,0 
33,13.9655172414,1,1,1,3.70381307602,0 
34,3.62068965517,1,0,0,3.55991411209,0 
35,5.68965517241,1,0,1,3.74379897118,0 
36,10.8620689655,1,1,1,3.47557401657,0 
37,0.51724137931,1,0,0,3.53233003616,0 
38,6.72413793103,1,0,1,3.71994018555,0 
39,4.65517241379,0,1,1,3.49583506584,0 
40,8.79310344828,1,0,0,3.43990206718,0 
41,6.72413793103,1,1,0,3.63970303535,0 
42,5.68965517241,1,0,0,3.42103815079,0 
43,10.8620689655,1,0,1,3.63488698006,0 
44,9.8275862069,1,0,0,4.08797717094,0 
45,8.79310344828,1,0,1,3.67983078957,0 
46,7.75862068966,0,0,0,3.55992698669,0 
47,11.8965517241,0,1,1,3.57584095001,0 
48,0.51724137931,1,0,0,3.38418221474,0 
49,5.68965517241,1,1,1,3.81562781334,0 
50,11.8965517241,1,1,0,4.04790496826,0 
51,4.65517241379,1,1,1,3.94391202927,0 
52,2.58620689655,1,0,0,3.59198713303,0 
53,8.79310344828,1,1,1,3.19983196259,0 
54,6.72413793103,1,0,0,3.71188521385,0 
55,8.79310344828,1,0,0,3.44318914413,0 
56,12.9310344828,1,0,0,3.43643808365,0 
57,2.58620689655,0,1,1,3.68810009956,0 
58,2.58620689655,0,0,1,3.31990981102,0 
59,11.8965517241,0,0,0,3.74388790131,0 
60,13.9655172414,1,0,1,3.51195001602,0 
61,1.55172413793,1,0,1,3.60788798332,0 
62,11.8965517241,1,1,0,3.16788315773,0 
63,13.9655172414,1,1,0,3.73584103584,0 
64,3.62068965517,0,0,1,4.36796498299,0 
65,3.62068965517,1,0,1,3.3678920269,0 
66,12.9310344828,1,0,0,3.43194103241,0 
67,9.8275862069,1,0,1,3.39957404137,0 
68,11.8965517241,0,1,1,3.69620895386,0 
