# Time : Sat Jun 18 16:03:12 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : AH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x10e02378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x10e02490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,3.62068965517,1,0,0,3.47296214104,0 
1,3.62068965517,1,1,1,3.01588702202,0 
2,10.8620689655,1,0,1,3.32785081863,0 
3,5.68965517241,1,0,1,3.30396795273,0 
4,10.8620689655,1,1,1,3.10373210907,0 
5,6.72413793103,1,0,0,3.46415996552,0 
6,1.55172413793,1,0,0,3.15998911858,0 
7,7.75862068966,1,0,1,3.30410790443,0 
8,5.68965517241,0,1,0,3.7597181797,0 
9,1.55172413793,1,0,0,3.09599709511,0 
10,0.51724137931,0,0,1,3.39176607132,0 
11,4.65517241379,1,1,1,2.96545886993,0 
12,13.9655172414,1,1,0,2.97583603859,0 
13,11.8965517241,0,1,0,3.02301502228,0 
14,9.8275862069,1,0,1,3.34347891808,0 
15,10.8620689655,1,1,0,3.68787503242,0 
16,2.58620689655,1,1,0,3.2954621315,0 
17,11.8965517241,0,1,1,3.36780381203,0 
18,8.79310344828,1,0,1,3.01618695259,0 
19,11.8965517241,1,1,1,3.19977784157,0 
20,10.8620689655,1,1,0,3.19177079201,0 
21,2.58620689655,1,1,0,2.95810413361,0 
22,1.55172413793,1,0,1,3.06560707092,0 
23,10.8620689655,1,0,0,3.60021901131,0 
24,8.79310344828,0,0,0,3.2075920105,0 
25,3.62068965517,1,1,0,3.03292298317,0 
26,6.72413793103,1,0,0,3.31122398376,0 
27,9.8275862069,1,0,1,3.31000900269,0 
28,6.72413793103,1,1,0,3.23359489441,0 
29,0.51724137931,1,0,0,3.64005494118,0 
30,5.68965517241,1,0,0,3.33585691452,0 
31,5.68965517241,1,0,1,3.95988893509,0 
32,4.65517241379,1,1,0,3.15194177628,0 
33,11.8965517241,1,0,1,3.50382709503,0 
34,7.75862068966,1,1,0,2.96669197083,0 
35,3.62068965517,1,0,0,3.82523393631,0 
36,0.51724137931,1,1,0,3.36765003204,0 
37,13.9655172414,1,1,1,3.31201791763,0 
38,1.55172413793,1,1,1,3.18398189545,0 
39,7.75862068966,1,0,1,3.25593709946,0 
40,0.51724137931,1,0,0,3.34401106834,0 
41,11.8965517241,1,0,0,2.9514400959,0 
42,4.65517241379,1,0,1,3.35782217979,0 
43,3.62068965517,1,1,0,3.41814398766,0 
44,3.62068965517,1,1,1,3.64815211296,0 
45,10.8620689655,1,1,1,3.33584308624,0 
46,10.8620689655,1,1,1,3.19991517067,0 
47,2.58620689655,1,0,0,3.27191996574,0 
48,9.8275862069,1,0,0,3.88005399704,0 
49,8.79310344828,0,0,0,3.15969204903,0 
50,7.75862068966,1,0,1,3.38387989998,0 
51,9.8275862069,1,1,1,3.35186100006,0 
52,5.68965517241,1,1,1,3.02400684357,0 
53,10.8620689655,1,1,1,3.47175598145,0 
54,7.75862068966,1,0,1,3.79175710678,0 
55,6.72413793103,0,0,0,3.52026510239,0 
56,10.8620689655,1,1,0,2.97251605988,0 
57,5.68965517241,1,0,0,3.85928106308,0 
58,6.72413793103,1,0,1,3.26382303238,0 
59,5.68965517241,1,1,1,3.03997707367,0 
60,12.9310344828,1,0,0,3.30384087563,0 
61,12.9310344828,1,0,1,3.23995089531,0 
62,8.79310344828,1,1,1,2.99188303947,0 
63,1.55172413793,1,0,0,2.94831895828,0 
64,3.62068965517,1,1,0,2.95291209221,0 
65,13.9655172414,1,0,0,2.97050404549,0 
66,13.9655172414,1,0,1,3.31166100502,0 
67,9.8275862069,1,0,0,3.20012497902,0 
68,7.75862068966,1,1,1,2.98392891884,0 
69,8.79310344828,1,1,1,3.23157715797,0 
70,4.65517241379,1,1,0,3.00025105476,0 
71,12.9310344828,0,1,0,3.36799097061,0 
72,8.79310344828,1,1,0,3.02384305,0 
73,6.72413793103,1,1,1,3.34384608269,0 
74,2.58620689655,1,0,1,3.08793902397,0 
75,1.55172413793,1,0,0,3.16792392731,0 
76,0.51724137931,1,1,0,2.99990987778,0 
77,2.58620689655,1,0,0,3.29591012001,0 
78,8.79310344828,1,0,1,3.01590180397,0 
79,12.9310344828,1,1,0,3.89599990845,0 
80,9.8275862069,1,0,1,3.27979207039,0 
81,4.65517241379,1,1,1,3.10387301445,0 
82,0.51724137931,1,1,0,3.68771386147,0 
83,4.65517241379,1,1,0,3.22411203384,0 
84,7.75862068966,1,0,1,3.17591404915,0 
85,13.9655172414,1,0,1,3.17589211464,0 
86,2.58620689655,1,1,1,2.99191784859,0 
87,1.55172413793,1,0,1,3.24689912796,0 
88,11.8965517241,0,1,0,3.77590990067,0 
89,9.8275862069,1,1,1,3.14372205734,0 
90,11.8965517241,1,1,0,2.96300888062,0 
91,8.79310344828,1,0,0,3.09275388718,0 
92,6.72413793103,1,0,1,3.33613419533,0 
93,12.9310344828,1,1,0,3.15200686455,0 
94,7.75862068966,1,1,1,3.19986701012,0 
95,5.68965517241,0,1,1,3.23961591721,0 
96,8.79310344828,1,1,0,2.95636701584,0 
97,5.68965517241,1,1,0,3.30780100822,0 
98,8.79310344828,1,1,1,2.99179410934,0 
99,4.65517241379,1,0,0,2.95168209076,0 
100,2.58620689655,1,0,0,2.99219584465,0 
101,6.72413793103,1,0,0,3.15197610855,0 
102,3.62068965517,1,0,0,2.99988913536,0 
103,13.9655172414,1,0,0,3.27979421616,0 
104,11.8965517241,1,1,1,3.83991503716,0 
105,12.9310344828,1,1,0,2.98396611214,0 
106,11.8965517241,1,1,1,3.19986200333,0 
107,7.75862068966,1,1,1,3.14395999908,0 
108,9.8275862069,1,0,1,2.99989509583,0 
109,1.55172413793,0,1,0,3.79191803932,0 
110,0.51724137931,1,1,0,3.04795002937,0 
111,4.65517241379,1,0,0,2.99177980423,0 
112,4.65517241379,1,0,0,3.32800412178,0 
113,5.68965517241,1,0,1,3.25583600998,0 
114,11.8965517241,1,1,0,3.04785990715,0 
115,1.55172413793,1,1,1,3.1279759407,0 
116,6.72413793103,1,0,0,3.65598607063,0 
117,9.8275862069,1,0,0,3.15970301628,0 
118,6.72413793103,1,1,1,2.95390701294,0 
119,12.9310344828,1,0,1,3.59004092216,0 
120,9.8275862069,1,0,1,3.49594402313,0 
121,11.8965517241,1,0,1,3.47992491722,0 
122,3.62068965517,1,1,1,3.59992694855,0 
123,13.9655172414,1,1,1,3.22386813164,0 
124,10.8620689655,1,0,1,3.46390199661,0 
125,0.51724137931,0,0,1,3.44771289825,0 
126,3.62068965517,1,1,0,3.47210597992,1 
127,13.9655172414,1,0,1,3.44778203964,0 
128,0.51724137931,0,0,0,3.95205497742,0 
129,12.9310344828,1,0,1,3.70362305641,0 
130,6.72413793103,1,0,1,3.80785107613,0 
131,5.68965517241,1,0,1,3.39224386215,0 
132,13.9655172414,1,0,0,3.65588116646,0 
133,12.9310344828,1,1,0,3.41575694084,0 
134,4.65517241379,1,1,0,3.03210997581,0 
135,9.8275862069,1,1,0,3.59980201721,0 
136,12.9310344828,1,1,1,4.21587014198,0 
137,10.8620689655,1,0,0,4.16797399521,0 
138,2.58620689655,1,1,0,2.94169402122,0 
139,4.65517241379,1,1,1,2.92092108727,0 
140,8.79310344828,1,0,1,2.94141316414,0 
141,7.75862068966,0,0,0,3.03539896011,0 
142,2.58620689655,1,1,0,3.58412694931,0 
143,12.9310344828,1,1,0,3.66388297081,0 
144,7.75862068966,0,0,0,2.95251607895,0 
145,13.9655172414,1,0,0,4.39123296738,0 
146,13.9655172414,1,1,0,2.94943785667,0 
147,0.51724137931,0,0,0,3.67419290543,0 
148,2.58620689655,1,1,0,2.95068907738,0 
149,1.55172413793,1,0,0,3.16937112808,0 
