# Time : Sat Jun 18 16:13:01 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : AH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x103f6378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x103f6490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,12.9310344828,1,1,1,3.43978500366,0 
1,11.8965517241,1,1,1,3.0637819767,0 
2,3.62068965517,1,1,0,3.51202702522,0 
3,10.8620689655,1,0,0,2.96494579315,0 
4,10.8620689655,1,1,1,2.95276403427,0 
5,1.55172413793,1,0,0,3.21816301346,0 
6,8.79310344828,1,0,1,3.50301003456,0 
7,0.51724137931,0,0,1,3.2330031395,0 
8,12.9310344828,1,1,1,2.94159793854,0 
9,7.75862068966,1,0,1,3.19418001175,0 
10,4.65517241379,1,1,0,3.27992510796,0 
11,8.79310344828,1,1,0,2.97191214561,0 
12,2.58620689655,0,0,1,3.75520896912,0 
13,4.65517241379,1,0,0,3.64546513557,0 
14,8.79310344828,1,1,1,2.95403409004,0 
15,7.75862068966,1,0,0,3.04818606377,0 
16,1.55172413793,1,1,0,3.19193387032,0 
17,4.65517241379,1,1,1,3.00782489777,0 
18,6.72413793103,1,0,1,3.28798007965,0 
19,0.51724137931,1,1,1,3.28787684441,0 
20,5.68965517241,1,1,0,3.10391187668,0 
21,3.62068965517,1,0,0,3.63198184967,0 
22,9.8275862069,1,1,0,3.19194698334,0 
23,11.8965517241,1,0,0,3.38373804092,0 
24,9.8275862069,1,0,1,3.70377397537,0 
25,11.8965517241,0,0,1,3.23207306862,0 
26,8.79310344828,1,0,1,3.8316719532,0 
27,10.8620689655,1,0,1,3.4238421917,0 
28,9.8275862069,0,1,1,3.2640709877,0 
29,13.9655172414,1,1,1,3.23990297318,1 
30,9.8275862069,1,1,1,3.12796902657,0 
31,6.72413793103,1,0,0,2.98343014717,0 
32,12.9310344828,1,1,0,4.08843302727,0 
33,7.75862068966,1,1,0,3.55172204971,0 
