# Time : Sat Jun 18 16:23:53 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : AH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x10de7378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x10de7490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,3.62068965517,1,0,1,3.26321315765,0 
1,6.72413793103,1,1,1,3.00398111343,0 
2,11.8965517241,1,1,0,3.34013581276,0 
3,12.9310344828,1,0,0,2.95394778252,0 
4,12.9310344828,1,0,1,3.49332785606,0 
5,2.58620689655,1,0,1,3.23190712929,0 
6,10.8620689655,1,0,0,3.10400104523,0 
7,8.79310344828,1,0,1,3.09578204155,0 
8,13.9655172414,0,0,1,3.03160881996,0 
9,0.51724137931,1,1,0,3.36817407608,0 
10,8.79310344828,1,1,1,3.47186303139,0 
11,9.8275862069,1,0,1,3.3601360321,0 
12,8.79310344828,0,1,0,3.63171505928,0 
13,11.8965517241,1,0,0,3.5999481678,0 
14,10.8620689655,1,0,0,3.37590789795,0 
15,6.72413793103,1,1,0,2.99051094055,0 
16,2.58620689655,1,1,0,2.94949007034,0 
17,0.51724137931,1,0,0,3.23569393158,0 
18,10.8620689655,1,1,0,2.94331502914,0 
19,8.79310344828,1,1,1,2.94197487831,0 
20,1.55172413793,1,0,0,3.78142809868,0 
21,8.79310344828,1,1,0,2.97135019302,0 
22,2.58620689655,1,0,1,3.54546189308,0 
23,5.68965517241,1,0,0,3.70381212234,0 
24,1.55172413793,1,1,0,3.45593619347,0 
25,0.51724137931,1,1,0,2.95265007019,0 
26,10.8620689655,1,0,1,3.32682800293,0 
27,9.8275862069,1,0,0,3.27216100693,0 
28,8.79310344828,1,0,0,3.43185997009,0 
29,3.62068965517,1,1,0,3.46394395828,0 
30,4.65517241379,1,1,1,3.43184995651,0 
31,11.8965517241,1,1,1,2.93597221375,0 
32,11.8965517241,1,0,1,3.28785300255,0 
33,6.72413793103,1,1,1,2.94680714607,0 
34,7.75862068966,1,1,1,3.47700095177,0 
35,13.9655172414,1,0,0,3.15198993683,0 
36,1.55172413793,1,1,1,3.2158370018,0 
37,5.68965517241,1,1,1,2.93207597733,0 
38,10.8620689655,0,1,0,3.10768580437,0 
39,13.9655172414,1,1,1,3.055945158,0 
40,10.8620689655,1,1,1,2.93038988113,0 
41,0.51724137931,1,1,0,3.17350721359,0 
42,4.65517241379,1,0,0,2.9802069664,0 
43,4.65517241379,0,0,1,3.38755893707,0 
44,10.8620689655,1,0,1,3.91967511177,0 
45,5.68965517241,1,1,0,2.97551298141,0 
46,11.8965517241,1,0,1,3.17656087875,0 
47,8.79310344828,1,1,1,3.07174897194,0 
48,12.9310344828,1,1,1,3.04675078392,0 
49,4.65517241379,1,1,1,2.94048786163,0 
50,11.8965517241,1,1,0,2.97257208824,0 
51,9.8275862069,1,1,1,3.11196994781,0 
52,8.79310344828,1,1,0,2.95158696175,0 
53,7.75862068966,1,0,1,3.30416703224,0 
54,11.8965517241,1,1,0,2.94309401512,0 
55,13.9655172414,1,0,1,3.12074804306,0 
56,11.8965517241,1,0,0,3.2719810009,0 
57,8.79310344828,1,0,1,3.47985386848,0 
58,9.8275862069,1,0,1,3.42795801163,0 
59,4.65517241379,1,1,0,2.94719004631,0 
60,12.9310344828,1,0,0,3.59253001213,0 
61,5.68965517241,1,1,1,2.93405795097,0 
62,4.65517241379,1,1,0,2.9680891037,0 
63,7.75862068966,1,0,1,3.30546998978,0 
64,3.62068965517,1,1,0,3.89599609375,0 
65,4.65517241379,1,1,0,2.95129704475,0 
66,1.55172413793,1,0,1,2.94451618195,0 
67,13.9655172414,1,1,1,2.92812991142,0 
68,6.72413793103,1,0,1,3.07176804543,0 
69,10.8620689655,1,1,1,2.93899607658,0 
70,11.8965517241,1,1,0,2.96494698524,0 
71,0.51724137931,1,0,0,3.24777793884,0 
72,9.8275862069,1,0,1,3.35161209106,0 
73,6.72413793103,1,1,0,3.13599085808,0 
74,4.65517241379,1,0,1,3.07200908661,0 
75,6.72413793103,1,0,0,3.24789905548,0 
76,9.8275862069,1,0,0,3.28799200058,0 
77,7.75862068966,1,0,1,3.36787104607,0 
