# Time : Sat Jun 18 16:34:28 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : AH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xfdc9378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xfdc9490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,7.75862068966,1,0,1,3.50985097885,0 
1,0.51724137931,0,0,1,3.29535698891,0 
2,1.55172413793,1,1,0,3.66008496284,0 
3,3.62068965517,1,0,0,2.96389007568,0 
4,10.8620689655,1,1,0,2.95418596268,0 
5,9.8275862069,1,1,0,3.01194000244,0 
6,13.9655172414,1,0,1,3.25763082504,0 
7,8.79310344828,1,0,0,3.13596200943,0 
8,11.8965517241,1,0,0,3.14103102684,0 
9,2.58620689655,1,1,0,3.00704097748,0 
10,7.75862068966,1,0,1,3.331594944,0 
11,3.62068965517,1,1,0,3.8400080204,0 
12,8.79310344828,1,0,1,4.15180802345,0 
13,8.79310344828,1,0,1,3.39193606377,0 
14,9.8275862069,1,1,1,2.94497179985,0 
15,0.51724137931,1,1,0,2.9643599987,0 
16,6.72413793103,0,1,1,3.00833010674,0 
17,1.55172413793,1,0,1,3.72199511528,0 
18,2.58620689655,0,1,1,5.24795389175,1 
19,1.55172413793,1,1,1,3.67187404633,0 
20,5.68965517241,1,1,1,3.74387598038,0 
21,5.68965517241,1,0,1,3.37591600418,0 
22,11.8965517241,1,1,1,3.00796890259,0 
23,3.62068965517,1,1,1,3.51184606552,0 
24,0.51724137931,1,1,1,3.27188396454,0 
25,5.68965517241,1,1,1,2.94613385201,0 
26,5.68965517241,1,1,1,2.9291009903,0 
27,4.65517241379,1,0,1,3.34051012993,0 
28,10.8620689655,1,1,1,3.28786110878,0 
29,5.68965517241,1,0,1,3.20796298981,0 
30,10.8620689655,1,1,0,3.25600790977,0 
31,6.72413793103,0,1,1,3.10373711586,0 
32,13.9655172414,0,0,0,3.21593379974,0 
33,3.62068965517,1,1,1,3.01454305649,0 
34,10.8620689655,1,1,0,2.95121312141,0 
35,10.8620689655,1,0,1,3.16988301277,0 
36,5.68965517241,1,1,0,3.04190993309,0 
37,2.58620689655,1,1,0,2.9787979126,0 
38,9.8275862069,1,1,1,3.58706283569,0 
39,11.8965517241,1,0,0,2.96478009224,0 
40,8.79310344828,1,1,0,3.01095414162,0 
41,12.9310344828,1,1,1,2.9648001194,0 
42,7.75862068966,1,1,1,3.051019907,0 
43,4.65517241379,1,1,0,3.06382513046,0 
44,10.8620689655,1,1,0,2.97983217239,0 
45,3.62068965517,1,0,1,2.95879483223,0 
46,8.79310344828,1,0,0,3.34110593796,0 
47,7.75862068966,0,0,0,3.62390208244,0 
48,6.72413793103,1,0,1,3.5358850956,0 
49,11.8965517241,0,0,0,3.12003684044,0 
50,4.65517241379,1,1,1,2.92767810822,0 
51,7.75862068966,1,0,1,2.96793889999,0 
52,12.9310344828,0,1,1,3.2561609745,0 
53,9.8275862069,1,0,0,3.00774788857,0 
54,9.8275862069,1,0,0,3.01594114304,0 
55,4.65517241379,1,0,1,3.77577185631,0 
56,10.8620689655,1,1,1,2.95272493362,0 
57,9.8275862069,1,0,1,3.31889295578,0 
58,3.62068965517,1,1,1,3.24010205269,0 
59,3.62068965517,1,0,1,3.44790816307,0 
60,2.58620689655,1,0,0,3.75192093849,0 
61,13.9655172414,1,0,1,3.25596880913,0 
62,11.8965517241,1,0,0,3.10399889946,0 
63,1.55172413793,0,0,1,3.61579918861,0 
64,7.75862068966,0,1,0,3.68786597252,0 
65,2.58620689655,1,0,1,2.99983215332,0 
66,12.9310344828,1,0,0,3.56007790565,0 
67,8.79310344828,1,0,0,2.98477292061,0 
68,9.8275862069,1,1,0,2.96456098557,0 
69,5.68965517241,1,1,0,3.02383899689,0 
70,7.75862068966,1,1,1,2.9422121048,0 
71,12.9310344828,1,1,1,2.95185422897,0 
72,10.8620689655,1,0,0,2.964854002,0 
73,2.58620689655,1,0,1,3.21515679359,0 
74,1.55172413793,1,1,0,2.94955921173,0 
75,2.58620689655,1,0,0,3.44230079651,0 
76,6.72413793103,1,0,1,3.23987817764,0 
77,6.72413793103,1,1,1,2.94391298294,0 
78,9.8275862069,1,1,1,2.92772603035,0 
79,11.8965517241,1,0,1,2.94116997719,0 
80,12.9310344828,1,0,0,3.03469204903,0 
81,7.75862068966,1,1,1,2.94370508194,0 
82,5.68965517241,1,0,1,2.9636619091,0 
83,13.9655172414,1,1,1,3.35643696785,0 
84,3.62068965517,1,0,0,2.99674201012,0 
85,13.9655172414,1,1,1,2.94143891335,0 
86,7.75862068966,1,0,1,3.02924013138,0 
87,4.65517241379,1,0,0,3.01612305641,0 
88,2.58620689655,1,0,1,3.29102301598,0 
89,4.65517241379,1,0,0,2.96840310097,0 
90,10.8620689655,1,0,1,3.83135890961,0 
91,6.72413793103,1,0,0,3.17590117455,0 
92,5.68965517241,1,0,1,3.48005104065,0 
93,8.79310344828,1,1,0,2.94808197021,0 
94,12.9310344828,1,0,1,3.26741409302,0 
95,13.9655172414,1,1,1,3.12012887001,0 
96,8.79310344828,1,0,1,2.94214200974,0 
97,2.58620689655,1,1,1,2.93891000748,0 
98,6.72413793103,1,1,1,2.9438419342,0 
99,6.72413793103,1,1,0,3.27865409851,0 
100,12.9310344828,1,0,0,2.96921110153,0 
101,12.9310344828,1,0,1,3.55065608025,0 
102,5.68965517241,1,0,0,3.31989693642,0 
103,1.55172413793,1,1,0,3.31202316284,0 
104,9.8275862069,1,0,1,3.26381492615,0 
105,4.65517241379,1,0,0,2.97792720795,0 
106,11.8965517241,1,0,0,3.20577001572,0 
107,8.79310344828,1,0,0,3.14406585693,0 
108,0.51724137931,1,0,1,3.23989987373,0 
109,0.51724137931,1,0,0,3.30381608009,0 
110,4.65517241379,1,1,1,2.93084311485,0 
111,13.9655172414,1,0,0,2.96508693695,0 
112,12.9310344828,1,0,1,3.28789496422,0 
113,3.62068965517,1,1,0,3.56788802147,0 
114,3.62068965517,1,1,1,2.9838719368,0 
115,1.55172413793,1,1,0,3.66685199738,0 
116,7.75862068966,1,0,0,3.53960990906,0 
117,4.65517241379,1,1,1,3.90505409241,0 
118,10.8620689655,1,0,0,3.29611992836,0 
119,9.8275862069,1,1,0,3.22369599342,0 
120,0.51724137931,1,0,0,3.01210093498,0 
121,1.55172413793,1,1,1,2.96456408501,0 
122,11.8965517241,1,0,0,3.08735609055,0 
123,11.8965517241,1,0,0,3.10382699966,0 
124,10.8620689655,1,0,0,3.19195890427,0 
125,4.65517241379,1,1,0,2.94664001465,0 
126,0.51724137931,1,0,1,3.40512299538,0 
127,0.51724137931,1,0,0,3.55164504051,0 
128,11.8965517241,1,0,0,2.95033311844,0 
129,8.79310344828,1,1,0,3.02561712265,0 
130,6.72413793103,1,1,1,3.48805689812,0 
131,5.68965517241,0,0,1,2.93368315697,0 
132,6.72413793103,1,0,0,3.30579996109,0 
133,13.9655172414,1,1,0,2.95297598839,0 
134,2.58620689655,1,1,1,2.94080495834,0 
135,9.8275862069,1,1,1,3.21016716957,0 
136,1.55172413793,1,1,1,3.07198214531,0 
137,13.9655172414,0,1,1,2.98357486725,0 
138,12.9310344828,1,1,1,3.18419003487,0 
139,0.51724137931,0,0,0,2.97577285767,0 
140,1.55172413793,1,1,1,2.95175814629,0 
141,13.9655172414,1,1,1,3.53599119186,0 
142,11.8965517241,1,0,1,2.94694590569,0 
143,4.65517241379,1,1,1,2.94096899033,0 
144,0.51724137931,1,0,0,3.32009601593,0 
145,13.9655172414,1,1,0,2.97472810745,0 
146,7.75862068966,1,0,1,3.24912285805,0 
147,8.79310344828,1,1,0,3.17580199242,0 
148,12.9310344828,1,1,0,2.96470379829,0 
149,6.72413793103,1,0,1,3.15514802933,0 
