# Time : Sat Jun  4 18:17:17 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xe3b6378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xe3b6490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,8.79310344828,1,0,1,3.84703493118,0 
1,8.79310344828,1,0,1,3.74386096001,0 
2,12.9310344828,1,1,1,3.53588986397,0 
3,9.8275862069,1,0,1,3.61596608162,0 
4,9.8275862069,1,0,1,3.71186995506,0 
5,5.68965517241,0,0,1,5.11987614632,0 
6,12.9310344828,1,0,1,3.48799109459,0 
7,5.68965517241,0,1,1,4.31988811493,0 
8,7.75862068966,1,1,1,4.04801607132,0 
9,9.8275862069,1,0,0,4.33594489098,0 
10,13.9655172414,1,1,1,3.89585900307,0 
11,5.68965517241,1,0,1,3.72793889046,0 
12,0.51724137931,1,1,1,3.85597896576,0 
13,11.8965517241,1,1,0,5.07194399834,0 
14,11.8965517241,1,0,1,3.64785909653,0 
15,10.8620689655,1,1,1,4.37588095665,0 
16,8.79310344828,1,1,0,3.96800994873,0 
17,9.8275862069,1,0,1,4.39991116524,0 
18,6.72413793103,1,1,1,3.91993498802,0 
19,1.55172413793,1,0,1,3.77595615387,0 
20,10.8620689655,1,1,1,4.23985695839,0 
21,11.8965517241,1,1,0,3.79200696945,0 
22,3.62068965517,1,0,1,3.88782596588,0 
23,12.9310344828,1,1,0,3.71200704575,0 
24,13.9655172414,1,1,1,3.69578313828,0 
25,0.51724137931,1,1,0,4.0800049305,0 
26,12.9310344828,1,0,1,4.00789499283,0 
27,8.79310344828,1,1,0,4.12799596786,0 
28,1.55172413793,1,0,1,4.35990214348,0 
29,3.62068965517,1,1,0,3.81589508057,0 
30,7.75862068966,1,0,0,3.9519841671,0 
31,4.65517241379,1,0,1,3.8478770256,0 
32,3.62068965517,1,0,1,4.64789104462,0 
33,4.65517241379,0,1,1,4.69623303413,0 
34,1.55172413793,1,1,0,3.75166702271,0 
35,0.51724137931,1,1,0,3.77603292465,0 
36,6.72413793103,1,1,1,4.15179300308,0 
37,3.62068965517,1,1,1,3.82391500473,0 
38,13.9655172414,1,1,1,3.91184186935,0 
39,12.9310344828,1,0,0,3.92806601524,0 
40,2.58620689655,1,0,1,3.88793706894,0 
41,8.79310344828,1,1,1,3.84786486626,0 
42,10.8620689655,1,1,1,4.00792002678,0 
43,8.79310344828,1,1,0,3.69591093063,0 
44,5.68965517241,1,0,1,3.75992584229,0 
45,0.51724137931,1,1,0,4.143917799,0 
46,6.72413793103,0,0,1,4.67985081673,0 
47,4.65517241379,0,0,1,5.86389493942,0 
48,9.8275862069,1,1,1,4.16805481911,0 
49,7.75862068966,1,0,0,3.75994515419,0 
50,6.72413793103,1,0,0,3.54398703575,0 
51,10.8620689655,1,1,0,3.70387196541,0 
52,12.9310344828,1,1,0,3.43196606636,0 
53,1.55172413793,1,0,1,4.36783599854,0 
54,11.8965517241,1,1,0,3.39206194878,0 
55,6.72413793103,1,0,0,6.21588301659,0 
56,1.55172413793,1,0,1,4.15184688568,0 
57,4.65517241379,0,1,1,4.08784914017,0 
58,11.8965517241,1,1,0,3.21602702141,0 
59,13.9655172414,1,1,0,3.73588895798,0 
60,4.65517241379,1,1,1,5.12794995308,0 
61,8.79310344828,1,1,1,3.87996792793,0 
62,9.8275862069,1,1,1,4.20791697502,0 
63,3.62068965517,1,1,1,3.69595789909,0 
64,8.79310344828,0,1,1,3.9039208889,0 
65,8.79310344828,1,0,0,3.73601222038,0 
66,0.51724137931,1,1,1,4.32770395279,0 
67,0.51724137931,1,0,1,4.09590101242,0 
68,7.75862068966,1,0,1,4.2481110096,0 
69,10.8620689655,1,0,0,5.35979604721,0 
70,4.65517241379,1,1,1,3.86398911476,0 
71,7.75862068966,1,1,1,3.99995279312,0 
72,12.9310344828,1,0,0,3.67992305756,0 
73,7.75862068966,0,1,0,4.71193599701,0 
74,5.68965517241,1,0,1,4.09592700005,0 
75,3.62068965517,1,1,1,3.88789391518,0 
76,12.9310344828,1,0,1,4.57592701912,0 
77,11.8965517241,1,1,0,4.89601707458,0 
78,13.9655172414,1,1,1,4.67188096046,0 
79,9.8275862069,1,1,0,3.77593016624,0 
80,5.68965517241,1,0,0,3.72807216644,0 
81,4.65517241379,1,1,1,3.76774501801,0 
82,13.9655172414,1,1,0,3.63179588318,0 
83,6.72413793103,1,1,0,3.83214521408,0 
84,1.55172413793,1,1,0,3.55985403061,0 
85,2.58620689655,1,1,1,3.79191613197,0 
86,6.72413793103,1,1,0,3.78398799896,0 
87,11.8965517241,1,1,1,4.81544995308,0 
88,0.51724137931,1,1,0,3.92799592018,0 
89,12.9310344828,1,1,1,3.74394106865,0 
90,6.72413793103,1,0,0,3.57597494125,0 
91,7.75862068966,1,1,0,3.97586417198,0 
92,13.9655172414,1,1,0,3.79991698265,0 
93,11.8965517241,1,0,1,3.52788186073,0 
94,1.55172413793,1,0,1,3.87184286118,0 
95,2.58620689655,1,1,1,3.71998500824,0 
96,10.8620689655,1,1,1,3.43178987503,0 
97,13.9655172414,1,1,1,4.06407904625,0 
98,13.9655172414,1,1,1,4.01589584351,0 
99,1.55172413793,1,1,0,4.09592604637,0 
100,5.68965517241,1,0,1,3.42390394211,0 
101,12.9310344828,1,0,0,3.64795398712,0 
102,2.58620689655,1,0,1,3.6398999691,0 
103,2.58620689655,1,0,0,4.11994814873,0 
104,4.65517241379,1,1,1,4.38394999504,0 
105,9.8275862069,1,1,0,3.51992583275,0 
106,7.75862068966,1,1,0,3.44788479805,0 
107,5.68965517241,1,1,1,3.80788087845,0 
108,0.51724137931,1,1,0,3.64001083374,0 
109,6.72413793103,1,0,0,4.27986502647,0 
110,13.9655172414,1,1,0,3.57599306107,0 
111,10.8620689655,1,0,1,3.72781896591,0 
112,3.62068965517,1,0,0,3.65593886375,0 
113,3.62068965517,1,1,0,3.89596390724,0 
