# Time : Sat Jun  4 18:28:22 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xe466698> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xe4666c0> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,10.8620689655,1,1,1,3.45483183861,0 
1,12.9310344828,1,0,0,4.0960419178,0 
2,3.62068965517,1,1,0,3.77592110634,0 
3,5.68965517241,1,1,0,3.38396286964,0 
4,1.55172413793,1,0,0,3.30386900902,0 
5,6.72413793103,1,0,0,3.58373093605,0 
6,5.68965517241,1,1,0,3.41611790657,0 
7,8.79310344828,1,0,1,3.56780409813,0 
8,3.62068965517,1,1,0,3.59203004837,0 
9,5.68965517241,1,0,0,3.4958460331,0 
10,7.75862068966,1,0,1,3.41593909264,0 
11,9.8275862069,1,1,0,3.49583601952,0 
12,12.9310344828,1,1,1,3.45578694344,0 
13,0.51724137931,1,1,1,4.64819812775,0 
14,4.65517241379,1,1,1,3.82388615608,0 
15,4.65517241379,1,0,1,3.51993989944,0 
16,5.68965517241,1,1,1,3.61590099335,0 
17,4.65517241379,1,1,1,3.50383591652,0 
18,10.8620689655,1,0,0,3.84789395332,0 
19,0.51724137931,1,1,1,3.49596810341,0 
20,12.9310344828,1,0,1,3.80803585052,0 
21,13.9655172414,1,1,1,3.89580607414,0 
22,4.65517241379,1,1,1,3.52005386353,0 
23,2.58620689655,1,1,1,4.00786209106,0 
24,12.9310344828,1,0,0,4.27997994423,0 
25,2.58620689655,1,0,0,3.75989603996,0 
26,9.8275862069,1,1,0,3.65592694283,0 
27,7.75862068966,1,0,0,3.67997503281,0 
28,8.79310344828,1,1,1,3.81588816643,0 
29,7.75862068966,1,1,1,3.41568183899,0 
30,4.65517241379,1,1,1,3.81609201431,0 
31,6.72413793103,1,1,1,3.67193222046,0 
32,13.9655172414,1,0,0,3.60794401169,0 
33,1.55172413793,1,1,0,3.50379300117,0 
34,5.68965517241,1,1,1,3.56000494957,0 
35,13.9655172414,1,1,0,3.53601503372,0 
36,7.75862068966,1,0,1,3.67994499207,0 
37,10.8620689655,1,0,1,3.89582896233,0 
38,12.9310344828,1,1,0,3.50399494171,0 
39,0.51724137931,1,1,1,4.20795702934,0 
40,8.79310344828,1,1,1,3.49580383301,0 
41,12.9310344828,1,1,1,3.55991601944,0 
42,10.8620689655,1,0,0,3.78393793106,0 
43,3.62068965517,1,1,0,3.39192295074,0 
44,3.62068965517,1,0,1,3.44795393944,0 
45,11.8965517241,1,0,1,3.63982701302,0 
46,8.79310344828,1,1,1,3.73594999313,0 
47,11.8965517241,1,1,1,3.36008000374,0 
48,5.68965517241,1,1,1,3.62379002571,0 
49,0.51724137931,1,1,0,4.03194689751,0 
50,4.65517241379,1,1,0,3.69597291946,0 
51,11.8965517241,1,0,0,3.69587898254,0 
52,13.9655172414,1,1,0,3.46397399902,0 
