# Time : Sat Jun  4 18:50:00 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xec776e8> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xec77710> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,1.55172413793,1,0,1,3.57754087448,0 
1,9.8275862069,1,1,0,3.36798906326,0 
2,8.79310344828,1,0,0,3.47987103462,0 
3,9.8275862069,1,1,1,3.42387604713,0 
4,6.72413793103,1,1,1,3.37595295906,0 
5,1.55172413793,1,1,1,4.16770601273,0 
6,13.9655172414,1,1,1,4.03209018707,0 
7,12.9310344828,1,1,1,3.40791606903,0 
8,10.8620689655,1,0,0,3.37596797943,0 
9,0.51724137931,1,0,0,3.34390711784,0 
10,11.8965517241,1,0,1,3.96789884567,0 
11,7.75862068966,1,0,0,3.50397896767,0 
12,8.79310344828,1,0,1,3.51182103157,0 
13,7.75862068966,1,1,0,3.34394598007,0 
14,13.9655172414,1,1,0,3.52798295021,0 
15,2.58620689655,1,0,1,3.87978506088,0 
16,6.72413793103,1,1,1,4.0476629734,0 
17,1.55172413793,1,1,1,3.16819691658,0 
18,8.79310344828,1,0,1,3.51195502281,0 
19,6.72413793103,1,0,0,3.97588396072,0 
20,13.9655172414,1,1,1,3.59200191498,0 
21,1.55172413793,1,0,0,3.39987611771,0 
22,11.8965517241,1,0,0,3.67996311188,0 
23,3.62068965517,1,0,0,3.4638299942,0 
24,8.79310344828,1,1,1,3.32800102234,0 
25,11.8965517241,1,1,0,3.55996704102,0 
26,2.58620689655,1,0,0,3.35986995697,0 
27,8.79310344828,1,1,1,3.4959089756,0 
28,9.8275862069,1,1,0,3.55995607376,0 
29,4.65517241379,1,1,1,3.54381895065,0 
30,5.68965517241,1,0,0,3.53594613075,0 
31,8.79310344828,1,0,1,3.7279381752,0 
32,10.8620689655,1,0,0,3.55997610092,0 
33,3.62068965517,1,0,0,3.46394705772,0 
34,4.65517241379,1,1,1,3.44787597656,0 
35,1.55172413793,1,1,1,2.93483090401,0 
36,3.62068965517,1,0,0,3.60902714729,0 
37,4.65517241379,1,1,1,3.47194385529,0 
38,5.68965517241,1,1,0,3.35194993019,0 
39,4.65517241379,1,0,0,3.43187999725,0 
40,1.55172413793,1,1,1,3.7439250946,0 
41,9.8275862069,1,1,0,3.57595515251,0 
42,1.55172413793,1,0,0,3.50391292572,0 
43,10.8620689655,1,1,0,3.52003002167,0 
44,8.79310344828,1,1,1,4.02381801605,0 
45,12.9310344828,1,1,0,3.64791107178,0 
46,10.8620689655,1,1,1,3.6639149189,0 
47,10.8620689655,1,1,1,3.73616099358,0 
48,13.9655172414,1,0,1,4.215695858,0 
49,11.8965517241,1,0,0,3.71197104454,0 
50,7.75862068966,1,1,1,3.49587011337,0 
51,4.65517241379,1,1,0,3.45591211319,0 
52,3.62068965517,1,1,1,3.43206596375,0 
53,9.8275862069,1,0,1,3.43181610107,0 
54,0.51724137931,1,0,0,3.48801398277,0 
55,3.62068965517,1,0,0,3.5917840004,0 
56,1.55172413793,1,0,0,3.63206887245,0 
57,7.75862068966,1,0,1,3.58368086815,0 
58,13.9655172414,1,1,0,3.52012515068,0 
59,4.65517241379,1,1,0,3.51189398766,0 
60,12.9310344828,1,1,0,3.78398180008,0 
61,5.68965517241,1,0,1,3.68789291382,0 
62,2.58620689655,1,0,1,3.64790797234,0 
63,3.62068965517,1,0,0,3.68799304962,0 
64,3.62068965517,1,1,0,3.63175082207,0 
65,10.8620689655,1,0,0,3.52804803848,0 
66,7.75862068966,1,1,1,3.65590405464,0 
67,1.55172413793,1,1,0,3.39991307259,0 
68,10.8620689655,1,0,1,3.68801093102,0 
69,11.8965517241,1,1,0,3.70390200615,0 
70,5.68965517241,1,1,0,4.00790691376,0 
71,9.8275862069,1,1,0,3.36796593666,0 
72,7.75862068966,1,0,0,3.65585899353,0 
73,0.51724137931,1,1,0,3.84804701805,0 
74,6.72413793103,1,0,1,3.49580311775,0 
75,7.75862068966,1,1,0,3.39994192123,0 
76,5.68965517241,1,1,1,3.6639380455,0 
77,12.9310344828,1,0,1,3.61589598656,0 
78,6.72413793103,0,0,1,3.64792394638,0 
79,5.68965517241,1,1,1,3.39192390442,0 
80,1.55172413793,1,0,1,3.44794607162,0 
81,7.75862068966,1,1,1,3.44796800613,0 
82,13.9655172414,1,1,0,3.38399410248,0 
83,9.8275862069,1,1,1,3.3518269062,0 
84,11.8965517241,1,0,0,3.74374604225,0 
85,0.51724137931,1,1,1,3.512144804,0 
86,4.65517241379,1,1,0,3.49590492249,0 
87,13.9655172414,1,1,1,3.54359292984,0 
88,3.62068965517,0,0,1,3.86407208443,0 
89,4.65517241379,1,0,0,3.84012913704,0 
90,12.9310344828,1,0,1,4.8317630291,0 
91,4.65517241379,1,0,1,3.48007297516,0 
92,9.8275862069,1,1,0,3.55990195274,0 
93,2.58620689655,1,0,1,3.51186513901,0 
94,9.8275862069,1,1,1,4.1120929718,0 
95,9.8275862069,1,0,1,3.97579097748,0 
96,0.51724137931,1,1,1,3.74394106865,0 
97,12.9310344828,0,0,1,3.79994416237,0 
98,5.68965517241,1,1,1,3.57590293884,0 
99,10.8620689655,1,1,0,3.84007501602,0 
100,11.8965517241,1,0,0,3.62385606766,0 
101,6.72413793103,1,1,0,3.79976606369,0 
102,6.72413793103,1,0,1,3.60788297653,0 
103,13.9655172414,1,0,1,3.71199297905,0 
104,13.9655172414,1,0,1,4.23997402191,0 
105,10.8620689655,1,0,0,3.68786406517,0 
106,5.68965517241,1,0,1,4.31196904182,0 
107,2.58620689655,1,1,0,3.6879529953,0 
108,7.75862068966,1,1,0,3.43990302086,0 
109,11.8965517241,1,1,0,3.43199896812,0 
