# Time : Tue Jun 28 16:21:08 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xed05378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xed05490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,4.65517241379,1,0,1,3.54492807388,0 
1,9.8275862069,1,1,0,3.71205806732,0 
2,13.9655172414,1,1,0,4.10389685631,0 
3,2.58620689655,1,0,0,3.62371110916,0 
4,2.58620689655,1,0,0,3.6080391407,0 
5,9.8275862069,1,1,1,3.39191794395,0 
6,12.9310344828,1,1,0,3.63201594353,0 
7,3.62068965517,1,0,1,3.62382602692,0 
8,13.9655172414,1,0,1,3.50391697884,0 
9,8.79310344828,1,1,0,3.57596993446,0 
10,5.68965517241,1,0,0,3.53597688675,0 
11,2.58620689655,1,0,1,3.36778402328,0 
12,11.8965517241,1,0,1,3.53595113754,0 
13,3.62068965517,1,0,1,3.44793200493,0 
14,8.79310344828,1,1,0,3.23999094963,0 
15,6.72413793103,1,1,0,3.64792394638,0 
16,1.55172413793,1,1,0,3.31181883812,0 
17,11.8965517241,1,1,0,3.33597922325,0 
18,2.58620689655,1,0,1,3.43165588379,0 
19,10.8620689655,1,0,1,3.48019099236,0 
20,4.65517241379,1,1,0,3.04793596268,0 
21,2.58620689655,1,1,1,3.20783996582,0 
22,4.65517241379,1,1,1,3.47197294235,0 
23,6.72413793103,1,0,0,3.28797602654,0 
24,11.8965517241,1,1,1,3.37592101097,0 
25,9.8275862069,0,0,0,4.1517469883,0 
26,2.58620689655,1,1,1,3.04003405571,0 
27,9.8275862069,1,0,0,3.36801099777,0 
28,12.9310344828,1,1,1,3.51981902122,0 
29,8.79310344828,1,1,1,3.26393198967,0 
30,12.9310344828,1,0,0,3.32791900635,0 
31,11.8965517241,1,1,1,3.10399103165,0 
32,2.58620689655,1,1,1,3.33591604233,0 
33,5.68965517241,1,0,1,3.62390899658,0 
34,2.58620689655,1,0,0,3.19193315506,0 
35,7.75862068966,1,0,1,3.35186505318,0 
36,9.8275862069,1,0,1,3.57593202591,0 
37,13.9655172414,1,0,0,3.37591600418,0 
38,9.8275862069,1,0,1,3.3519179821,0 
39,7.75862068966,1,0,1,3.29583883286,0 
40,8.79310344828,1,0,1,3.32004499435,0 
41,5.68965517241,1,1,1,3.28788995743,0 
42,12.9310344828,1,0,1,3.08793902397,0 
43,6.72413793103,1,0,0,3.06402897835,0 
44,1.55172413793,1,1,1,3.35980606079,0 
45,5.68965517241,1,0,0,3.33597898483,0 
46,10.8620689655,1,0,1,3.26386880875,0 
47,4.65517241379,1,1,0,3.27205991745,0 
48,8.79310344828,1,0,0,3.15186285973,0 
49,13.9655172414,1,0,1,3.33579802513,0 
50,6.72413793103,1,1,0,3.20800709724,0 
51,13.9655172414,1,0,0,3.25586414337,0 
52,6.72413793103,1,0,0,2.94483995438,0 
53,1.55172413793,1,0,1,2.9408659935,0 
54,9.8275862069,1,0,1,3.03387498856,0 
55,7.75862068966,1,1,0,2.96606612206,0 
56,11.8965517241,1,0,0,2.96485185623,0 
57,10.8620689655,1,0,0,2.95289611816,0 
58,4.65517241379,1,1,0,2.96489882469,0 
59,9.8275862069,1,1,1,3.12714314461,0 
60,10.8620689655,1,1,1,3.25586509705,0 
61,6.72413793103,1,1,1,3.09598016739,0 
62,0.51724137931,1,0,0,2.95776319504,0 
63,9.8275862069,1,1,0,2.95231485367,0 
64,6.72413793103,1,0,1,2.92991113663,0 
65,4.65517241379,1,0,1,3.43171286583,0 
66,10.8620689655,1,1,1,3.63980293274,0 
67,0.51724137931,1,1,1,3.4481010437,0 
68,0.51724137931,1,0,1,3.40788698196,0 
69,12.9310344828,1,1,0,3.21571516991,0 
70,10.8620689655,1,1,1,3.37610983849,0 
71,13.9655172414,1,0,0,3.02395391464,0 
72,12.9310344828,1,1,1,3.50389194489,0 
73,3.62068965517,1,0,1,3.30383896828,0 
74,11.8965517241,1,0,0,3.36800312996,0 
75,0.51724137931,1,1,0,3.32799696922,0 
76,0.51724137931,1,1,0,3.8078250885,0 
77,0.51724137931,1,1,1,3.31992793083,0 
78,13.9655172414,1,1,0,3.67198491096,0 
79,8.79310344828,1,0,1,3.83189797401,0 
80,12.9310344828,1,0,0,3.73593688011,0 
81,1.55172413793,1,0,0,3.43195915222,0 
82,4.65517241379,1,1,1,3.39991211891,0 
83,4.65517241379,1,1,1,3.43190908432,0 
84,3.62068965517,1,0,1,3.32794690132,0 
85,9.8275862069,1,1,1,3.31185984612,0 
86,10.8620689655,1,0,1,3.34394407272,0 
87,8.79310344828,1,0,1,3.35172510147,0 
88,4.65517241379,1,0,0,3.44772005081,0 
89,1.55172413793,1,1,0,3.40018582344,0 
90,0.51724137931,1,0,0,3.03990101814,0 
91,0.51724137931,1,0,1,3.39182281494,0 
92,7.75862068966,1,1,0,2.94650697708,0 
93,1.55172413793,1,1,1,3.49331593513,0 
94,13.9655172414,1,0,0,3.62399411201,0 
95,11.8965517241,1,1,0,3.34384918213,0 
96,10.8620689655,1,1,0,3.21592378616,0 
97,5.68965517241,1,0,1,3.27191996574,0 
98,12.9310344828,1,1,1,3.66392397881,0 
99,1.55172413793,1,1,1,3.68797802925,0 
100,3.62068965517,1,0,0,3.27189707756,0 
101,5.68965517241,1,1,1,3.35198903084,0 
102,3.62068965517,1,0,0,2.96792888641,0 
103,3.62068965517,1,0,0,3.57568287849,0 
104,2.58620689655,1,1,0,3.18423914909,0 
105,3.62068965517,1,0,0,2.98377895355,0 
106,6.72413793103,1,1,1,3.28786611557,0 
107,5.68965517241,1,1,0,3.4319961071,0 
108,1.55172413793,1,1,0,3.33585906029,0 
109,6.72413793103,1,1,0,3.62408900261,0 
110,11.8965517241,1,1,0,3.35985779762,0 
111,12.9310344828,1,0,1,3.4398651123,0 
112,7.75862068966,1,1,0,3.34399986267,0 
113,0.51724137931,1,0,1,3.4478199482,0 
114,10.8620689655,1,0,1,3.43195414543,0 
115,3.62068965517,1,1,1,3.32793188095,0 
116,11.8965517241,1,0,1,3.61594295502,0 
117,8.79310344828,1,0,1,3.52785086632,0 
118,7.75862068966,1,0,1,3.4399561882,0 
119,6.72413793103,1,1,0,3.27189397812,0 
120,10.8620689655,1,1,1,3.23191213608,0 
121,7.75862068966,1,0,0,3.35996699333,0 
122,12.9310344828,1,0,0,3.51192092896,0 
123,9.8275862069,1,0,0,3.39200377464,0 
124,13.9655172414,1,0,1,3.44782805443,0 
125,8.79310344828,1,1,1,3.38391208649,0 
126,1.55172413793,1,1,1,3.40000391006,0 
127,7.75862068966,1,1,0,3.21591186523,0 
128,3.62068965517,1,1,0,3.16794514656,0 
129,7.75862068966,1,1,0,3.23986816406,0 
130,11.8965517241,1,0,0,2.99998903275,0 
131,0.51724137931,1,0,0,2.94391012192,0 
132,11.8965517241,1,1,1,3.36789989471,0 
133,8.79310344828,1,1,0,3.40801095963,0 
