# Time : Tue Jun 28 16:33:50 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf31b378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf31b490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,12.9310344828,1,0,1,3.34164905548,0 
1,7.75862068966,1,1,0,3.38400316238,0 
2,9.8275862069,1,1,0,3.30388903618,0 
3,13.9655172414,1,1,0,3.24796104431,0 
4,1.55172413793,1,1,1,3.0237891674,0 
5,5.68965517241,1,1,0,3.28795194626,0 
6,4.65517241379,1,0,0,3.31194710732,0 
7,1.55172413793,1,1,1,3.37583398819,0 
8,5.68965517241,1,0,1,3.38398694992,0 
9,9.8275862069,1,0,1,3.49588418007,0 
10,10.8620689655,1,0,1,3.44791102409,0 
11,1.55172413793,1,1,1,3.30372595787,0 
12,8.79310344828,1,1,0,3.24022483826,0 
13,11.8965517241,1,1,0,3.39186286926,0 
14,12.9310344828,1,1,0,3.31199097633,0 
15,0.51724137931,1,1,1,3.43975281715,0 
16,6.72413793103,1,1,0,3.3601732254,0 
17,6.72413793103,1,0,0,3.03179693222,0 
18,12.9310344828,1,0,1,3.58392977715,0 
19,8.79310344828,1,0,0,3.15996694565,0 
20,0.51724137931,1,0,1,3.72786307335,0 
21,3.62068965517,1,1,0,3.88796281815,0 
22,6.72413793103,1,1,0,3.43194890022,0 
23,9.8275862069,1,0,1,3.41568684578,0 
24,2.58620689655,1,0,0,3.48816990852,0 
25,13.9655172414,1,1,0,4.47990202904,0 
26,6.72413793103,1,1,1,3.59188985825,0 
27,1.55172413793,1,1,1,3.50387692451,0 
28,7.75862068966,1,1,0,3.1760699749,0 
29,3.62068965517,1,0,1,3.43983006477,0 
30,9.8275862069,1,0,0,3.54393601418,0 
31,4.65517241379,1,0,0,3.34398293495,0 
32,13.9655172414,1,1,0,3.43195581436,0 
33,13.9655172414,0,1,1,4.25585579872,0 
34,2.58620689655,1,0,1,3.0799279213,0 
35,13.9655172414,0,0,1,3.74382686615,0 
36,0.51724137931,1,0,0,3.31208705902,0 
37,9.8275862069,1,1,1,3.51982808113,0 
38,1.55172413793,1,0,1,3.48790812492,0 
39,8.79310344828,1,1,1,3.55980801582,0 
40,2.58620689655,1,0,0,3.57604885101,0 
41,8.79310344828,1,0,0,3.31200504303,0 
42,13.9655172414,1,0,1,3.53584003448,0 
43,6.72413793103,1,0,1,3.51186180115,0 
44,8.79310344828,1,0,1,3.47195506096,0 
45,5.68965517241,1,0,0,3.32792782784,0 
46,3.62068965517,1,1,1,3.33588886261,0 
47,8.79310344828,1,1,1,3.33591198921,0 
48,6.72413793103,1,0,1,3.2878921032,0 
49,1.55172413793,1,1,1,3.40000486374,0 
50,12.9310344828,1,0,0,3.47994995117,0 
51,7.75862068966,1,1,1,3.55984306335,0 
52,0.51724137931,1,0,0,3.27197098732,0 
53,5.68965517241,1,0,0,3.48797392845,0 
54,11.8965517241,1,1,0,3.37589812279,0 
55,10.8620689655,1,0,0,3.35992503166,0 
56,4.65517241379,1,0,1,3.46392989159,0 
57,4.65517241379,1,1,0,3.16794896126,0 
58,0.51724137931,1,0,1,3.55985593796,0 
59,10.8620689655,1,0,0,3.43996500969,0 
60,11.8965517241,1,1,0,3.14391088486,0 
61,7.75862068966,1,1,1,3.31184196472,0 
62,10.8620689655,1,0,0,3.21608996391,0 
63,9.8275862069,1,0,0,3.47176504135,0 
64,4.65517241379,1,1,1,3.36779594421,0 
65,1.55172413793,1,1,1,3.55232095718,0 
66,7.75862068966,1,1,0,3.33586788177,0 
67,13.9655172414,0,0,1,4.11187815666,0 
68,1.55172413793,1,1,1,3.33592104912,0 
69,9.8275862069,1,1,1,3.63192486763,0 
70,7.75862068966,1,0,0,3.3519551754,0 
71,12.9310344828,1,0,1,3.40787792206,0 
72,11.8965517241,1,1,0,3.2240459919,0 
73,10.8620689655,1,0,1,3.38384580612,0 
74,6.72413793103,1,0,0,3.27999901772,0 
75,9.8275862069,1,1,0,3.19988203049,0 
76,5.68965517241,1,1,0,2.97587800026,0 
77,0.51724137931,1,0,0,3.45598602295,0 
78,5.68965517241,1,1,0,3.06390690804,0 
79,0.51724137931,1,1,0,2.98400688171,0 
80,10.8620689655,1,0,1,3.64781403542,0 
81,2.58620689655,1,1,0,3.30392599106,0 
82,5.68965517241,1,1,0,2.99206614494,0 
83,11.8965517241,1,0,1,3.46375417709,0 
84,10.8620689655,1,1,1,3.27175307274,0 
85,7.75862068966,1,1,0,3.25613093376,0 
86,1.55172413793,1,0,0,2.95156002045,0 
87,4.65517241379,1,1,1,3.40793609619,0 
88,8.79310344828,1,0,1,3.36806988716,0 
89,13.9655172414,1,0,0,3.33589696884,0 
90,3.62068965517,1,0,0,3.56799888611,0 
91,2.58620689655,1,0,0,3.31189608574,0 
92,12.9310344828,1,0,1,3.64786100388,0 
93,6.72413793103,1,0,1,3.44792890549,0 
94,7.75862068966,1,0,0,3.28800702095,0 
95,8.79310344828,1,0,0,3.06384801865,0 
96,5.68965517241,1,1,1,3.39191818237,0 
97,8.79310344828,1,0,1,4.15998601913,0 
98,9.8275862069,1,1,1,3.34389996529,0 
99,8.79310344828,1,0,0,2.95194196701,0 
100,12.9310344828,1,1,1,3.4639210701,0 
101,6.72413793103,1,1,0,3.15191698074,0 
102,2.58620689655,1,0,0,3.40002083778,0 
103,12.9310344828,1,0,1,3.47977304459,0 
104,0.51724137931,1,1,1,3.59201407433,0 
105,5.68965517241,1,1,1,3.42386388779,0 
106,5.68965517241,1,0,0,3.40795612335,0 
107,6.72413793103,1,1,0,3.46385979652,0 
108,6.72413793103,1,1,0,3.21604800224,0 
109,9.8275862069,1,0,0,3.27987408638,0 
110,3.62068965517,1,1,1,3.32784605026,0 
111,8.79310344828,1,1,1,3.42383694649,0 
112,11.8965517241,1,0,1,3.29600405693,0 
113,13.9655172414,1,1,1,3.42395401001,0 
114,3.62068965517,1,1,1,3.27980804443,0 
115,3.62068965517,1,1,0,3.17603707314,0 
116,7.75862068966,1,1,1,3.1279399395,0 
117,11.8965517241,1,1,1,3.31192588806,0 
118,10.8620689655,1,0,1,3.63990688324,0 
119,4.65517241379,1,0,0,3.0879740715,0 
120,3.62068965517,1,1,0,3.1838619709,0 
121,11.8965517241,1,1,0,3.72789406776,1 
122,11.8965517241,1,0,1,3.30396199226,0 
123,2.58620689655,1,1,1,3.19986200333,0 
124,7.75862068966,1,0,1,3.2799680233,0 
125,2.58620689655,1,1,1,3.23201417923,0 
126,2.58620689655,1,1,1,3.19983696938,0 
127,2.58620689655,1,0,1,2.90843987465,0 
128,10.8620689655,1,0,1,3.18739891052,0 
129,7.75862068966,1,0,0,3.31200408936,0 
130,1.55172413793,1,0,0,3.54392194748,0 
131,11.8965517241,1,1,0,3.38388800621,0 
132,12.9310344828,1,1,1,3.28788304329,0 
133,4.65517241379,1,1,1,3.0959918499,0 
134,3.62068965517,1,1,1,3.30384492874,0 
135,9.8275862069,1,1,0,3.83204889297,0 
136,12.9310344828,1,0,0,3.39174103737,0 
137,4.65517241379,1,0,1,3.40797996521,0 
138,4.65517241379,1,1,1,3.35190105438,0 
139,0.51724137931,1,0,1,3.3359670639,0 
140,10.8620689655,1,1,0,3.4800491333,0 
141,5.68965517241,1,1,0,3.10385584831,0 
142,4.65517241379,1,1,0,3.3200070858,0 
143,12.9310344828,1,0,0,3.01583909988,0 
144,0.51724137931,1,1,1,3.56788897514,0 
145,3.62068965517,1,0,0,3.28798699379,0 
146,13.9655172414,1,0,1,3.52784013748,0 
147,10.8620689655,1,0,1,3.13581585884,0 
148,13.9655172414,1,1,0,3.33601498604,0 
149,11.8965517241,1,0,1,3.36000299454,0 
