# Time : Tue Jun 28 16:43:36 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xdbae490> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xdbae3c8> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,7.75862068966,1,1,1,3.4226770401,0 
1,12.9310344828,1,0,1,3.47193384171,0 
2,11.8965517241,1,1,0,3.43198609352,0 
3,13.9655172414,1,1,1,3.56785607338,0 
4,1.55172413793,1,1,1,3.90389800072,0 
5,9.8275862069,1,1,0,4.26399302483,0 
6,11.8965517241,1,0,1,3.71184015274,0 
7,10.8620689655,1,1,0,3.56793284416,0 
8,2.58620689655,1,1,0,3.33594894409,0 
9,0.51724137931,1,0,1,3.45586514473,0 
10,13.9655172414,1,0,0,2.99999094009,0 
11,2.58620689655,1,1,1,3.18390202522,0 
12,4.65517241379,1,1,0,3.43185210228,0 
13,11.8965517241,1,1,1,3.22370696068,0 
14,3.62068965517,1,0,1,3.3041510582,0 
15,12.9310344828,1,0,0,3.24002218246,0 
16,0.51724137931,1,1,0,3.30382609367,0 
17,5.68965517241,1,1,0,3.24798202515,0 
18,12.9310344828,0,0,1,3.69589090347,0 
19,8.79310344828,1,1,0,2.95939087868,0 
20,7.75862068966,1,1,1,2.99250793457,0 
21,4.65517241379,1,0,1,3.51973795891,0 
22,6.72413793103,1,1,1,3.36008214951,0 
23,3.62068965517,1,0,1,3.84791517258,0 
24,10.8620689655,0,0,1,3.49590396881,0 
25,9.8275862069,1,1,1,3.47993803024,0 
26,13.9655172414,1,0,1,3.65591812134,0 
27,2.58620689655,1,0,0,3.3999569416,0 
28,3.62068965517,1,0,1,3.44004106522,0 
29,0.51724137931,1,0,0,2.99187898636,0 
30,11.8965517241,1,0,1,3.35984182358,0 
31,8.79310344828,1,0,1,3.31990504265,0 
32,5.68965517241,1,1,0,3.04798102379,0 
33,13.9655172414,1,1,0,3.0799279213,0 
34,10.8620689655,1,0,0,3.11187291145,0 
35,6.72413793103,1,1,0,3.1200067997,0 
36,6.72413793103,1,0,1,3.43183898926,0 
37,2.58620689655,1,0,0,3.61599993706,0 
38,9.8275862069,1,0,1,3.75187921524,0 
39,10.8620689655,1,1,0,3.27997899055,0 
40,6.72413793103,1,0,0,3.40790295601,0 
41,0.51724137931,1,0,1,3.77587795258,0 
42,4.65517241379,1,0,1,3.26389694214,0 
43,3.62068965517,1,1,1,3.28792095184,0 
44,4.65517241379,1,0,1,3.23990082741,0 
45,8.79310344828,1,1,0,3.07999300957,0 
46,11.8965517241,1,1,1,3.01586198807,0 
47,11.8965517241,1,0,1,3.30391407013,0 
48,9.8275862069,1,0,0,3.48801207542,0 
49,1.55172413793,1,0,0,3.59985589981,0 
50,8.79310344828,1,0,0,3.63999581337,0 
51,12.9310344828,1,0,0,3.23193287849,0 
52,6.72413793103,1,1,1,3.33585786819,0 
53,11.8965517241,1,1,1,3.30394887924,0 
54,9.8275862069,1,1,1,3.27188301086,0 
55,6.72413793103,1,1,1,3.2559440136,0 
56,7.75862068966,1,1,1,3.16792297363,0 
57,3.62068965517,1,1,0,2.99202895164,0 
58,9.8275862069,1,1,0,3.01587486267,0 
59,7.75862068966,1,1,1,3.14393305779,0 
60,13.9655172414,1,1,0,3.37593698502,0 
61,7.75862068966,1,0,1,2.93585896492,0 
62,6.72413793103,1,1,1,3.0160009861,0 
63,9.8275862069,1,0,0,3.1279129982,0 
64,7.75862068966,1,1,1,2.94315290451,0 
65,1.55172413793,1,0,1,2.94444513321,0 
66,10.8620689655,1,1,0,2.94729995728,0 
67,0.51724137931,1,1,0,2.95634078979,0 
68,8.79310344828,1,1,1,3.25633502007,0 
69,10.8620689655,1,0,0,3.59202289581,0 
70,6.72413793103,1,1,0,2.94050598145,0 
71,11.8965517241,1,1,0,2.96349191666,0 
72,10.8620689655,1,1,1,3.05574083328,0 
73,10.8620689655,1,1,0,3.44786810875,0 
74,2.58620689655,1,0,1,2.99190711975,0 
75,12.9310344828,1,1,1,3.40789079666,0 
76,4.65517241379,1,1,1,2.93349909782,0 
77,5.68965517241,1,1,0,2.96490693092,0 
78,0.51724137931,1,1,1,3.17339301109,0 
79,4.65517241379,1,1,1,3.11190795898,0 
80,3.62068965517,1,0,1,3.07191300392,0 
81,1.55172413793,1,0,1,3.25599098206,0 
82,9.8275862069,1,0,0,2.95255184174,0 
83,2.58620689655,1,0,1,3.43921804428,0 
84,2.58620689655,1,0,1,2.99990391731,0 
85,5.68965517241,1,0,1,3.21579504013,0 
86,13.9655172414,1,1,1,3.42408180237,0 
87,13.9655172414,1,0,1,3.32769703865,0 
88,3.62068965517,1,0,0,2.94683599472,0 
89,3.62068965517,1,0,0,2.95281600952,0 
90,4.65517241379,1,0,0,2.9529030323,0 
91,10.8620689655,1,1,1,3.1150970459,0 
92,4.65517241379,1,1,1,2.99188804626,0 
93,7.75862068966,1,1,0,2.95277500153,0 
94,8.79310344828,1,1,0,3.27119708061,0 
95,12.9310344828,1,1,1,3.39178514481,0 
96,5.68965517241,1,0,0,3.23186016083,0 
97,5.68965517241,1,0,1,3.32801890373,0 
98,9.8275862069,1,1,0,2.96575093269,0 
99,11.8965517241,1,1,0,3.05010509491,0 
100,9.8275862069,1,1,0,3.16802310944,0 
101,4.65517241379,1,1,0,2.9678068161,0 
102,0.51724137931,1,1,0,2.96771097183,0 
103,13.9655172414,1,1,1,3.35212898254,0 
104,2.58620689655,1,0,1,2.98394608498,0 
105,1.55172413793,1,0,0,2.95861411095,0 
106,6.72413793103,1,0,0,3.12932682037,0 
107,8.79310344828,1,1,1,2.94128584862,0 
108,10.8620689655,1,1,1,3.04252314568,0 
109,12.9310344828,1,0,1,2.94620418549,0 
110,7.75862068966,1,0,0,3.02160406113,0 
111,1.55172413793,1,0,0,2.9555811882,0 
112,0.51724137931,1,0,0,2.95254397392,0 
113,5.68965517241,1,1,0,2.96484494209,0 
114,8.79310344828,1,0,0,2.96493196487,0 
115,2.58620689655,1,1,0,3.0577249527,0 
116,7.75862068966,1,1,1,2.94212412834,0 
117,6.72413793103,1,0,1,3.35363388062,0 
118,8.79310344828,1,1,0,2.9521689415,0 
119,9.8275862069,1,0,0,3.00771999359,0 
120,5.68965517241,1,1,1,2.95983505249,0 
121,12.9310344828,1,0,0,2.94834804535,0 
122,6.72413793103,1,1,0,2.95587921143,0 
123,0.51724137931,1,0,1,3.27140307426,0 
124,4.65517241379,1,1,1,2.95349502563,0 
125,7.75862068966,1,1,1,2.96358299255,0 
126,1.55172413793,1,0,0,2.96585202217,0 
127,8.79310344828,1,1,1,3.14089798927,0 
128,3.62068965517,1,1,1,3.05587887764,0 
129,7.75862068966,1,1,1,2.94379687309,0 
130,1.55172413793,1,0,0,2.95373892784,0 
131,4.65517241379,1,1,1,2.94083309174,0 
132,3.62068965517,0,0,1,5.5054461956,0 
133,11.8965517241,1,0,1,3.20778989792,0 
134,1.55172413793,1,1,0,2.94593095779,0 
135,13.9655172414,1,0,1,3.26206803322,0 
136,12.9310344828,1,0,1,2.93900084496,0 
137,12.9310344828,1,1,0,2.96394300461,0 
138,5.68965517241,1,0,0,3.04875898361,0 
139,0.51724137931,1,1,0,2.95218420029,0 
140,13.9655172414,1,0,1,3.3036210537,0 
141,5.68965517241,1,1,0,2.96714997292,0 
142,11.8965517241,1,0,0,2.96472787857,0 
143,8.79310344828,1,1,1,3.20385289192,0 
144,5.68965517241,1,0,0,2.96101212502,0 
145,1.55172413793,1,1,0,2.96482896805,0 
146,10.8620689655,1,1,0,2.96488595009,0 
147,12.9310344828,1,0,1,3.15702819824,0 
148,2.58620689655,1,0,0,3.03227901459,0 
149,13.9655172414,1,0,1,3.4075319767,0 
