# Time : Tue Jun 28 17:01:57 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : CH 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xe1e9378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xe1e9490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,8.79310344828,1,1,1,3.35040402412,0 
1,1.55172413793,1,1,0,3.09597396851,0 
2,9.8275862069,1,1,1,3.0078098774,0 
3,13.9655172414,1,1,1,3.11984491348,0 
4,2.58620689655,1,1,0,2.94452190399,0 
5,5.68965517241,1,0,0,2.94142603874,0 
6,10.8620689655,1,1,1,3.08188199997,0 
7,10.8620689655,1,0,1,3.12791800499,0 
8,11.8965517241,1,0,0,3.01629304886,0 
9,5.68965517241,1,1,0,3.14363408089,0 
10,1.55172413793,1,0,1,3.31184983253,0 
11,0.51724137931,1,1,1,3.27171206474,0 
12,13.9655172414,1,1,1,3.20807003975,0 
13,7.75862068966,1,0,1,3.29597210884,0 
14,7.75862068966,1,1,0,3.06392598152,0 
15,12.9310344828,1,0,0,3.47194504738,0 
16,3.62068965517,1,0,1,3.46384310722,0 
17,11.8965517241,1,1,1,3.31190896034,0 
18,13.9655172414,1,0,1,3.13594412804,0 
19,11.8965517241,1,1,0,3.11997103691,0 
20,12.9310344828,1,1,0,3.079859972,0 
21,3.62068965517,1,1,0,2.94828009605,0 
22,9.8275862069,1,1,1,3.00351119041,0 
23,8.79310344828,1,1,0,3.04807305336,0 
24,9.8275862069,1,1,1,3.2718770504,0 
25,3.62068965517,1,1,0,3.02398991585,0 
26,8.79310344828,1,1,1,3.31185007095,0 
27,2.58620689655,1,1,1,3.27192497253,0 
28,9.8275862069,1,1,0,3.41607713699,0 
29,12.9310344828,1,0,0,3.15968799591,0 
30,6.72413793103,1,1,0,3.30411791801,0 
31,4.65517241379,1,0,0,3.607847929,0 
32,11.8965517241,1,0,0,3.43995809555,0 
33,7.75862068966,1,1,0,3.25584602356,0 
34,1.55172413793,1,1,1,3.32791495323,0 
35,12.9310344828,1,1,0,3.1759428978,0 
36,5.68965517241,1,0,1,3.34382796288,0 
37,5.68965517241,1,0,0,3.38412189484,0 
38,1.55172413793,1,1,1,3.51982593536,0 
39,10.8620689655,1,1,0,3.2239780426,0 
40,10.8620689655,1,1,0,3.30392694473,0 
41,8.79310344828,1,1,1,3.30386781693,0 
42,3.62068965517,1,1,0,3.30396294594,0 
43,1.55172413793,1,1,1,3.22383904457,0 
44,1.55172413793,1,0,0,3.03998589516,0 
45,13.9655172414,1,1,1,3.85586094856,0 
46,2.58620689655,1,1,0,3.13592195511,0 
47,9.8275862069,1,1,0,3.23999595642,0 
48,3.62068965517,1,0,0,3.43974995613,0 
49,12.9310344828,1,0,1,3.41600298882,0 
50,6.72413793103,1,0,0,2.97596502304,0 
51,3.62068965517,1,0,0,3.25592184067,0 
52,6.72413793103,1,0,1,3.64797496796,0 
53,6.72413793103,1,0,0,3.34393501282,0 
54,2.58620689655,1,1,1,3.08786892891,0 
55,5.68965517241,1,0,0,3.28796696663,0 
56,11.8965517241,1,0,1,3.4959499836,0 
57,12.9310344828,1,1,1,3.27972912788,0 
58,7.75862068966,1,0,1,3.28803014755,0 
59,4.65517241379,1,1,0,2.96566081047,0 
60,4.65517241379,1,1,1,3.33817505836,0 
61,10.8620689655,1,1,0,3.07997989655,0 
62,7.75862068966,1,0,0,3.29599785805,0 
63,13.9655172414,1,1,0,3.05579996109,0 
64,8.79310344828,1,1,0,3.06398010254,0 
65,13.9655172414,1,0,0,3.11193013191,0 
66,5.68965517241,1,1,1,2.99187302589,0 
67,10.8620689655,1,0,1,3.36000394821,0 
68,11.8965517241,1,0,1,3.39183592796,0 
69,8.79310344828,1,1,1,3.3358938694,0 
70,10.8620689655,1,0,1,3.00796079636,0 
71,4.65517241379,1,1,0,2.96853995323,0 
72,3.62068965517,1,1,0,2.94980502129,0 
73,8.79310344828,1,0,1,3.35343599319,0 
74,13.9655172414,1,0,0,3.34399199486,0 
75,0.51724137931,1,1,0,3.4077899456,0 
76,7.75862068966,1,1,1,3.06395983696,0 
77,12.9310344828,1,0,1,3.35188293457,0 
78,3.62068965517,1,0,1,3.20794606209,0 
79,7.75862068966,1,0,0,2.99196195602,0 
80,13.9655172414,1,0,0,3.40791296959,0 
81,13.9655172414,1,0,1,3.3758919239,0 
82,5.68965517241,1,0,0,3.19196295738,0 
83,6.72413793103,1,0,1,3.32785606384,0 
84,6.72413793103,1,0,0,3.36793398857,0 
85,13.9655172414,1,1,0,3.42399406433,0 
86,9.8275862069,1,0,1,3.2878139019,0 
87,9.8275862069,1,1,0,2.96777009964,0 
88,5.68965517241,1,0,0,2.95724701881,0 
89,6.72413793103,1,1,1,3.10653710365,0 
90,7.75862068966,1,0,0,2.99996399879,0 
91,10.8620689655,1,0,0,2.9999859333,0 
92,1.55172413793,1,0,0,2.95270109177,0 
93,5.68965517241,1,1,0,2.96526813507,0 
94,4.65517241379,1,0,1,3.39370799065,0 
95,0.51724137931,1,0,1,3.32794880867,0 
96,9.8275862069,1,0,1,3.18393015862,0 
97,2.58620689655,1,0,0,2.999958992,0 
98,7.75862068966,1,0,1,3.79992604256,0 
99,11.8965517241,1,1,1,3.43192791939,0 
100,8.79310344828,1,1,0,3.20804715157,0 
101,6.72413793103,1,0,0,3.27176904678,0 
102,4.65517241379,1,0,0,2.94870996475,0 
103,4.65517241379,1,1,1,3.3791949749,0 
104,7.75862068966,1,0,0,3.34402704239,0 
105,9.8275862069,1,0,1,3.43981599808,0 
106,11.8965517241,1,1,1,3.31191778183,0 
107,1.55172413793,1,0,0,2.9679210186,0 
108,10.8620689655,1,1,0,3.20791697502,0 
109,2.58620689655,1,0,1,3.31995391846,0 
110,4.65517241379,1,0,0,3.19196295738,0 
111,0.51724137931,1,1,1,3.29573822021,0 
112,8.79310344828,1,0,1,3.40802907944,0 
113,11.8965517241,1,0,1,3.33588790894,0 
114,7.75862068966,1,0,0,3.36793088913,0 
115,11.8965517241,1,1,1,3.30393004417,0 
116,2.58620689655,1,1,0,3.15994310379,0 
117,4.65517241379,1,0,0,3.39984703064,0 
118,9.8275862069,1,1,0,3.18400287628,0 
119,5.68965517241,1,1,1,3.22386312485,0 
120,0.51724137931,1,1,0,3.32794809341,0 
121,6.72413793103,1,1,1,3.1839120388,0 
122,8.79310344828,1,1,0,3.19196820259,0 
123,5.68965517241,1,1,1,3.0637960434,0 
124,0.51724137931,1,0,1,3.34398388863,0 
125,1.55172413793,1,0,1,3.15995717049,0 
126,10.8620689655,1,0,0,2.94889712334,0 
127,0.51724137931,1,1,0,3.42700600624,0 
128,6.72413793103,1,1,0,3.31980705261,0 
129,0.51724137931,1,0,1,3.43187785149,0 
130,10.8620689655,1,0,0,3.44010591507,0 
131,13.9655172414,1,0,1,3.51981115341,0 
132,0.51724137931,1,1,0,3.11197090149,0 
133,6.72413793103,1,0,0,3.23997688293,0 
134,2.58620689655,1,1,0,3.16796994209,0 
135,4.65517241379,1,0,1,3.439868927,0 
136,3.62068965517,1,0,0,3.05590510368,0 
137,3.62068965517,1,0,0,3.35988783836,0 
138,2.58620689655,1,1,0,2.97588586807,0 
139,8.79310344828,1,1,0,2.99999213219,0 
140,2.58620689655,1,0,0,2.94776988029,0 
141,0.51724137931,1,0,1,3.40395307541,0 
142,9.8275862069,1,1,0,3.240016222,0 
143,12.9310344828,1,0,0,3.30396008492,0 
144,12.9310344828,1,0,0,3.12786579132,0 
145,12.9310344828,1,0,0,3.3998708725,0 
146,1.55172413793,1,1,1,3.31190109253,0 
147,11.8965517241,1,0,0,3.39188504219,0 
148,12.9310344828,1,1,1,3.37588596344,0 
149,4.65517241379,1,1,1,3.30402708054,0 
