# Time : Sat Jun  4 15:04:54 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xffa7490> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xffa73c8> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,8.79310344828,1,0,1,3.37114310265,0 
1,10.8620689655,1,1,0,3.1359910965,0 
2,0.51724137931,1,0,0,3.55990886688,0 
3,7.75862068966,1,1,0,3.43185520172,0 
4,5.68965517241,1,0,0,3.52792978287,0 
5,3.62068965517,1,0,0,4.32794713974,0 
6,7.75862068966,1,1,1,4.43183898926,0 
7,6.72413793103,1,0,0,3.57601904869,0 
8,11.8965517241,1,0,1,3.35984301567,0 
9,9.8275862069,1,0,0,3.6399538517,0 
10,3.62068965517,1,1,1,2.94830703735,0 
11,11.8965517241,1,0,0,4.37164711952,0 
12,4.65517241379,1,0,0,3.6398639679,0 
13,3.62068965517,1,1,0,3.05593299866,0 
14,3.62068965517,1,1,0,3.14393591881,0 
15,10.8620689655,1,0,1,3.71991991997,0 
16,5.68965517241,1,1,0,3.83191013336,0 
17,10.8620689655,1,1,1,3.67192006111,0 
18,2.58620689655,1,0,1,3.34390115738,0 
19,7.75862068966,1,0,1,3.67195796967,0 
20,2.58620689655,1,1,1,3.24796295166,0 
21,5.68965517241,1,1,0,2.95053505898,0 
22,11.8965517241,1,0,0,3.88134098053,0 
23,3.62068965517,1,0,0,3.43983197212,0 
24,11.8965517241,1,1,0,2.96168708801,0 
25,6.72413793103,1,1,1,3.67814898491,0 
26,4.65517241379,0,1,1,5.24794793129,0 
27,8.79310344828,1,1,1,3.32798099518,0 
28,11.8965517241,1,1,1,3.07994794846,0 
29,9.8275862069,1,1,1,2.93807506561,0 
30,13.9655172414,1,0,0,3.50173997879,0 
31,6.72413793103,1,0,1,2.93469882011,0 
32,9.8275862069,1,1,0,3.26518893242,0 
33,8.79310344828,1,0,1,3.52782511711,0 
34,5.68965517241,1,1,1,4.1679520607,0 
35,9.8275862069,1,0,1,5.43980503082,0 
36,1.55172413793,1,0,0,3.00803589821,0 
37,0.51724137931,1,0,0,4.19978094101,0 
38,9.8275862069,1,1,1,3.3920609951,0 
39,3.62068965517,1,0,1,3.31189084053,0 
40,10.8620689655,1,0,0,3.19193601608,0 
41,1.55172413793,1,1,0,3.24798083305,0 
42,0.51724137931,1,1,1,3.33586907387,0 
43,12.9310344828,1,1,1,2.94480705261,0 
44,3.62068965517,1,0,0,2.94128394127,0 
45,5.68965517241,1,0,1,3.55364704132,0 
46,7.75862068966,1,0,0,3.58401298523,0 
