# Time : Sat Jun 18 14:35:06 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x110fb5d0> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x110fb670> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,0.51724137931,0,0,1,3.83034205437,0 
1,10.8620689655,1,1,0,3.79177713394,0 
2,6.72413793103,1,0,1,3.42435097694,0 
3,5.68965517241,1,0,0,3.07683610916,0 
4,5.68965517241,1,0,1,3.63438415527,0 
5,1.55172413793,1,0,0,3.21884799004,0 
6,4.65517241379,1,0,1,2.93137192726,0 
7,8.79310344828,1,0,0,3.22570490837,0 
8,8.79310344828,1,0,0,2.98606109619,0 
9,2.58620689655,1,1,0,3.10064196587,0 
10,0.51724137931,1,1,0,4.34486508369,0 
11,9.8275862069,1,0,0,3.32002401352,0 
12,12.9310344828,1,0,1,4.1676440239,0 
13,3.62068965517,1,0,1,3.43990492821,0 
14,13.9655172414,1,0,1,2.93448805809,0 
15,5.68965517241,1,0,0,2.98803591728,0 
16,10.8620689655,1,1,0,2.977850914,0 
17,7.75862068966,0,1,0,2.99883103371,0 
18,5.68965517241,1,1,0,3.29244494438,0 
19,12.9310344828,1,0,1,3.34382200241,0 
20,1.55172413793,1,0,0,3.18387413025,0 
21,2.58620689655,1,1,0,2.98059296608,0 
22,6.72413793103,1,1,0,2.96543502808,0 
23,8.79310344828,1,1,1,3.12605905533,0 
24,5.68965517241,1,1,0,4.04747509956,0 
25,7.75862068966,1,1,1,3.83196210861,0 
26,5.68965517241,1,0,1,2.98384618759,0 
27,13.9655172414,1,0,1,2.94194698334,0 
28,13.9655172414,1,0,1,3.51386499405,0 
29,13.9655172414,1,1,0,2.97914791107,0 
30,7.75862068966,1,1,1,2.95297908783,0 
31,0.51724137931,1,1,0,3.59590506554,0 
32,10.8620689655,1,1,1,2.93430399895,0 
33,12.9310344828,1,1,1,2.99343109131,0 
34,8.79310344828,1,0,0,2.95642495155,0 
35,4.65517241379,1,0,1,3.71519899368,0 
36,8.79310344828,1,0,1,3.31929087639,0 
37,12.9310344828,1,0,1,5.36083698273,0 
38,2.58620689655,1,0,0,3.00849103928,0 
39,12.9310344828,0,0,1,3.08696699142,0 
40,8.79310344828,1,1,0,5.53625297546,0 
41,4.65517241379,1,0,1,3.42373490334,0 
42,9.8275862069,1,0,0,2.95346713066,0 
43,3.62068965517,1,0,1,3.19832086563,0 
44,4.65517241379,1,1,1,2.95265007019,0 
45,0.51724137931,1,1,0,3.15933895111,0 
46,8.79310344828,1,1,1,3.4556119442,0 
47,2.58620689655,1,0,1,2.91699790955,0 
48,3.62068965517,1,1,0,3.00089383125,0 
49,5.68965517241,1,0,0,2.94982600212,0 
50,6.72413793103,1,1,1,3.42788100243,0 
51,5.68965517241,1,0,1,3.23193788528,0 
52,2.58620689655,1,0,0,3.12012815475,0 
53,6.72413793103,1,0,0,3.26362586021,0 
54,7.75862068966,1,1,0,2.95988082886,0 
55,11.8965517241,1,0,0,3.30397295952,0 
56,13.9655172414,1,0,0,2.96706414223,0 
57,8.79310344828,1,0,0,3.4569671154,0 
58,11.8965517241,1,1,1,2.94476604462,0 
59,7.75862068966,1,1,1,3.19076490402,0 
60,10.8620689655,1,0,1,4.11190390587,0 
61,11.8965517241,1,1,0,2.97863006592,0 
62,11.8965517241,1,0,0,2.99740099907,0 
63,3.62068965517,1,0,0,4.58366894722,0 
64,13.9655172414,1,1,0,3.50408291817,0 
65,12.9310344828,1,1,0,2.96208786964,0 
66,11.8965517241,1,0,1,3.00546002388,0 
67,6.72413793103,1,1,0,2.97619700432,0 
68,12.9310344828,1,1,0,3.01868581772,0 
69,0.51724137931,1,0,0,2.9648668766,0 
70,9.8275862069,1,1,1,3.08000183105,0 
71,3.62068965517,1,0,1,2.92897105217,0 
72,3.62068965517,1,1,0,3.01490092278,0 
73,12.9310344828,1,1,1,2.95354413986,0 
74,7.75862068966,1,0,0,3.27829098701,0 
75,4.65517241379,1,1,0,3.36805701256,0 
76,6.72413793103,1,1,1,2.92955803871,0 
77,2.58620689655,1,0,1,2.9418759346,0 
78,0.51724137931,1,0,0,3.15184307098,0 
79,13.9655172414,1,0,1,3.4078309536,0 
80,4.65517241379,1,0,0,2.98180603981,0 
81,7.75862068966,1,1,0,2.97676706314,0 
82,9.8275862069,1,1,0,2.95295095444,0 
83,8.79310344828,1,1,0,2.97606515884,0 
84,7.75862068966,1,0,0,2.9920539856,0 
85,1.55172413793,1,1,0,2.94978308678,0 
86,11.8965517241,1,1,0,2.96511101723,0 
87,8.79310344828,1,1,0,2.95068192482,0 
88,4.65517241379,1,1,1,2.93002581596,0 
89,10.8620689655,1,0,1,2.9289560318,0 
90,3.62068965517,1,1,0,2.96484684944,0 
91,3.62068965517,1,0,0,2.95590305328,0 
92,11.8965517241,1,0,0,3.01606702805,0 
93,1.55172413793,1,0,1,2.94594097137,0 
94,7.75862068966,1,0,1,3.19804406166,0 
95,9.8275862069,1,0,1,2.93159198761,0 
96,9.8275862069,1,1,0,2.95292687416,0 
97,11.8965517241,1,1,0,2.95407104492,0 
98,12.9310344828,1,0,0,2.99296092987,0 
99,3.62068965517,1,1,0,2.97175312042,0 
100,13.9655172414,1,1,0,3.11580204964,0 
101,3.62068965517,1,0,1,2.96811509132,0 
