# Time : Sat Jun 18 14:47:28 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xfeca490> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xfeca3c8> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,5.68965517241,1,0,1,3.11208605766,0 
1,2.58620689655,1,1,0,3.1609108448,0 
2,10.8620689655,1,1,1,2.95672798157,0 
3,3.62068965517,1,1,1,3.05055689812,0 
4,7.75862068966,1,0,1,2.93791413307,0 
5,5.68965517241,1,0,1,3.26180100441,0 
6,11.8965517241,1,0,0,3.36826014519,0 
7,2.58620689655,1,1,0,3.04077792168,0 
8,11.8965517241,1,1,0,2.97705197334,0 
9,8.79310344828,1,1,0,2.98797988892,0 
10,13.9655172414,1,0,1,4.05965685844,0 
11,4.65517241379,1,0,1,3.28566789627,0 
12,12.9310344828,1,0,1,3.26390910149,0 
13,6.72413793103,1,1,1,3.46410179138,0 
14,11.8965517241,1,1,1,2.93925595284,0 
15,9.8275862069,1,0,0,2.96514010429,0 
16,12.9310344828,1,0,0,3.01212716103,0 
17,1.55172413793,1,0,1,3.45390892029,0 
18,12.9310344828,1,1,0,3.11800789833,0 
19,5.68965517241,1,0,1,3.21485519409,0 
20,8.79310344828,1,0,1,3.17599892616,0 
21,2.58620689655,1,1,0,2.96778512001,0 
22,4.65517241379,1,0,0,3.04482889175,0 
23,12.9310344828,1,0,1,3.38701796532,0 
24,5.68965517241,1,1,0,3.84599900246,0 
25,2.58620689655,1,0,1,3.28179597855,0 
26,6.72413793103,1,1,0,2.95765209198,0 
27,9.8275862069,1,1,0,3.05885720253,0 
28,3.62068965517,1,0,0,2.95402002335,0 
29,5.68965517241,1,1,1,2.96484708786,0 
30,6.72413793103,1,1,1,2.97335886955,0 
31,0.51724137931,1,0,0,3.00224709511,0 
32,7.75862068966,1,0,1,2.93890500069,0 
33,7.75862068966,1,1,0,3.03809595108,0 
34,1.55172413793,1,0,1,3.06460690498,0 
35,0.51724137931,1,0,0,2.980271101,0 
36,7.75862068966,1,0,0,2.99974322319,0 
37,1.55172413793,1,1,1,2.94390201569,0 
38,13.9655172414,1,1,0,2.95396494865,0 
39,6.72413793103,1,1,1,3.08029794693,0 
40,9.8275862069,1,1,0,3.03981804848,0 
41,11.8965517241,1,0,1,3.31186294556,0 
42,0.51724137931,1,0,0,2.9563498497,0 
43,2.58620689655,1,0,0,3.55552101135,0 
44,9.8275862069,1,0,1,2.93857717514,0 
45,0.51724137931,1,0,0,2.95079088211,0 
46,13.9655172414,1,1,0,2.99048089981,0 
47,6.72413793103,1,1,0,2.97730898857,0 
48,5.68965517241,1,0,1,2.94103693962,0 
49,2.58620689655,1,0,0,2.95311880112,0 
50,1.55172413793,1,1,1,3.01623010635,0 
51,5.68965517241,1,1,0,2.94827389717,0 
52,4.65517241379,1,0,0,2.96536707878,0 
53,7.75862068966,1,0,1,3.22995591164,0 
54,10.8620689655,1,1,1,2.93428206444,0 
55,5.68965517241,1,1,1,3.03629589081,0 
56,10.8620689655,1,0,0,3.2329621315,0 
57,7.75862068966,1,1,1,3.12179398537,0 
58,2.58620689655,1,1,0,3.8980050087,0 
59,3.62068965517,1,1,1,3.13568806648,0 
60,9.8275862069,1,1,0,3.23996400833,0 
61,1.55172413793,1,0,0,3.52798604965,0 
62,3.62068965517,1,1,0,3.54401898384,0 
63,7.75862068966,1,1,1,3.1918900013,0 
64,8.79310344828,1,1,1,2.94372487068,0 
65,11.8965517241,1,0,0,3.16442990303,0 
66,3.62068965517,1,0,1,2.94150996208,0 
67,9.8275862069,1,0,0,3.66997790337,0 
68,6.72413793103,1,1,0,2.95429897308,0 
69,4.65517241379,1,1,0,2.96482396126,0 
70,12.9310344828,1,1,0,2.98455500603,0 
71,1.55172413793,1,1,1,2.99998998642,0 
72,11.8965517241,1,1,0,3.1038517952,0 
73,13.9655172414,1,1,1,2.93519806862,0 
74,10.8620689655,1,1,0,2.95285511017,0 
75,4.65517241379,1,0,1,2.99164700508,0 
76,8.79310344828,1,1,0,3.0879278183,0 
77,10.8620689655,1,0,1,3.34387016296,0 
78,6.72413793103,1,1,0,3.02400684357,0 
79,8.79310344828,1,1,0,3.15959215164,0 
80,10.8620689655,1,0,1,2.9363360405,0 
81,8.79310344828,1,1,0,3.12775993347,0 
82,9.8275862069,1,0,0,2.96572494507,0 
83,13.9655172414,1,1,1,3.25006103516,0 
84,8.79310344828,1,0,1,2.93928098679,0 
85,1.55172413793,1,0,1,2.93989992142,0 
86,3.62068965517,1,0,1,2.94180512428,0 
87,12.9310344828,1,0,0,2.95415401459,0 
88,12.9310344828,1,1,0,2.98543691635,0 
89,10.8620689655,1,1,0,3.36804509163,0 
90,3.62068965517,1,1,0,2.95963215828,0 
91,5.68965517241,1,1,0,2.96003389359,0 
92,4.65517241379,1,1,0,2.97580599785,0 
93,0.51724137931,1,1,1,3.17599201202,0 
94,10.8620689655,1,0,0,2.95215392113,0 
95,2.58620689655,1,0,0,3.10383415222,0 
96,12.9310344828,1,1,1,2.9918680191,0 
97,0.51724137931,1,1,0,2.96422886848,0 
98,11.8965517241,1,1,0,2.96389198303,0 
99,7.75862068966,1,1,0,4.20774698257,0 
100,3.62068965517,1,0,0,3.42376613617,0 
101,5.68965517241,1,1,1,3.17575597763,0 
102,1.55172413793,1,0,0,2.94659399986,0 
103,13.9655172414,1,1,1,3.46916007996,0 
104,13.9655172414,1,0,0,2.94297003746,0 
105,12.9310344828,1,1,1,3.14508605003,0 
106,10.8620689655,1,1,0,3.56780004501,0 
107,2.58620689655,1,0,0,2.96779203415,0 
108,8.79310344828,1,1,1,3.02399897575,0 
109,3.62068965517,1,1,0,2.95398283005,0 
110,0.51724137931,1,0,0,2.94375896454,0 
111,6.72413793103,1,1,1,2.91624283791,0 
112,4.65517241379,1,1,1,2.96177506447,0 
113,5.68965517241,1,0,1,3.3039150238,0 
114,11.8965517241,1,0,1,3.27988100052,0 
115,8.79310344828,1,1,0,4.29596090317,0 
116,9.8275862069,1,0,0,2.94696998596,0 
117,10.8620689655,1,0,1,2.94072079659,0 
118,1.55172413793,1,1,0,2.95265316963,0 
119,7.75862068966,1,1,1,3.06298708916,0 
120,7.75862068966,1,0,0,2.96190500259,0 
