# Time : Sat Jun 18 14:57:32 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x1080a378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x1080a490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,2.58620689655,1,1,1,3.0865149498,0 
1,6.72413793103,1,0,0,3.60722613335,0 
2,10.8620689655,1,1,0,2.95597505569,0 
3,2.58620689655,1,0,1,3.11576199532,0 
4,5.68965517241,1,1,1,2.93204903603,0 
5,2.58620689655,1,1,0,2.99992108345,0 
6,8.79310344828,1,0,0,3.11654210091,0 
7,0.51724137931,1,1,0,2.96614480019,0 
8,11.8965517241,1,0,1,3.39290308952,0 
9,8.79310344828,1,1,0,4.08773112297,0 
10,9.8275862069,1,1,1,5.04803800583,0 
11,13.9655172414,1,0,0,3.7998509407,0 
12,1.55172413793,1,1,0,3.03990507126,0 
13,5.68965517241,1,1,0,3.04428482056,0 
14,10.8620689655,1,0,0,4.45158314705,0 
15,7.75862068966,1,0,0,3.4878680706,0 
16,1.55172413793,1,0,1,4.35162401199,0 
17,12.9310344828,1,1,1,2.94492006302,0 
18,1.55172413793,1,1,0,2.98332595825,0 
19,13.9655172414,1,0,0,3.96059513092,0 
20,0.51724137931,1,1,1,3.25520801544,0 
21,5.68965517241,1,1,0,3.01592206955,0 
22,12.9310344828,1,0,1,3.41577982903,0 
23,9.8275862069,1,1,0,3.75185608864,0 
24,10.8620689655,1,0,0,3.22408699989,0 
25,8.79310344828,1,1,1,3.23159098625,0 
26,13.9655172414,1,1,0,3.78420591354,0 
27,8.79310344828,1,1,1,4.96788811684,0 
28,9.8275862069,1,1,0,2.96529698372,0 
29,13.9655172414,1,0,1,3.42627692223,0 
30,8.79310344828,1,1,0,3.4401640892,0 
31,1.55172413793,1,0,0,2.95702791214,0 
32,12.9310344828,1,0,1,4.99478888512,0 
33,10.8620689655,1,0,1,5.23184800148,0 
34,8.79310344828,1,1,0,2.96233010292,0 
35,4.65517241379,1,1,0,2.97588610649,0 
36,12.9310344828,1,0,1,2.96594190598,0 
37,5.68965517241,1,0,1,2.95149207115,0 
38,9.8275862069,1,0,1,3.29592394829,0 
39,2.58620689655,1,0,0,3.33596110344,0 
40,3.62068965517,1,1,1,3.00783991814,0 
41,6.72413793103,1,0,0,3.39186406136,0 
42,0.51724137931,1,0,0,2.94386196136,0 
43,10.8620689655,1,0,0,2.95585393906,0 
44,10.8620689655,1,1,0,2.95308184624,0 
45,1.55172413793,1,1,0,2.96526002884,0 
