# Time : Sat Jun 18 15:10:28 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf40b3c8> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf40b3f0> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,7.75862068966,1,0,1,17.2235159874,0 
1,5.68965517241,1,0,1,3.38350701332,0 
2,0.51724137931,1,1,1,3.37575101852,0 
3,9.8275862069,1,1,1,2.96321892738,0 
4,13.9655172414,1,1,0,2.98857998848,0 
5,8.79310344828,1,0,1,3.45604491234,0 
6,10.8620689655,1,0,1,3.22373795509,0 
7,11.8965517241,1,0,0,3.90411901474,0 
8,0.51724137931,0,1,1,5.56757903099,0 
9,4.65517241379,1,0,0,3.50419306755,0 
10,8.79310344828,1,0,1,4.32785797119,0 
11,6.72413793103,1,1,0,3.05591201782,0 
12,7.75862068966,1,0,1,3.167937994,0 
13,6.72413793103,1,0,1,3.4078681469,0 
14,3.62068965517,1,1,0,2.96304607391,0 
15,12.9310344828,1,1,0,2.95374298096,0 
16,12.9310344828,1,1,0,2.9648680687,0 
17,11.8965517241,1,0,0,3.19785308838,0 
18,6.72413793103,1,0,1,2.93089199066,0 
19,5.68965517241,1,0,0,3.01307988167,0 
20,5.68965517241,1,1,1,2.95154380798,0 
21,1.55172413793,1,1,0,2.96489405632,0 
22,3.62068965517,1,0,0,2.95288705826,0 
23,11.8965517241,1,1,1,2.94087505341,0 
24,0.51724137931,1,1,0,3.01323509216,0 
25,9.8275862069,1,1,0,2.95272111893,0 
26,10.8620689655,1,1,1,4.38313984871,0 
27,5.68965517241,1,1,0,2.9582130909,0 
28,9.8275862069,1,0,0,2.9651761055,0 
29,10.8620689655,1,1,0,3.06043100357,0 
30,11.8965517241,1,1,0,3.1037979126,0 
31,10.8620689655,1,0,0,3.19999814034,0 
32,0.51724137931,1,1,1,4.56781888008,0 
33,5.68965517241,1,1,1,3.28786206245,0 
