# Time : Sat Jun 18 15:19:57 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xfbe5378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xfbe5490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,8.79310344828,1,0,0,2.98435997963,0 
1,8.79310344828,1,0,1,3.56768512726,0 
2,8.79310344828,1,0,1,2.95740199089,0 
3,13.9655172414,1,0,1,3.09812903404,0 
4,10.8620689655,1,1,1,2.92587399483,0 
5,0.51724137931,1,0,0,2.96495103836,0 
6,13.9655172414,1,0,0,3.33334302902,0 
7,13.9655172414,1,0,1,3.01570820808,0 
8,2.58620689655,1,1,1,2.93358492851,0 
9,5.68965517241,1,0,1,3.33839797974,0 
10,10.8620689655,1,1,1,2.93348002434,0 
11,12.9310344828,1,1,1,3.82619690895,0 
12,5.68965517241,1,0,1,2.93863415718,0 
13,5.68965517241,1,0,1,2.92805695534,0 
14,12.9310344828,1,0,0,2.9549369812,0 
15,6.72413793103,1,0,0,2.9749379158,0 
16,4.65517241379,1,1,1,2.942745924,0 
17,5.68965517241,1,0,1,2.94084310532,0 
18,4.65517241379,1,1,0,2.95286989212,0 
19,9.8275862069,1,0,0,3.22227787971,0 
20,2.58620689655,1,1,0,2.98384714127,0 
21,1.55172413793,1,1,1,2.9358279705,0 
22,4.65517241379,1,0,1,2.92957782745,0 
23,7.75862068966,1,0,1,2.92932701111,0 
24,5.68965517241,1,1,0,2.95266294479,0 
25,8.79310344828,1,0,0,3.02003908157,0 
26,6.72413793103,1,1,0,3.75232815742,0 
27,3.62068965517,1,0,0,2.94363880157,0 
28,4.65517241379,1,1,1,2.94294190407,0 
29,11.8965517241,1,0,1,2.95281505585,0 
30,0.51724137931,1,0,1,3.29619002342,0 
31,8.79310344828,1,1,1,2.9997959137,0 
32,10.8620689655,1,1,1,2.95165705681,0 
33,9.8275862069,1,0,0,2.95400190353,0 
34,11.8965517241,1,1,1,2.93756198883,0 
35,0.51724137931,1,0,0,2.95643186569,0 
36,1.55172413793,1,0,1,2.95293211937,0 
37,9.8275862069,1,0,1,2.95853304863,0 
38,6.72413793103,1,0,1,2.92432999611,0 
39,7.75862068966,1,0,0,2.96492004395,0 
40,2.58620689655,1,1,1,2.94246697426,0 
41,5.68965517241,1,1,0,2.96328997612,0 
42,12.9310344828,1,0,1,2.93827486038,0 
43,1.55172413793,1,0,1,3.2023999691,0 
44,11.8965517241,1,0,0,3.54391288757,0 
45,1.55172413793,1,0,1,3.25584101677,0 
46,7.75862068966,1,0,0,3.000041008,0 
47,10.8620689655,1,1,0,2.96610379219,0 
48,13.9655172414,1,1,0,2.96497702599,0 
49,3.62068965517,1,1,1,2.94083595276,0 
50,5.68965517241,1,0,0,3.01570320129,0 
51,4.65517241379,1,1,0,2.94898700714,0 
52,12.9310344828,1,0,1,3.49882006645,0 
53,4.65517241379,1,0,0,2.98391890526,0 
54,5.68965517241,1,0,1,3.12775087357,0 
55,9.8275862069,1,0,0,2.96691799164,0 
56,7.75862068966,1,0,0,2.96484994888,0 
57,6.72413793103,1,0,0,2.95295000076,0 
58,3.62068965517,1,0,1,2.93009495735,0 
59,6.72413793103,1,0,1,2.9527900219,0 
60,13.9655172414,1,0,0,2.96489191055,0 
61,5.68965517241,1,0,1,3.10689496994,0 
62,11.8965517241,1,0,0,2.95296502113,0 
63,2.58620689655,1,1,1,2.94294905663,0 
64,7.75862068966,0,0,0,31.0480751991,1 
65,3.62068965517,1,0,1,4.68788099289,0 
66,6.72413793103,1,0,1,4.22392487526,0 
67,6.72413793103,1,1,0,4.40798211098,0 
68,3.62068965517,1,1,1,2.94749212265,0 
69,13.9655172414,1,0,1,3.24417519569,0 
70,8.79310344828,1,0,1,3.23195886612,0 
71,13.9655172414,1,0,1,3.27987098694,0 
72,11.8965517241,1,0,1,3.23194384575,0 
73,11.8965517241,1,1,1,2.94383692741,0 
74,7.75862068966,1,1,0,2.95443797112,0 
75,3.62068965517,1,1,1,2.94112205505,0 
76,13.9655172414,1,0,1,2.99193000793,0 
77,8.79310344828,1,1,1,2.96090602875,0 
78,2.58620689655,1,1,0,2.96480202675,0 
79,13.9655172414,1,1,1,3.25030303001,0 
80,8.79310344828,1,1,0,2.95029807091,0 
81,0.51724137931,1,0,0,3.29755210876,0 
82,10.8620689655,1,0,0,3.19977498055,0 
83,8.79310344828,1,0,1,3.26400899887,0 
84,13.9655172414,1,1,1,3.19974184036,0 
85,0.51724137931,1,0,1,3.08000898361,0 
86,9.8275862069,1,1,0,2.9484000206,0 
87,3.62068965517,1,0,0,2.95085191727,0 
88,1.55172413793,1,1,0,2.95289707184,0 
89,5.68965517241,1,1,0,2.96581506729,0 
90,11.8965517241,1,0,0,3.05668902397,0 
91,10.8620689655,0,0,1,3.02383899689,0 
92,0.51724137931,1,1,1,4.08793282509,0 
93,7.75862068966,1,1,1,3.69589185715,0 
94,1.55172413793,1,0,0,3.03993582726,0 
95,12.9310344828,1,0,0,2.95532798767,0 
96,8.79310344828,1,1,0,2.96508407593,0 
97,2.58620689655,1,1,0,2.98873090744,0 
98,1.55172413793,1,1,0,2.95164990425,0 
99,1.55172413793,1,1,1,2.94207191467,0 
100,0.51724137931,1,0,1,2.95271897316,0 
101,6.72413793103,1,1,1,3.05177283287,0 
102,0.51724137931,1,1,0,2.94907021523,0 
103,7.75862068966,1,1,0,2.95279479027,0 
104,12.9310344828,1,0,0,2.96593594551,0 
105,10.8620689655,1,0,0,3.12386107445,0 
106,10.8620689655,1,1,0,3.08769989014,0 
107,2.58620689655,1,1,0,2.97610211372,0 
108,9.8275862069,1,1,1,3.19981598854,0 
109,10.8620689655,1,1,0,2.95311594009,0 
110,7.75862068966,1,1,1,2.95293498039,0 
111,13.9655172414,1,1,0,3.63773393631,0 
112,11.8965517241,1,1,0,3.49605607986,0 
113,12.9310344828,1,0,0,3.67146015167,0 
114,12.9310344828,1,1,0,2.9838321209,0 
115,12.9310344828,1,1,1,2.94154882431,0 
116,3.62068965517,1,0,1,2.9624068737,0 
117,11.8965517241,1,0,1,3.30403900146,0 
118,9.8275862069,1,1,0,2.96584606171,0 
119,9.8275862069,1,1,0,2.92135500908,0 
120,9.8275862069,1,1,0,2.97579908371,0 
121,4.65517241379,1,1,0,2.96491503716,0 
122,1.55172413793,1,1,1,3.21955299377,0 
123,2.58620689655,1,0,1,3.79200196266,0 
124,9.8275862069,1,0,1,2.95186901093,0 
125,3.62068965517,1,0,0,2.96436691284,0 
126,6.72413793103,1,1,0,2.97886514664,0 
127,10.8620689655,1,1,1,2.94210386276,0 
128,4.65517241379,1,0,1,2.94075322151,0 
129,12.9310344828,1,1,0,2.97715997696,0 
130,5.68965517241,1,0,1,2.93787193298,0 
131,0.51724137931,1,0,1,2.92195105553,0 
132,9.8275862069,1,0,0,2.97494316101,0 
133,4.65517241379,1,0,1,3.00103998184,0 
134,1.55172413793,1,0,0,2.98846292496,0 
135,4.65517241379,1,1,1,2.94027090073,0 
136,7.75862068966,1,1,0,5.47915410995,0 
137,11.8965517241,1,1,0,3.05568790436,0 
138,6.72413793103,1,1,1,2.95166993141,0 
139,2.58620689655,1,0,0,3.82425189018,0 
140,0.51724137931,1,1,0,3.07877993584,0 
141,4.65517241379,1,0,1,4.09698796272,0 
142,8.79310344828,1,1,0,2.96179199219,0 
143,7.75862068966,1,0,0,2.95293807983,0 
144,3.62068965517,1,1,0,3.01267313957,0 
145,10.8620689655,1,1,0,2.95355391502,0 
146,2.58620689655,1,1,0,3.30241203308,0 
147,6.72413793103,1,1,0,2.97897911072,0 
148,12.9310344828,1,1,1,3.02101182938,0 
149,11.8965517241,1,0,0,2.93200302124,0 
