# Time : Tue Jun 21 14:25:12 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xefe5378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xefe5490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,10.8620689655,1,1,1,2.9530210495,0 
1,8.79310344828,1,0,1,3.22389411926,0 
2,9.8275862069,1,1,1,2.932254076,0 
3,12.9310344828,1,1,0,2.9652299881,0 
4,9.8275862069,1,1,1,2.952865839,0 
5,0.51724137931,1,1,1,2.95298409462,0 
6,8.79310344828,1,1,1,2.96482491493,0 
7,1.55172413793,1,1,0,3.18343400955,0 
8,6.72413793103,1,0,1,2.93553519249,0 
9,11.8965517241,1,1,0,2.97574710846,0 
10,10.8620689655,1,1,0,2.95018005371,0 
11,5.68965517241,1,1,0,2.94339704514,0 
12,13.9655172414,1,0,0,2.95391201973,0 
13,1.55172413793,1,0,0,3.10451388359,0 
14,5.68965517241,1,0,1,2.91965794563,0 
15,4.65517241379,1,1,1,2.94081187248,0 
16,10.8620689655,1,1,0,2.95285105705,0 
17,0.51724137931,1,0,1,3.37853813171,0 
18,0.51724137931,1,0,0,3.67187404633,0 
19,6.72413793103,1,0,0,2.95042800903,0 
20,2.58620689655,1,1,1,3.2974550724,0 
21,12.9310344828,1,1,0,2.99987506866,0 
22,13.9655172414,1,0,0,2.93858194351,0 
23,1.55172413793,1,0,0,2.96486592293,0 
24,10.8620689655,1,1,0,2.9648680687,0 
25,9.8275862069,1,0,0,2.95291614532,0 
26,6.72413793103,1,0,1,3.48222899437,0 
27,10.8620689655,1,1,1,2.95360398293,0 
28,9.8275862069,1,0,0,2.96490597725,0 
29,0.51724137931,1,1,1,3.20135211945,0 
30,12.9310344828,1,0,1,2.96330285072,0 
31,3.62068965517,0,1,1,2.93880200386,0 
32,3.62068965517,1,0,0,3.35376191139,0 
33,9.8275862069,1,1,0,2.95527005196,0 
34,4.65517241379,1,0,1,2.97239303589,0 
35,1.55172413793,1,1,1,3.03990411758,0 
36,13.9655172414,1,1,1,2.95237898827,0 
37,0.51724137931,1,1,1,3.39137387276,0 
38,2.58620689655,1,0,1,2.97605490685,0 
39,2.58620689655,1,1,0,3.43198919296,0 
40,10.8620689655,1,1,1,3.1678211689,0 
41,1.55172413793,1,0,0,2.9513759613,0 
42,11.8965517241,1,1,1,2.9529569149,0 
43,2.58620689655,1,0,1,3.1674079895,0 
44,12.9310344828,1,0,1,3.29600286484,0 
45,11.8965517241,1,1,1,3.52790093422,0 
46,6.72413793103,1,0,0,3.11172413826,0 
47,8.79310344828,1,1,1,2.98411488533,0 
48,9.8275862069,1,0,1,2.93826508522,0 
49,2.58620689655,1,0,1,2.94131612778,0 
50,9.8275862069,1,1,1,2.94071602821,0 
51,4.65517241379,1,0,1,3.07535004616,0 
52,11.8965517241,1,0,0,2.94944214821,0 
53,11.8965517241,1,0,0,2.95184016228,0 
54,3.62068965517,1,1,0,2.95302700996,0 
55,10.8620689655,1,0,1,2.93012309074,0 
56,8.79310344828,1,0,1,4.14313197136,0 
57,2.58620689655,1,0,1,2.95195603371,0 
58,11.8965517241,1,1,1,2.96337413788,0 
59,3.62068965517,1,0,1,2.94124293327,0 
60,12.9310344828,1,0,1,2.94281792641,0 
61,7.75862068966,1,0,1,3.20014619827,0 
62,10.8620689655,1,0,0,3.03204989433,0 
63,2.58620689655,1,1,1,2.93142700195,0 
64,1.55172413793,1,1,0,2.96523189545,0 
65,12.9310344828,1,0,0,3.06308197975,0 
66,3.62068965517,1,1,0,3.04787492752,0 
67,4.65517241379,1,0,1,3.14392995834,0 
68,5.68965517241,1,1,1,2.94617390633,0 
