# Time : Tue Jun 21 14:54:39 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xe1bb378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xe1bb490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,13.9655172414,1,1,0,3.35303902626,0 
1,4.65517241379,1,0,0,2.96886992455,0 
2,0.51724137931,1,1,1,3.10147809982,0 
3,4.65517241379,1,0,1,2.94519305229,0 
4,1.55172413793,1,1,1,2.94162201881,0 
5,12.9310344828,1,0,1,3.31294703484,0 
6,5.68965517241,1,1,1,2.93510484695,0 
7,2.58620689655,1,1,1,2.94043087959,0 
8,5.68965517241,1,0,0,2.97227692604,0 
9,8.79310344828,1,1,0,2.95453596115,0 
10,8.79310344828,1,0,0,2.97295999527,0 
11,1.55172413793,1,1,0,2.94471621513,0 
12,7.75862068966,1,0,0,2.95906710625,0 
13,13.9655172414,1,0,0,3.54431200027,0 
14,6.72413793103,1,1,1,2.93586802483,0 
15,4.65517241379,1,1,1,2.94197010994,0 
16,3.62068965517,1,1,0,2.96382403374,0 
17,13.9655172414,1,0,1,3.42187094688,0 
18,9.8275862069,1,0,0,2.95451688766,0 
19,0.51724137931,1,0,1,3.10140395164,0 
20,6.72413793103,1,0,0,3.02392196655,0 
21,11.8965517241,1,0,0,2.95753407478,0 
22,0.51724137931,1,0,1,3.30634713173,0 
23,12.9310344828,1,1,1,2.94151306152,0 
24,8.79310344828,1,0,0,3.66633796692,0 
25,13.9655172414,1,0,0,2.9998588562,0 
26,7.75862068966,1,1,0,2.95788788795,0 
27,8.79310344828,1,1,0,2.95373797417,0 
28,0.51724137931,1,0,0,2.96384310722,0 
29,4.65517241379,1,1,0,2.96599292755,0 
30,9.8275862069,1,0,1,3.67021179199,0 
31,8.79310344828,1,0,1,3.05553603172,0 
32,5.68965517241,1,0,0,3.00843095779,0 
33,6.72413793103,1,1,1,2.94766497612,0 
34,0.51724137931,1,0,0,2.97695994377,0 
35,6.72413793103,1,1,1,2.95291090012,0 
36,1.55172413793,1,0,1,3.00181603432,0 
37,3.62068965517,1,0,0,3.04806995392,0 
38,2.58620689655,1,0,1,2.99983596802,0 
39,8.79310344828,1,1,0,2.96264696121,0 
40,4.65517241379,1,1,1,3.07722401619,0 
41,8.79310344828,1,0,0,3.02400183678,0 
42,2.58620689655,1,1,1,2.93456482887,0 
43,2.58620689655,1,1,1,3.0572180748,0 
44,12.9310344828,1,0,0,2.96650600433,0 
45,7.75862068966,1,0,0,3.4014248848,0 
46,7.75862068966,1,0,0,2.97559213638,0 
47,4.65517241379,1,0,0,2.95289921761,0 
48,8.79310344828,1,0,0,2.97679805756,0 
49,7.75862068966,1,1,1,3.5103290081,0 
50,5.68965517241,1,0,0,2.96090602875,0 
51,12.9310344828,1,1,1,2.94055294991,0 
52,2.58620689655,1,1,1,3.09008288383,0 
53,13.9655172414,1,0,1,3.18416690826,0 
54,8.79310344828,1,0,1,2.93924021721,0 
55,12.9310344828,1,1,0,2.95197200775,0 
56,1.55172413793,1,0,1,3.02048397064,0 
57,10.8620689655,1,1,0,2.96830606461,0 
58,10.8620689655,1,0,1,2.98361206055,0 
59,4.65517241379,1,1,0,2.94624209404,0 
60,12.9310344828,1,0,1,3.19756388664,0 
61,4.65517241379,1,1,1,3.16771912575,0 
62,9.8275862069,1,0,1,3.06404089928,0 
63,11.8965517241,1,1,0,2.95925712585,0 
64,11.8965517241,1,1,0,2.96494197845,0 
65,12.9310344828,1,0,1,3.02764892578,0 
66,9.8275862069,1,0,0,2.9491121769,0 
67,9.8275862069,1,1,1,2.93003702164,0 
68,1.55172413793,1,0,1,3.03259396553,0 
69,2.58620689655,1,1,0,2.95536804199,0 
70,13.9655172414,1,1,0,2.9529311657,0 
71,11.8965517241,1,1,0,2.9649438858,0 
72,0.51724137931,1,0,1,2.94180607796,0 
73,0.51724137931,1,1,1,2.92916584015,0 
74,13.9655172414,1,0,0,2.97531509399,0 
75,10.8620689655,1,1,0,2.95454597473,0 
76,6.72413793103,1,1,1,2.95294213295,0 
77,10.8620689655,1,1,0,2.96480607986,0 
78,9.8275862069,1,0,0,2.96487498283,0 
79,13.9655172414,1,1,0,3.03432583809,0 
80,6.72413793103,1,1,1,2.94400596619,0 
81,0.51724137931,1,1,1,3.10368108749,0 
82,6.72413793103,1,0,1,2.93066215515,0 
83,3.62068965517,1,1,1,2.95397496223,0 
84,4.65517241379,1,1,1,3.21934700012,0 
85,10.8620689655,1,0,0,2.95438194275,0 
86,9.8275862069,1,0,1,3.17312812805,0 
87,11.8965517241,1,1,1,2.93479895592,0 
88,6.72413793103,1,0,1,3.21717882156,0 
