# Time : Tue Jun 21 15:06:31 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : DC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xedd3378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xedd3490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,4.65517241379,1,1,1,4.0483751297,0 
1,1.55172413793,1,1,1,2.93184900284,0 
2,0.51724137931,1,1,0,2.96501588821,0 
3,9.8275862069,1,1,1,2.95288300514,0 
4,7.75862068966,1,0,1,2.95280098915,0 
5,11.8965517241,1,0,0,3.0050778389,0 
6,7.75862068966,1,1,0,2.96015381813,0 
7,1.55172413793,1,1,1,3.51161885262,0 
8,0.51724137931,1,0,0,4.1919169426,0 
9,0.51724137931,1,0,1,3.20793390274,0 
10,9.8275862069,1,1,1,2.93665409088,0 
11,10.8620689655,1,0,1,3.15913510323,0 
12,8.79310344828,1,0,1,2.95168089867,0 
13,2.58620689655,1,0,1,3.0081410408,0 
14,13.9655172414,1,1,0,3.20005393028,0 
15,6.72413793103,1,1,0,3.30377078056,0 
16,7.75862068966,1,1,0,2.99197506905,0 
17,6.72413793103,1,0,0,2.95047497749,0 
18,11.8965517241,1,1,1,2.93890094757,0 
19,13.9655172414,1,0,0,3.29439687729,0 
20,6.72413793103,1,1,1,2.91698312759,0 
21,8.79310344828,1,0,1,3.09841585159,0 
22,11.8965517241,1,0,1,3.1361720562,0 
23,3.62068965517,1,1,0,2.96864581108,0 
24,2.58620689655,1,0,1,2.94276094437,0 
25,4.65517241379,1,1,1,2.95172595978,0 
26,2.58620689655,1,0,1,3.0486061573,0 
27,4.65517241379,1,1,0,2.95241379738,0 
28,1.55172413793,1,1,0,2.95273399353,0 
29,5.68965517241,1,0,1,2.94125199318,0 
30,1.55172413793,1,0,1,3.01727199554,0 
31,8.79310344828,1,0,0,3.22396612167,0 
32,9.8275862069,1,0,0,2.94741988182,0 
33,2.58620689655,1,0,0,2.96484494209,0 
34,0.51724137931,1,0,0,2.96486711502,0 
35,9.8275862069,1,1,0,2.96505904198,0 
36,11.8965517241,1,0,1,3.00533485413,0 
37,12.9310344828,1,1,0,2.95932006836,0 
38,5.68965517241,1,0,1,2.98452496529,0 
39,8.79310344828,1,1,1,3.14386796951,0 
40,3.62068965517,1,1,1,2.94249510765,0 
41,12.9310344828,1,0,1,4.98542499542,0 
42,12.9310344828,1,0,0,2.95351409912,0 
43,6.72413793103,1,1,0,3.36624789238,0 
44,3.62068965517,1,1,1,2.96795606613,0 
45,11.8965517241,1,1,1,2.93999814987,0 
46,4.65517241379,1,0,1,2.94097590446,0 
47,1.55172413793,1,1,0,2.96482920647,0 
48,0.51724137931,1,1,0,3.46592211723,0 
49,13.9655172414,1,0,0,3.07192015648,0 
50,12.9310344828,1,0,0,4.67190003395,0 
51,5.68965517241,1,0,1,3.21589779854,0 
52,10.8620689655,1,1,0,2.95182609558,0 
53,8.79310344828,1,0,1,3.35200715065,0 
54,13.9655172414,1,1,0,3.51995992661,0 
55,5.68965517241,1,1,0,3.47987794876,0 
56,4.65517241379,1,1,0,2.9665350914,0 
57,1.55172413793,1,1,1,3.57730007172,0 
58,9.8275862069,1,0,1,3.1916680336,0 
59,10.8620689655,1,1,0,2.96080088615,0 
60,10.8620689655,1,1,0,2.96467113495,0 
61,11.8965517241,1,0,0,2.96488285065,0 
62,2.58620689655,1,0,1,3.03754901886,0 
63,5.68965517241,1,0,1,3.51995015144,0 
64,11.8965517241,1,1,0,2.94919204712,0 
65,8.79310344828,1,0,1,3.32262706757,0 
66,9.8275862069,1,1,1,2.9759478569,0 
67,6.72413793103,1,0,0,2.94548106194,0 
68,3.62068965517,1,0,0,3.55839586258,0 
69,4.65517241379,1,0,1,3.42384910583,0 
70,1.55172413793,1,0,0,2.95118999481,0 
71,4.65517241379,1,0,0,2.95321989059,0 
72,10.8620689655,1,0,0,2.95248389244,0 
73,10.8620689655,1,1,1,2.94113898277,0 
74,13.9655172414,1,0,0,2.9529531002,0 
75,5.68965517241,1,1,0,2.96587395668,0 
76,6.72413793103,1,1,1,2.94102692604,0 
77,7.75862068966,1,0,0,2.97576189041,0 
78,5.68965517241,1,1,1,2.94266700745,0 
79,13.9655172414,1,0,1,3.05486392975,0 
80,9.8275862069,1,1,1,2.96787810326,0 
81,9.8275862069,1,0,1,2.94240403175,0 
82,6.72413793103,1,1,1,2.94013690948,0 
83,5.68965517241,1,1,0,3.24518990517,0 
84,7.75862068966,1,1,0,3.23992609978,0 
85,8.79310344828,1,0,0,2.96278810501,0 
86,10.8620689655,1,0,0,2.95284605026,0 
87,12.9310344828,1,1,1,2.94144010544,0 
88,4.65517241379,1,0,1,3.15811085701,0 
89,11.8965517241,1,0,0,2.94834899902,0 
90,9.8275862069,1,1,1,2.95247387886,0 
91,6.72413793103,1,0,1,2.97067904472,0 
92,10.8620689655,1,0,0,2.94715619087,0 
93,5.68965517241,1,0,1,3.08471393585,0 
94,2.58620689655,1,1,1,2.95109391212,0 
95,0.51724137931,1,0,1,3.73703122139,0 
96,0.51724137931,1,1,0,2.95702505112,0 
97,6.72413793103,1,1,1,2.94071793556,0 
98,12.9310344828,1,0,1,2.94193291664,0 
99,10.8620689655,1,0,0,2.99211001396,0 
100,11.8965517241,1,0,1,3.02375006676,0 
101,5.68965517241,1,1,1,2.93776392937,0 
102,12.9310344828,0,0,1,4.67806386948,0 
103,13.9655172414,1,1,1,2.93416190147,0 
104,0.51724137931,1,0,0,2.96479105949,0 
105,7.75862068966,1,0,0,3.05279302597,0 
106,4.65517241379,1,1,1,2.94702315331,0 
107,13.9655172414,1,0,0,2.96492409706,0 
108,3.62068965517,1,0,0,2.95293307304,0 
109,5.68965517241,1,0,0,3.21486401558,0 
110,1.55172413793,1,1,1,3.04789805412,0 
111,9.8275862069,1,0,0,2.94998717308,0 
112,13.9655172414,1,1,0,2.95286107063,0 
113,4.65517241379,1,0,1,2.9500079155,0 
114,13.9655172414,1,1,0,2.91787195206,0 
115,7.75862068966,1,0,0,2.94400405884,0 
116,3.62068965517,1,1,1,2.95672297478,0 
117,7.75862068966,1,0,1,3.03196692467,0 
118,2.58620689655,1,1,1,2.93891501427,0 
119,2.58620689655,1,1,0,2.95594286919,0 
120,3.62068965517,1,1,0,3.33702301979,0 
121,11.8965517241,1,1,1,2.93382716179,0 
122,1.55172413793,1,1,0,2.95293688774,0 
123,2.58620689655,1,0,0,2.96491599083,0 
124,3.62068965517,1,0,0,3.06782388687,0 
125,2.58620689655,1,1,1,2.94383788109,0 
126,13.9655172414,0,1,1,2.94193291664,0 
127,8.79310344828,1,0,1,3.29003596306,0 
128,11.8965517241,1,0,0,3.07997202873,0 
129,12.9310344828,1,1,0,2.94704794884,0 
130,4.65517241379,1,0,1,2.94200897217,0 
131,8.79310344828,1,0,0,2.96533703804,0 
132,9.8275862069,1,0,0,2.95276999474,0 
133,6.72413793103,1,1,0,2.96461606026,0 
134,6.72413793103,1,0,1,3.01162004471,0 
135,1.55172413793,1,0,0,2.95286512375,0 
136,8.79310344828,1,1,1,3.17481613159,0 
137,12.9310344828,1,0,0,3.02609491348,0 
138,3.62068965517,1,1,0,3.07778716087,0 
139,10.8620689655,1,1,0,2.95721697807,0 
140,7.75862068966,1,1,0,2.95388698578,0 
141,12.9310344828,1,1,1,2.95197987556,0 
142,7.75862068966,1,1,0,3.14469814301,0 
143,10.8620689655,1,0,1,3.92792391777,0 
144,3.62068965517,1,0,1,3.75984096527,0 
145,0.51724137931,1,0,0,2.95716691017,0 
146,12.9310344828,1,0,0,2.96493005753,0 
147,0.51724137931,1,0,1,3.12572193146,0 
148,8.79310344828,1,1,1,3.03993010521,0 
149,7.75862068966,1,1,0,3.00797891617,0 
