# Time : Sat Jun 25 14:08:00 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : KW 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf473490> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf4733c8> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,8.79310344828,1,1,1,4.67620110512,0 
1,2.58620689655,0,0,0,3.5839509964,0 
2,0.51724137931,1,0,1,3.57589197159,0 
3,11.8965517241,0,1,1,3.70385599136,0 
4,2.58620689655,1,0,0,3.47996020317,0 
5,10.8620689655,1,0,1,3.39185500145,0 
6,12.9310344828,1,1,0,3.24797511101,0 
7,1.55172413793,1,1,1,3.34387612343,0 
8,12.9310344828,1,1,1,3.23982191086,0 
9,10.8620689655,1,1,0,3.12804913521,0 
10,7.75862068966,1,0,0,3.1999771595,0 
11,13.9655172414,1,1,0,3.2077729702,0 
12,0.51724137931,1,0,0,3.3760201931,0 
13,1.55172413793,1,1,0,3.37596583366,0 
14,5.68965517241,1,0,1,3.34383296967,0 
15,7.75862068966,1,0,0,3.63988208771,0 
16,8.79310344828,1,0,0,3.09609603882,0 
17,3.62068965517,1,1,1,3.11981296539,0 
18,4.65517241379,1,0,1,3.58392810822,0 
19,5.68965517241,1,1,1,3.39996314049,0 
20,4.65517241379,1,0,1,3.54385900497,0 
21,0.51724137931,1,0,0,3.18395709991,0 
22,6.72413793103,1,1,0,3.12790989876,0 
23,2.58620689655,1,1,0,3.12795901299,0 
24,9.8275862069,0,1,1,3.61586213112,0 
25,7.75862068966,1,1,1,2.99995112419,0 
26,7.75862068966,1,0,0,3.23992991447,0 
27,1.55172413793,1,1,0,3.19997000694,0 
28,12.9310344828,1,0,0,3.55994415283,0 
29,7.75862068966,1,1,0,3.11993813515,0 
30,9.8275862069,1,0,0,3.69573783875,0 
31,9.8275862069,1,1,1,3.36798787117,0 
32,5.68965517241,1,0,0,3.41596698761,0 
33,10.8620689655,1,1,1,3.25591492653,0 
34,6.72413793103,1,0,0,3.17602300644,0 
35,13.9655172414,0,1,0,3.27971291542,0 
36,12.9310344828,0,0,1,3.5200688839,1 
37,1.55172413793,1,1,1,3.44792580605,0 
38,6.72413793103,1,0,0,3.43198800087,0 
39,2.58620689655,1,1,0,3.24763298035,0 
40,11.8965517241,1,0,1,3.42411494255,0 
41,4.65517241379,1,0,1,3.59996199608,0 
42,11.8965517241,1,1,1,3.71188902855,0 
43,9.8275862069,1,0,1,3.42384195328,0 
44,10.8620689655,1,0,0,3.58415007591,0 
45,3.62068965517,1,1,1,3.21580505371,0 
46,13.9655172414,1,0,0,3.25595188141,0 
47,6.72413793103,1,0,0,3.30396914482,0 
48,0.51724137931,1,1,0,3.23987197876,0 
49,9.8275862069,1,0,0,3.31193184853,0 
50,7.75862068966,1,1,1,3.2478761673,0 
51,4.65517241379,1,0,1,3.30387496948,0 
52,1.55172413793,1,0,0,3.07998490334,0 
53,4.65517241379,1,1,1,3.07198786736,0 
54,3.62068965517,1,1,1,3.19182705879,0 
55,10.8620689655,1,1,0,3.12000894547,0 
56,13.9655172414,1,0,0,3.39989709854,0 
57,8.79310344828,1,1,0,3.21577000618,0 
58,0.51724137931,1,1,1,3.05596804619,0 
59,11.8965517241,1,1,1,3.16796803474,0 
60,10.8620689655,1,0,0,3.09591794014,0 
61,5.68965517241,1,1,0,3.13600897789,0 
62,0.51724137931,0,0,1,3.72783994675,0 
63,13.9655172414,1,1,0,3.60793995857,0 
64,3.62068965517,1,0,0,3.47197794914,0 
65,6.72413793103,1,0,0,3.50384616852,0 
66,9.8275862069,1,0,0,3.42400717735,0 
67,12.9310344828,1,0,0,3.19183897972,0 
68,5.68965517241,1,1,1,3.14390707016,0 
69,0.51724137931,1,1,1,3.07991194725,0 
70,8.79310344828,1,1,1,4.07993102074,0 
71,2.58620689655,1,1,0,3.32801008224,0 
72,2.58620689655,1,1,1,3.16781687737,0 
73,1.55172413793,1,1,1,3.11993503571,0 
74,1.55172413793,1,1,0,3.15189504623,0 
75,8.79310344828,1,1,1,3.09595799446,0 
76,0.51724137931,1,0,1,3.67185807228,0 
77,10.8620689655,1,0,1,3.63196110725,0 
78,13.9655172414,1,1,1,3.92807602882,0 
79,8.79310344828,1,0,0,3.43988609314,0 
80,0.51724137931,1,0,1,3.85587096214,0 
81,11.8965517241,1,1,1,3.25595498085,0 
82,13.9655172414,1,0,1,4.1279399395,0 
83,12.9310344828,1,1,0,3.28795003891,0 
84,12.9310344828,1,0,0,3.18396186829,0 
85,6.72413793103,0,0,1,3.53585481644,0 
86,4.65517241379,1,0,1,3.77579188347,0 
87,5.68965517241,1,1,0,3.83988308907,0 
88,13.9655172414,1,1,0,3.58394384384,0 
89,12.9310344828,0,1,0,3.29586005211,0 
90,2.58620689655,1,0,1,3.64792585373,0 
91,7.75862068966,0,0,1,3.44796991348,0 
92,1.55172413793,1,1,1,3.13586807251,0 
93,3.62068965517,1,0,0,3.31197214127,0 
94,5.68965517241,1,1,0,3.28776717186,0 
95,11.8965517241,1,1,1,3.50403404236,0 
96,2.58620689655,1,0,0,3.12796497345,0 
97,4.65517241379,1,1,0,3.26387906075,0 
98,11.8965517241,0,0,1,3.35179114342,0 
99,6.72413793103,1,0,0,3.50419402122,0 
100,13.9655172414,1,1,0,3.80785703659,0 
101,8.79310344828,1,0,0,3.28795695305,0 
102,12.9310344828,1,1,1,3.27987098694,0 
103,10.8620689655,1,0,0,3.0879778862,0 
104,2.58620689655,1,0,1,3.50383996964,0 
105,11.8965517241,1,1,0,3.18398284912,0 
106,0.51724137931,1,1,1,3.6398627758,0 
107,2.58620689655,1,0,1,3.45588684082,0 
108,10.8620689655,0,0,1,3.9919719696,0 
109,3.62068965517,1,1,1,2.9409570694,0 
110,13.9655172414,1,1,1,3.76288199425,0 
111,1.55172413793,1,1,1,2.93289089203,0 
112,12.9310344828,0,0,1,4.5629401207,0 
113,6.72413793103,1,0,1,3.10389709473,0 
114,7.75862068966,1,0,0,3.39990091324,0 
115,10.8620689655,1,0,0,3.31193399429,0 
116,10.8620689655,1,0,1,3.46392703056,0 
117,5.68965517241,1,0,0,3.34390187263,0 
118,9.8275862069,1,0,0,3.28800487518,0 
119,9.8275862069,1,1,0,3.42404007912,0 
120,11.8965517241,1,1,1,3.5997262001,0 
121,11.8965517241,1,1,1,3.23989701271,0 
122,8.79310344828,1,0,0,3.00011777878,0 
123,1.55172413793,1,1,1,3.05576586723,0 
124,8.79310344828,1,1,0,3.1279861927,0 
125,6.72413793103,1,1,1,2.97589492798,0 
126,3.62068965517,1,1,1,3.07990002632,0 
127,9.8275862069,1,0,0,3.08803796768,0 
128,4.65517241379,0,0,1,3.3998939991,0 
129,12.9310344828,1,1,0,2.94884109497,0 
130,8.79310344828,1,0,0,3.07503914833,0 
131,3.62068965517,1,1,0,2.95990800858,0 
132,5.68965517241,1,1,0,3.00790190697,0 
133,7.75862068966,1,0,0,3.09586000443,0 
134,9.8275862069,1,0,0,3.46401286125,0 
135,6.72413793103,1,0,1,3.3358809948,0 
136,6.72413793103,1,0,1,3.20783805847,0 
137,3.62068965517,1,1,0,3.07202386856,0 
138,7.75862068966,1,1,1,3.59980297089,0 
139,3.62068965517,1,0,0,3.09600114822,0 
140,4.65517241379,1,1,1,3.43987011909,0 
141,9.8275862069,1,0,1,3.55989313126,0 
142,5.68965517241,1,0,1,3.6959271431,0 
143,4.65517241379,1,0,0,3.47995901108,0 
144,11.8965517241,1,0,1,3.46386384964,0 
145,13.9655172414,1,1,0,3.59998703003,0 
146,7.75862068966,1,0,0,3.35192298889,0 
147,8.79310344828,1,0,1,3.36784815788,0 
148,4.65517241379,1,1,0,3.04003405571,0 
149,5.68965517241,1,1,0,3.11980009079,0 
