# Time : Sat Jun 25 14:17:38 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : KW 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf2f8378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf2f8490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,3.62068965517,1,0,1,3.35431694984,0 
1,7.75862068966,1,1,1,3.03996801376,0 
2,1.55172413793,1,1,1,3.22389793396,0 
3,1.55172413793,1,1,0,3.01602482796,0 
4,5.68965517241,1,0,1,3.35187196732,0 
5,6.72413793103,1,1,1,3.24780511856,0 
6,6.72413793103,1,0,1,3.36795306206,0 
7,10.8620689655,1,0,1,3.30386209488,0 
8,4.65517241379,1,1,0,3.19204902649,0 
9,7.75862068966,1,0,1,3.43983697891,0 
10,13.9655172414,1,1,0,3.59996199608,0 
11,11.8965517241,1,0,1,3.70390701294,0 
12,9.8275862069,1,0,0,3.59190106392,0 
13,9.8275862069,1,1,0,3.69597482681,0 
14,5.68965517241,1,0,1,3.53584003448,0 
15,10.8620689655,1,0,0,3.4319601059,0 
16,8.79310344828,1,1,0,3.52006912231,0 
17,8.79310344828,1,1,0,3.21578598022,0 
18,13.9655172414,1,1,1,3.59991407394,0 
19,4.65517241379,1,0,1,4.11194300652,0 
20,12.9310344828,1,0,0,3.33590483665,0 
21,6.72413793103,1,0,1,3.62413907051,0 
22,1.55172413793,1,0,1,3.60770583153,0 
23,8.79310344828,1,1,0,3.40799212456,0 
24,12.9310344828,1,0,0,3.83176708221,0 
25,8.79310344828,1,0,0,4.91209197044,0 
26,12.9310344828,1,1,1,3.99179601669,0 
27,10.8620689655,1,1,0,3.25594997406,0 
28,5.68965517241,1,0,0,3.20790696144,0 
29,3.62068965517,1,0,1,3.55190992355,0 
30,13.9655172414,1,0,0,3.85598993301,0 
31,1.55172413793,1,1,1,3.35186696053,0 
32,1.55172413793,1,1,0,3.31996488571,0 
33,10.8620689655,1,1,0,3.24800801277,0 
34,10.8620689655,1,1,0,3.175812006,0 
