# Time : Sat Jun 25 14:27:17 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : KW 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xeae83c8> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xeae83f0> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,1.55172413793,1,1,0,3.30597996712,0 
1,12.9310344828,1,0,1,3.42409300804,0 
2,10.8620689655,1,1,1,3.18389797211,0 
3,1.55172413793,1,0,1,3.12792897224,0 
4,6.72413793103,1,1,1,2.95087504387,0 
5,3.62068965517,1,0,0,3.34481096268,0 
6,0.51724137931,1,1,0,3.74421095848,0 
7,7.75862068966,1,1,0,3.00781607628,0 
8,0.51724137931,1,1,0,3.47204899788,0 
9,8.79310344828,1,0,1,3.43975901604,0 
10,7.75862068966,1,1,0,3.00799179077,0 
11,7.75862068966,1,0,0,3.45587110519,0 
12,4.65517241379,1,0,0,3.33600306511,0 
13,0.51724137931,1,0,1,3.46384716034,0 
14,13.9655172414,1,0,0,3.25591802597,0 
15,7.75862068966,1,1,0,3.19193387032,0 
16,7.75862068966,1,0,1,3.45592808723,0 
17,2.58620689655,1,0,1,3.36795020103,0 
18,12.9310344828,1,0,1,3.65590882301,0 
19,0.51724137931,1,0,0,3.03194999695,0 
20,1.55172413793,1,0,0,3.54388689995,0 
21,1.55172413793,1,0,1,3.4798848629,0 
22,8.79310344828,1,1,1,3.19192790985,0 
23,4.65517241379,1,1,0,3.1039249897,0 
24,6.72413793103,1,1,0,3.16789889336,0 
25,12.9310344828,1,0,1,3.43203496933,0 
26,12.9310344828,1,0,1,3.43983197212,0 
27,10.8620689655,1,1,1,2.97580003738,0 
28,11.8965517241,1,1,0,3.12810206413,0 
29,4.65517241379,1,0,0,3.04789805412,0 
30,3.62068965517,1,0,1,3.71193909645,0 
31,11.8965517241,1,1,0,3.21596097946,0 
32,13.9655172414,1,1,1,3.91189789772,0 
33,5.68965517241,1,0,0,8.35191392899,0 
34,13.9655172414,1,1,0,3.51205015182,0 
35,12.9310344828,1,1,0,3.20781588554,0 
36,6.72413793103,1,0,0,3.43200111389,0 
37,13.9655172414,1,0,1,3.51186513901,0 
38,4.65517241379,1,1,1,3.23987793922,0 
39,5.68965517241,1,0,1,3.39200806618,0 
40,1.55172413793,1,0,1,3.38390803337,0 
41,8.79310344828,1,0,1,3.36796379089,0 
42,13.9655172414,1,0,1,4.1118721962,0 
43,2.58620689655,1,0,1,3.39992403984,0 
44,9.8275862069,1,0,1,3.3998939991,0 
45,0.51724137931,1,0,1,3.28794002533,0 
46,2.58620689655,0,1,1,3.28790712357,0 
47,6.72413793103,1,0,0,4.0799870491,0 
48,3.62068965517,1,0,0,4.19980096817,0 
49,9.8275862069,1,0,1,4.30399703979,0 
50,9.8275862069,1,1,1,3.97592592239,0 
51,13.9655172414,1,1,0,3.70393395424,0 
52,4.65517241379,1,0,0,3.39193415642,0 
53,1.55172413793,1,1,0,3.19185185432,0 
54,5.68965517241,1,0,1,3.37594914436,0 
55,6.72413793103,1,0,0,3.3119699955,0 
56,11.8965517241,1,0,0,3.38396596909,0 
57,9.8275862069,1,1,1,3.44778490067,0 
58,4.65517241379,1,0,0,3.35996794701,0 
59,13.9655172414,0,1,1,3.35986685753,0 
60,12.9310344828,1,1,1,3.80792689323,0 
61,11.8965517241,1,0,0,3.36794090271,0 
62,4.65517241379,1,0,0,3.71198606491,0 
63,9.8275862069,1,1,0,3.27991604805,0 
64,6.72413793103,1,1,1,3.26386904716,0 
65,2.58620689655,1,0,1,3.45598602295,0 
66,5.68965517241,1,0,1,3.57587409019,0 
67,8.79310344828,1,1,1,3.30392599106,0 
68,2.58620689655,1,1,1,3.13600611687,0 
69,7.75862068966,0,1,1,3.58383989334,0 
70,8.79310344828,1,1,0,3.17601919174,0 
71,11.8965517241,1,0,1,3.38383507729,0 
