# Time : Sat Jun 25 13:48:22 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : KKW 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xd7cb378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xd7cb490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,0.51724137931,1,1,1,4.11151695251,0 
1,12.9310344828,1,0,0,4.64791417122,0 
2,5.68965517241,1,0,1,3.79989099503,0 
3,13.9655172414,0,0,1,4.35183095932,0 
4,3.62068965517,1,0,1,3.60785317421,0 
5,10.8620689655,1,0,0,3.5361289978,0 
6,12.9310344828,0,1,1,3.67191100121,0 
7,2.58620689655,1,0,0,3.77569413185,1 
8,1.55172413793,1,0,0,3.53617119789,0 
9,5.68965517241,1,1,1,3.32783007622,0 
10,7.75862068966,1,0,1,3.4639518261,0 
11,4.65517241379,1,0,0,3.4159078598,0 
12,3.62068965517,0,0,1,3.29602098465,0 
13,7.75862068966,1,0,0,4.29591488838,0 
14,2.58620689655,1,0,0,3.65578103065,0 
15,5.68965517241,1,1,0,3.50405287743,0 
16,13.9655172414,0,0,1,3.55197501183,0 
17,9.8275862069,1,0,0,3.45583510399,0 
18,8.79310344828,1,1,1,3.95192885399,0 
19,0.51724137931,1,0,0,3.29600095749,0 
20,8.79310344828,1,0,1,3.40781784058,0 
21,3.62068965517,1,1,1,3.28789520264,0 
22,2.58620689655,1,0,0,3.91205000877,0 
23,10.8620689655,1,1,0,3.28004813194,0 
24,11.8965517241,1,0,1,3.67171096802,0 
25,8.79310344828,1,1,0,3.29598784447,0 
26,4.65517241379,1,0,1,4.66385698318,0 
27,12.9310344828,1,1,0,3.48800301552,0 
28,11.8965517241,1,1,0,4.50392699242,0 
29,6.72413793103,1,1,0,3.54387998581,0 
30,10.8620689655,1,0,1,3.65587687492,0 
31,6.72413793103,1,1,0,3.5760409832,0 
32,3.62068965517,1,1,1,3.30384898186,0 
33,1.55172413793,1,0,1,3.35997200012,0 
34,6.72413793103,1,1,1,3.41592717171,0 
35,0.51724137931,1,0,0,3.47994494438,0 
36,4.65517241379,0,1,1,3.7679131031,0 
37,10.8620689655,1,0,0,3.664041996,0 
38,9.8275862069,1,0,0,3.74386692047,0 
39,9.8275862069,1,0,0,3.35986113548,0 
40,5.68965517241,1,1,1,3.55992913246,0 
41,7.75862068966,1,1,1,4.40815591812,0 
42,10.8620689655,1,0,0,3.51971101761,0 
43,0.51724137931,1,0,1,3.59994101524,0 
44,11.8965517241,0,1,1,3.48789095879,0 
45,6.72413793103,1,1,0,3.51201200485,0 
46,13.9655172414,0,1,0,4.82387113571,0 
47,6.72413793103,1,1,0,3.75994992256,0 
48,13.9655172414,1,0,1,4.19175004959,0 
49,10.8620689655,1,1,1,3.46410298347,0 
50,12.9310344828,1,1,0,3.62404608727,0 
51,8.79310344828,1,1,0,3.40777397156,0 
52,5.68965517241,1,0,1,3.94399595261,0 
53,9.8275862069,1,1,0,3.39996314049,0 
54,9.8275862069,1,0,1,3.47985005379,0 
55,8.79310344828,1,1,1,3.51993703842,0 
56,12.9310344828,0,0,1,3.43190193176,0 
57,11.8965517241,1,1,1,3.80797410011,0 
58,11.8965517241,1,1,1,3.47192907333,0 
59,12.9310344828,1,1,1,3.47192215919,0 
60,5.68965517241,1,0,1,3.46356701851,0 
61,11.8965517241,1,1,1,3.40832495689,0 
62,7.75862068966,1,1,0,3.32804203033,0 
63,9.8275862069,1,0,1,3.39172506332,0 
64,6.72413793103,1,0,1,3.55990791321,0 
65,8.79310344828,1,0,0,3.42394709587,0 
66,11.8965517241,1,1,1,3.43995213509,0 
67,5.68965517241,1,0,0,4.823980093,0 
68,13.9655172414,1,1,1,3.40784692764,0 
69,9.8275862069,1,0,1,4.03993797302,0 
70,5.68965517241,1,0,1,3.75179100037,0 
71,0.51724137931,1,1,0,3.39209198952,0 
72,1.55172413793,1,1,1,3.56784296036,0 
73,3.62068965517,1,1,0,3.08804321289,0 
74,9.8275862069,1,0,1,3.5998737812,0 
75,10.8620689655,1,0,1,3.44787597656,0 
76,7.75862068966,1,1,0,3.47197318077,0 
77,12.9310344828,1,0,1,3.34391593933,0 
78,13.9655172414,1,0,0,3.44795084,0 
79,0.51724137931,1,0,0,3.27982497215,0 
80,10.8620689655,1,0,1,3.42396903038,0 
81,5.68965517241,1,1,1,3.34389090538,0 
82,3.62068965517,1,0,1,3.43974494934,0 
83,9.8275862069,1,1,1,3.32815504074,0 
84,8.79310344828,1,0,1,3.67191004753,0 
85,6.72413793103,1,1,1,3.06397080421,0 
86,11.8965517241,1,0,0,3.33570289612,0 
87,2.58620689655,1,0,1,4.51149606705,0 
88,0.51724137931,0,0,1,3.56811094284,0 
89,1.55172413793,1,1,1,3.13590192795,0 
90,10.8620689655,1,0,1,3.34393000603,0 
91,10.8620689655,1,1,0,3.2319829464,0 
92,1.55172413793,1,1,0,3.08799505234,0 
93,4.65517241379,1,0,0,3.5838470459,0 
94,6.72413793103,1,0,1,3.80797410011,0 
95,1.55172413793,1,1,1,3.34382390976,0 
96,7.75862068966,1,1,0,3.29603219032,0 
97,10.8620689655,1,0,0,3.26390004158,0 
98,12.9310344828,1,1,0,3.32798194885,0 
99,2.58620689655,1,0,1,3.56782698631,0 
100,7.75862068966,1,0,1,3.49592995644,0 
101,5.68965517241,1,0,0,3.37595009804,0 
102,8.79310344828,1,0,0,3.35999393463,0 
103,2.58620689655,1,0,0,3.59182596207,0 
104,0.51724137931,1,1,1,3.71190309525,0 
105,7.75862068966,1,0,1,3.25595903397,0 
106,3.62068965517,1,0,1,4.33593702316,0 
107,2.58620689655,1,1,1,3.18389582634,0 
108,1.55172413793,1,1,1,3.13572692871,0 
109,6.72413793103,1,1,1,3.59214997292,0 
110,13.9655172414,1,0,0,3.50404405594,0 
111,11.8965517241,1,0,0,3.58381605148,0 
112,4.65517241379,1,1,1,4.15193510056,0 
