# Time : Tue Jun 21 16:11:14 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : LL 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xdd6b378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xdd6b490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,5.68965517241,1,0,0,3.42919898033,0 
1,10.8620689655,1,0,0,3.33580684662,0 
2,0.51724137931,1,0,0,3.33594799042,0 
3,6.72413793103,1,0,0,3.40796017647,0 
4,12.9310344828,1,1,0,3.27993702888,0 
5,6.72413793103,0,1,0,3.26386499405,0 
6,12.9310344828,1,0,1,4.11991810799,0 
7,12.9310344828,1,1,1,3.16789293289,0 
8,13.9655172414,1,1,1,2.94626116753,0 
9,9.8275862069,1,0,1,3.70154213905,0 
10,3.62068965517,0,0,0,3.97607016563,0 
11,11.8965517241,1,1,1,3.01577687263,0 
12,11.8965517241,1,1,0,3.34397602081,0 
13,4.65517241379,0,0,1,3.50385403633,0 
14,13.9655172414,1,1,0,3.20795702934,0 
15,9.8275862069,1,0,1,3.71186280251,0 
16,5.68965517241,0,1,1,3.25580596924,0 
17,3.62068965517,1,1,0,3.3441529274,0 
18,8.79310344828,0,1,1,3.19982600212,0 
19,1.55172413793,1,0,0,3.51999783516,0 
20,0.51724137931,1,1,0,4.79206085205,0 
21,7.75862068966,1,1,0,3.25573706627,0 
22,4.65517241379,0,0,0,3.37593793869,0 
23,13.9655172414,1,0,1,4.11188101768,0 
24,6.72413793103,0,1,1,4.43195104599,0 
25,9.8275862069,0,1,0,3.68801093102,0 
26,8.79310344828,1,1,1,4.36787009239,0 
27,13.9655172414,1,0,0,4.07200312614,0 
28,5.68965517241,1,0,1,3.54385995865,0 
29,2.58620689655,1,0,1,3.31992506981,0 
30,9.8275862069,0,0,1,3.22388696671,0 
31,2.58620689655,0,1,1,3.29593110085,0 
32,13.9655172414,1,0,1,3.47196006775,0 
33,12.9310344828,1,0,1,3.2479159832,0 
34,1.55172413793,1,0,0,3.192070961,0 
35,5.68965517241,1,0,0,4.27182507515,0 
36,6.72413793103,1,0,1,3.25581598282,0 
37,8.79310344828,1,1,0,3.1840569973,0 
38,12.9310344828,1,0,0,3.27985692024,0 
39,11.8965517241,1,0,1,3.41597104073,0 
40,7.75862068966,1,1,0,3.28000092506,0 
41,1.55172413793,0,1,1,3.57584190369,0 
42,7.75862068966,1,1,0,3.25601196289,0 
43,12.9310344828,1,0,0,3.35987091064,0 
44,3.62068965517,1,0,0,3.24789404869,0 
45,7.75862068966,1,0,1,3.05593204498,0 
46,7.75862068966,1,1,1,3.09591388702,0 
47,13.9655172414,0,0,0,3.12001681328,0 
48,11.8965517241,1,0,0,2.99189305305,0 
49,13.9655172414,1,0,1,3.29586696625,0 
50,10.8620689655,1,0,1,3.23993206024,0 
51,12.9310344828,1,1,0,3.03207015991,0 
52,10.8620689655,1,0,0,3.13578295708,0 
53,1.55172413793,1,1,1,3.61586594582,0 
54,3.62068965517,0,1,0,3.54404807091,0 
55,4.65517241379,1,0,1,3.89591789246,0 
56,4.65517241379,0,0,0,4.53589296341,0 
57,9.8275862069,1,0,1,3.55188679695,0 
58,8.79310344828,1,0,0,3.02395987511,0 
59,1.55172413793,1,1,0,2.95258903503,0 
60,6.72413793103,1,0,1,3.19924283028,0 
61,10.8620689655,1,0,0,3.20800113678,0 
62,13.9655172414,1,1,1,2.94578003883,0 
63,3.62068965517,0,0,1,3.39004397392,0 
64,5.68965517241,1,0,1,3.22381901741,0 
65,11.8965517241,1,0,1,3.14384102821,0 
66,11.8965517241,1,0,0,3.2878510952,0 
67,1.55172413793,1,1,0,2.95522499084,0 
68,8.79310344828,1,0,1,3.23685598373,0 
69,2.58620689655,0,0,1,3.51989006996,0 
70,11.8965517241,1,0,1,3.11991000175,0 
71,13.9655172414,0,1,0,3.25595402718,0 
72,4.65517241379,1,0,0,3.69595003128,0 
73,9.8275862069,1,0,1,3.22386884689,0 
74,5.68965517241,1,0,1,3.17593288422,0 
75,13.9655172414,1,0,0,3.28788089752,0 
76,1.55172413793,1,1,0,3.20001196861,0 
77,2.58620689655,1,1,0,3.28790092468,0 
78,2.58620689655,1,0,1,3.4318780899,0 
79,8.79310344828,1,1,1,2.93121981621,0 
80,6.72413793103,0,1,1,3.41255307198,0 
81,0.51724137931,1,0,0,3.64008879662,0 
82,8.79310344828,1,1,0,2.94786691666,0 
83,6.72413793103,1,1,0,2.95288300514,0 
84,6.72413793103,1,1,1,3.21091580391,0 
85,0.51724137931,1,1,1,4.07200193405,0 
86,10.8620689655,1,0,0,2.98391103745,0 
87,0.51724137931,1,0,1,3.32762408257,0 
88,6.72413793103,1,1,0,3.16000199318,0 
89,5.68965517241,1,0,1,3.23185300827,0 
90,0.51724137931,1,1,0,2.95530390739,0 
91,5.68965517241,0,1,1,3.66055417061,0 
92,8.79310344828,1,1,0,2.95163989067,0 
93,4.65517241379,1,0,0,2.97631406784,0 
94,9.8275862069,1,0,1,3.46391701698,0 
95,8.79310344828,1,0,1,3.20784497261,0 
96,2.58620689655,0,0,1,3.75190901756,0 
97,2.58620689655,1,1,0,3.35196590424,0 
98,10.8620689655,1,1,1,3.32780694962,0 
99,8.79310344828,1,1,0,3.04009890556,0 
100,12.9310344828,1,0,0,3.19184684753,0 
101,4.65517241379,1,1,0,3.31997513771,0 
102,1.55172413793,1,0,0,3.2638771534,0 
103,11.8965517241,1,0,0,3.2800719738,0 
104,2.58620689655,0,0,0,3.39146995544,0 
105,3.62068965517,1,1,0,3.48829483986,0 
106,5.68965517241,1,0,0,3.15985703468,0 
107,12.9310344828,1,0,0,3.12796902657,0 
108,5.68965517241,1,0,0,2.95421099663,0 
109,9.8275862069,1,1,0,2.95288085938,0 
110,10.8620689655,1,0,0,3.21260714531,0 
111,3.62068965517,0,0,1,3.91203594208,0 
112,12.9310344828,1,0,1,3.03977417946,0 
113,0.51724137931,1,0,0,2.95304918289,0 
114,9.8275862069,1,0,0,3.02275013924,0 
115,2.58620689655,1,1,1,3.41600799561,0 
116,3.62068965517,0,1,0,2.9500670433,0 
117,8.79310344828,1,1,1,2.92986488342,0 
118,7.75862068966,1,0,0,3.02383303642,0 
119,11.8965517241,1,1,0,2.95324611664,0 
120,10.8620689655,1,1,1,2.95320701599,0 
121,7.75862068966,1,0,1,3.21338510513,0 
122,13.9655172414,1,0,0,3.68788218498,0 
123,10.8620689655,1,0,0,3.2079808712,0 
124,6.72413793103,1,1,0,2.9501760006,0 
125,12.9310344828,1,0,0,3.13770294189,0 
126,10.8620689655,1,0,1,3.12780189514,0 
127,4.65517241379,1,1,1,3.43192601204,0 
128,4.65517241379,1,1,1,3.31988286972,0 
129,0.51724137931,1,1,0,2.94829511642,0 
130,10.8620689655,1,0,0,3.28366994858,0 
131,7.75862068966,1,1,0,3.12791705132,0 
132,7.75862068966,1,0,1,3.20772790909,0 
133,11.8965517241,1,1,1,3.24814605713,0 
134,9.8275862069,1,0,0,3.55986189842,0 
135,4.65517241379,1,1,0,3.42391514778,0 
136,0.51724137931,1,0,1,3.6078979969,0 
137,9.8275862069,1,1,1,3.16793107986,0 
138,11.8965517241,1,1,1,3.48794388771,0 
139,4.65517241379,1,0,0,3.15185713768,0 
140,1.55172413793,0,0,1,3.69579696655,0 
141,3.62068965517,1,1,1,3.600055933,0 
142,5.68965517241,1,0,0,3.03197288513,0 
143,7.75862068966,1,0,0,3.13592886925,0 
144,6.72413793103,1,0,1,3.43985414505,0 
145,2.58620689655,0,0,1,4.56790685654,0 
146,1.55172413793,1,1,0,3.00801801682,0 
147,0.51724137931,1,1,1,3.27987504005,0 
148,7.75862068966,1,1,1,3.29591107368,0 
149,3.62068965517,0,0,1,3.49592804909,0 
