# Time : Tue Jun 21 16:21:35 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : LL 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xd5c9378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xd5c9490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,2.58620689655,0,0,0,2.95693087578,0 
1,6.72413793103,0,1,0,8.29219484329,0 
2,6.72413793103,1,1,0,3.91993284225,0 
3,10.8620689655,1,1,0,3.08785486221,0 
4,12.9310344828,1,1,1,2.95992898941,0 
5,3.62068965517,0,0,1,3.5038459301,0 
6,6.72413793103,1,1,0,3.91997885704,0 
7,1.55172413793,1,1,0,2.95292592049,0 
8,4.65517241379,1,1,0,3.118901968,0 
9,13.9655172414,1,0,1,3.3038790226,0 
10,11.8965517241,1,1,1,3.03187298775,0 
11,3.62068965517,0,1,0,2.99999499321,0 
12,5.68965517241,1,0,0,2.97589802742,0 
13,12.9310344828,1,0,1,3.10394001007,0 
14,0.51724137931,1,0,1,3.34379696846,0 
15,7.75862068966,1,1,1,3.06392979622,0 
16,1.55172413793,1,1,0,3.27200579643,0 
17,10.8620689655,1,0,0,3.13586783409,0 
18,0.51724137931,1,1,0,3.16795992851,0 
19,6.72413793103,1,0,1,4.82385587692,0 
20,1.55172413793,1,1,0,3.27190494537,0 
21,4.65517241379,1,1,0,2.96806001663,0 
22,6.72413793103,1,1,0,2.94904088974,0 
23,7.75862068966,1,0,1,3.53067111969,0 
24,2.58620689655,0,1,1,3.19190120697,0 
25,4.65517241379,1,1,0,3.20798611641,0 
26,5.68965517241,1,0,0,3.34395813942,0 
27,0.51724137931,1,0,0,2.9503428936,0 
28,6.72413793103,1,0,0,4.12153196335,0 
29,11.8965517241,1,0,0,2.98396587372,0 
30,0.51724137931,1,1,1,3.35977315903,0 
31,6.72413793103,1,1,0,2.94738793373,0 
32,11.8965517241,1,1,0,2.96492791176,0 
33,2.58620689655,1,1,1,4.53549599648,0 
34,9.8275862069,1,0,0,3.13599491119,0 
35,8.79310344828,1,1,1,2.94057011604,0 
36,1.55172413793,0,1,1,3.21919608116,0 
37,3.62068965517,1,1,0,3.29595899582,0 
38,1.55172413793,1,0,1,3.49597287178,0 
39,3.62068965517,1,1,0,3.51976180077,0 
40,10.8620689655,1,1,0,2.95199894905,0 
41,13.9655172414,1,1,1,2.95295190811,0 
42,3.62068965517,1,1,0,3.19890999794,0 
43,12.9310344828,1,0,0,3.06382393837,0 
44,4.65517241379,1,1,1,3.63183903694,0 
45,5.68965517241,1,0,1,3.18406200409,0 
46,5.68965517241,0,0,1,3.41573309898,0 
47,10.8620689655,1,0,0,2.9543428421,0 
48,12.9310344828,1,1,0,2.95288395882,0 
49,7.75862068966,1,0,1,3.42079496384,0 
50,1.55172413793,1,1,0,2.95603394508,0 
51,10.8620689655,1,0,1,3.05981612206,0 
52,0.51724137931,1,0,1,3.12789201736,0 
53,10.8620689655,1,0,1,2.93011689186,0 
54,3.62068965517,1,1,1,3.35775709152,0 
55,9.8275862069,1,0,1,3.00793099403,0 
56,7.75862068966,1,1,0,2.95280694962,0 
57,13.9655172414,1,1,0,2.95282292366,0 
58,4.65517241379,0,0,1,3.35010385513,0 
59,3.62068965517,1,0,0,2.98019886017,0 
60,0.51724137931,0,0,1,3.60367798805,0 
61,1.55172413793,1,1,1,2.92523217201,0 
62,5.68965517241,1,1,1,3.09060907364,0 
63,7.75862068966,1,0,0,2.95726895332,0 
64,3.62068965517,0,0,1,3.43462014198,0 
65,8.79310344828,1,0,0,2.95383095741,0 
66,5.68965517241,0,1,1,3.22997403145,0 
67,2.58620689655,1,0,1,3.73567914963,0 
68,2.58620689655,1,1,0,3.40016293526,0 
69,9.8275862069,1,0,1,3.02388286591,0 
70,13.9655172414,1,1,0,2.96485710144,0 
71,8.79310344828,1,1,1,2.93990397453,0 
72,11.8965517241,1,1,0,2.95039701462,0 
73,5.68965517241,1,0,0,3.38466501236,0 
74,13.9655172414,1,1,1,3.18395018578,0 
75,2.58620689655,1,1,1,3.79982805252,0 
76,2.58620689655,1,0,0,2.96483421326,0 
77,8.79310344828,1,0,0,3.03505015373,0 
78,9.8275862069,0,0,1,3.06385493279,0 
79,4.65517241379,0,1,0,3.24792289734,0 
80,4.65517241379,1,0,0,3.47202277184,0 
81,13.9655172414,1,1,1,2.93463015556,0 
82,7.75862068966,1,1,0,2.96499705315,0 
83,9.8275862069,1,0,0,3.20415592194,0 
84,2.58620689655,1,1,1,4.0078060627,0 
85,13.9655172414,1,0,1,2.9918949604,0 
86,5.68965517241,1,1,0,3.15192484856,0 
87,10.8620689655,1,1,0,2.96253108978,0 
88,11.8965517241,1,0,1,2.98914003372,0 
89,2.58620689655,1,0,1,3.32788181305,0 
90,5.68965517241,1,0,0,2.96565198898,0 
91,11.8965517241,1,1,0,2.96472406387,0 
92,1.55172413793,1,0,0,2.95394396782,0 
93,8.79310344828,1,0,1,3.0353808403,0 
94,6.72413793103,1,0,0,2.93598294258,0 
95,9.8275862069,1,1,0,2.94639110565,0 
96,8.79310344828,1,1,0,2.96500301361,0 
97,13.9655172414,1,0,0,2.95179820061,0 
98,7.75862068966,1,1,1,2.94193482399,0 
99,2.58620689655,1,0,1,3.19448208809,0 
100,12.9310344828,1,0,0,2.95833611488,0 
101,8.79310344828,1,0,1,2.94224691391,0 
102,4.65517241379,1,0,1,4.14713716507,0 
103,12.9310344828,1,1,1,2.93539905548,0 
104,8.79310344828,1,0,0,3.12838983536,0 
105,0.51724137931,1,1,0,2.95404291153,0 
106,11.8965517241,0,1,0,2.95319104195,0 
107,10.8620689655,1,0,1,2.94978690147,0 
108,12.9310344828,1,0,0,3.07872200012,0 
109,7.75862068966,1,1,1,2.93672013283,0 
110,11.8965517241,1,0,0,2.96459794044,0 
111,11.8965517241,1,0,0,3.13848090172,0 
112,12.9310344828,0,1,1,2.93578314781,0 
113,6.72413793103,0,0,1,3.24797201157,0 
114,9.8275862069,1,0,1,3.12796497345,0 
115,13.9655172414,1,0,0,3.03195405006,0 
116,5.68965517241,1,0,0,3.1117348671,0 
117,8.79310344828,0,1,0,2.94880795479,0 
118,11.8965517241,1,0,0,3.21927499771,0 
119,6.72413793103,1,1,0,2.95735502243,0 
120,4.65517241379,1,1,1,3.89843583107,0 
121,5.68965517241,1,1,1,2.94843292236,0 
122,4.65517241379,1,1,0,2.95297598839,0 
123,9.8275862069,1,0,1,3.24241113663,0 
124,1.55172413793,1,0,1,3.24772787094,0 
125,0.51724137931,1,0,1,3.56007385254,0 
126,6.72413793103,1,0,1,3.15994596481,0 
127,12.9310344828,1,1,0,3.14391589165,0 
128,12.9310344828,1,0,1,3.0800049305,0 
129,3.62068965517,0,0,1,3.47180390358,0 
130,3.62068965517,1,0,0,3.2080271244,0 
131,1.55172413793,1,1,0,2.94653606415,0 
132,10.8620689655,1,1,1,3.045181036,0 
133,9.8275862069,1,0,1,3.11193013191,0 
134,13.9655172414,1,1,1,3.21592402458,0 
135,9.8275862069,1,0,1,3.19193887711,0 
136,7.75862068966,1,1,1,3.2079398632,0 
137,0.51724137931,1,1,0,3.10397481918,0 
138,13.9655172414,1,0,1,3.03190302849,0 
139,12.9310344828,1,0,1,3.11182498932,0 
140,10.8620689655,1,1,1,3.23996496201,0 
141,0.51724137931,1,1,0,3.27195000648,0 
142,7.75862068966,1,1,0,3.3118929863,0 
143,7.75862068966,1,1,0,2.99199008942,0 
144,9.8275862069,1,1,1,3.46383404732,0 
145,4.65517241379,1,0,0,2.97595095634,0 
146,10.8620689655,1,0,0,2.99203491211,0 
147,8.79310344828,1,0,0,3.27185797691,0 
148,11.8965517241,1,1,0,3.47190999985,0 
149,8.79310344828,1,1,0,3.19191908836,0 
