# Time : Tue Jun 21 16:30:28 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : LL 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf406490> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf4063c8> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,12.9310344828,1,1,1,3.29560494423,0 
1,13.9655172414,1,0,1,3.11181592941,0 
2,6.72413793103,1,1,0,2.96063089371,0 
3,7.75862068966,1,0,1,3.18345093727,0 
4,9.8275862069,1,0,0,3.00797891617,0 
5,8.79310344828,1,0,1,3.29583692551,0 
6,5.68965517241,1,1,0,2.99172592163,0 
7,7.75862068966,1,1,1,3.22411417961,0 
8,4.65517241379,1,0,0,2.96868395805,0 
9,12.9310344828,1,1,0,2.96518993378,0 
10,12.9310344828,1,0,0,3.03399777412,0 
11,3.62068965517,1,1,0,2.9533560276,0 
12,3.62068965517,1,0,1,3.54246091843,0 
13,5.68965517241,0,0,1,3.52784895897,0 
14,11.8965517241,1,1,0,3.04798817635,0 
15,1.55172413793,0,1,1,3.67986989021,0 
16,11.8965517241,1,0,0,2.95668292046,0 
17,8.79310344828,0,0,1,2.95284199715,0 
18,4.65517241379,1,0,1,2.97016882896,0 
19,7.75862068966,1,0,0,2.94775104523,0 
20,1.55172413793,1,0,0,2.96482300758,0 
21,12.9310344828,1,0,0,3.06330990791,0 
22,7.75862068966,1,1,0,3.31181406975,0 
23,11.8965517241,1,1,1,3.17589712143,0 
24,8.79310344828,1,1,1,2.93181300163,0 
25,10.8620689655,1,1,0,2.96487522125,0 
26,9.8275862069,1,0,1,2.96708202362,0 
27,10.8620689655,1,1,0,3.06393384933,0 
28,13.9655172414,1,0,1,3.27191901207,0 
29,11.8965517241,1,1,0,3.0879919529,0 
30,5.68965517241,1,0,0,3.02392911911,0 
31,9.8275862069,1,1,1,2.95078086853,0 
32,4.65517241379,1,0,1,3.77699398994,0 
33,0.51724137931,0,1,1,3.54389214516,0 
34,13.9655172414,1,1,1,3.1759250164,0 
35,2.58620689655,0,0,0,3.23192977905,0 
36,6.72413793103,1,0,1,3.07191705704,0 
37,10.8620689655,1,1,0,2.99193096161,0 
38,11.8965517241,1,0,1,3.34397315979,0 
39,2.58620689655,1,1,0,3.34394001961,0 
40,4.65517241379,1,0,1,3.2398250103,0 
41,13.9655172414,1,1,0,2.96374702454,0 
42,12.9310344828,1,0,1,3.26009893417,0 
43,13.9655172414,1,0,1,3.23195195198,0 
44,3.62068965517,1,1,0,3.27202677727,0 
45,4.65517241379,0,1,0,3.50380921364,0 
46,9.8275862069,1,1,0,3.30398702621,0 
47,6.72413793103,1,1,1,3.69596004486,0 
48,0.51724137931,1,0,0,3.03982877731,0 
49,4.65517241379,1,1,1,3.33594608307,0 
50,2.58620689655,1,1,1,3.32793307304,0 
51,7.75862068966,1,1,1,2.94904279709,0 
52,3.62068965517,1,1,1,3.20280385017,0 
53,6.72413793103,1,0,0,3.11993908882,0 
54,2.58620689655,1,1,0,3.03990292549,0 
55,1.55172413793,1,1,1,3.71178483963,0 
56,5.68965517241,1,1,0,2.9493291378,0 
57,6.72413793103,1,1,1,3.0584230423,0 
58,13.9655172414,1,1,0,2.95334100723,0 
