# Time : Tue Jun 21 16:40:10 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : LL 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xdecb378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xdecb490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,9.8275862069,1,1,1,3.27576303482,0 
1,4.65517241379,0,0,0,3.45589995384,0 
2,0.51724137931,1,1,1,3.03992199898,0 
3,0.51724137931,1,1,1,2.95007109642,0 
4,8.79310344828,1,0,0,2.96497511864,0 
5,12.9310344828,1,0,1,3.26868200302,0 
6,1.55172413793,1,1,1,3.08786988258,0 
7,7.75862068966,1,0,0,3.08795285225,0 
8,6.72413793103,1,1,0,3.16798496246,0 
9,10.8620689655,1,0,0,3.02389001846,0 
10,13.9655172414,1,1,0,2.96410012245,0 
11,0.51724137931,1,0,1,3.65179991722,0 
12,1.55172413793,1,1,0,2.94905209541,0 
13,1.55172413793,1,0,0,2.96491980553,0 
14,5.68965517241,0,0,1,3.82978010178,0 
15,11.8965517241,1,0,0,2.95185303688,0 
16,9.8275862069,1,1,0,2.94810700417,0 
17,8.79310344828,1,1,0,2.96496701241,0 
18,12.9310344828,1,0,1,3.17472982407,0 
19,4.65517241379,1,1,1,3.3279299736,0 
20,1.55172413793,1,1,1,3.11998081207,0 
21,2.58620689655,1,0,0,3.15995788574,0 
22,10.8620689655,1,0,1,3.36779499054,0 
23,3.62068965517,1,0,1,3.31992793083,0 
24,3.62068965517,1,0,0,2.9541079998,0 
25,13.9655172414,1,0,0,2.96591210365,0 
26,12.9310344828,1,0,1,3.26360702515,0 
27,12.9310344828,1,0,1,3.10400795937,0 
28,8.79310344828,1,0,0,3.41583800316,0 
29,0.51724137931,1,1,1,3.91210913658,0 
30,6.72413793103,1,0,1,3.30369710922,0 
31,3.62068965517,1,1,1,3.51209282875,0 
32,12.9310344828,1,0,0,3.3518807888,0 
33,11.8965517241,1,0,1,3.83996200562,0 
34,8.79310344828,1,1,1,3.67993092537,0 
35,2.58620689655,1,0,0,3.35202407837,0 
36,4.65517241379,1,0,0,3.3118391037,0 
37,0.51724137931,1,0,1,3.68779993057,0 
38,11.8965517241,1,0,0,3.49608922005,0 
39,10.8620689655,1,1,0,3.57589197159,0 
40,7.75862068966,1,0,1,3.70369195938,0 
41,7.75862068966,1,1,0,4.21622300148,0 
42,12.9310344828,1,1,1,3.26383900642,0 
43,5.68965517241,1,1,0,3.60793590546,0 
44,13.9655172414,1,0,1,3.27192282677,0 
45,2.58620689655,1,0,1,3.77579212189,0 
46,12.9310344828,1,1,0,2.95721483231,0 
