# Time : Sat Jun  4 16:38:51 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : MY 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xd72b7d8> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xd72b828> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,2.58620689655,1,1,1,4.70938205719,0 
1,13.9655172414,1,0,1,5.64790797234,0 
2,12.9310344828,1,1,0,5.22402000427,0 
3,12.9310344828,1,0,1,4.15184187889,0 
4,6.72413793103,0,1,1,6.29600310326,0 
5,7.75862068966,1,1,1,4.2638759613,0 
6,7.75862068966,0,0,1,6.09582901001,0 
7,10.8620689655,1,0,0,4.10408687592,0 
8,10.8620689655,0,1,0,4.91178297997,0 
9,1.55172413793,1,1,1,4.37601613998,0 
10,4.65517241379,0,0,1,4.53593301773,0 
11,5.68965517241,1,0,1,4.33589410782,0 
12,4.65517241379,1,0,1,6.54397010803,0 
13,3.62068965517,0,1,1,5.60001516342,0 
14,4.65517241379,0,0,1,3.97561883926,0 
15,13.9655172414,1,0,1,5.96817398071,0 
16,9.8275862069,0,1,1,5.89594888687,0 
17,0.51724137931,0,0,1,7.71192383766,0 
18,2.58620689655,1,0,1,3.97593092918,0 
19,10.8620689655,0,1,0,7.90399503708,0 
20,13.9655172414,1,1,0,5.23978114128,0 
21,2.58620689655,1,1,0,4.69604587555,0 
22,5.68965517241,1,1,0,4.16779994965,0 
23,11.8965517241,1,1,0,6.70398187637,0 
24,3.62068965517,1,1,0,5.06373095512,0 
25,7.75862068966,0,0,0,9.16013407707,1 
26,11.8965517241,0,1,1,4.83998703957,0 
27,12.9310344828,0,0,0,4.73589301109,0 
28,11.8965517241,1,0,1,5.34382891655,0 
29,5.68965517241,1,0,0,14.056178093,0 
30,6.72413793103,0,1,1,4.71984195709,0 
31,2.58620689655,1,1,0,4.79988908768,0 
32,11.8965517241,1,1,1,4.51194214821,0 
33,13.9655172414,0,0,1,4.25580191612,0 
34,5.68965517241,1,0,1,5.23204779625,0 
35,6.72413793103,1,0,0,6.56808900833,0 
36,8.79310344828,1,0,1,4.67181921005,0 
37,3.62068965517,1,0,0,6.43988895416,1 
38,10.8620689655,1,1,0,5.25604510307,0 
39,9.8275862069,1,1,1,3.9118168354,0 
40,6.72413793103,1,1,1,4.19991111755,0 
41,11.8965517241,0,1,0,4.8238658905,1 
42,13.9655172414,1,1,1,4.63996100426,0 
43,10.8620689655,0,1,0,5.58410310745,1 
44,10.8620689655,0,0,0,5.54375195503,1 
45,8.79310344828,1,0,1,4.35992503166,0 
46,13.9655172414,1,0,0,4.34396100044,0 
47,3.62068965517,0,1,1,4.30391001701,0 
48,10.8620689655,1,1,1,3.93578481674,0 
49,10.8620689655,1,1,0,4.14415693283,0 
50,4.65517241379,1,1,1,4.4715089798,0 
51,3.62068965517,0,1,0,6.01617789268,1 
52,0.51724137931,0,0,1,3.96000909805,0 
53,12.9310344828,0,1,0,4.60817599297,0 
54,4.65517241379,1,0,0,4.63148903847,0 
55,2.58620689655,1,0,1,5.52010297775,0 
56,2.58620689655,1,0,1,5.89595484734,0 
57,12.9310344828,0,1,0,6.88805222511,0 
58,7.75862068966,0,0,0,4.14383292198,0 
59,6.72413793103,0,0,1,4.86395907402,0 
60,9.8275862069,0,1,1,3.94391012192,0 
61,12.9310344828,0,0,0,4.86399102211,0 
62,1.55172413793,1,0,1,7.65592002869,0 
63,3.62068965517,1,0,1,4.92791414261,0 
64,13.9655172414,0,1,0,7.63991785049,0 
65,3.62068965517,1,0,0,6.07999014854,0 
66,0.51724137931,0,0,1,5.77585196495,0 
67,13.9655172414,0,1,1,4.06395697594,0 
68,8.79310344828,0,0,1,4.89593601227,0 
69,11.8965517241,0,1,1,5.03990602493,0 
70,1.55172413793,1,0,0,7.24794602394,0 
71,5.68965517241,1,0,1,3.83193993568,0 
72,3.62068965517,0,1,1,4.39995908737,0 
73,9.8275862069,0,0,1,4.04786300659,0 
74,5.68965517241,1,0,1,5.30396318436,0 
75,5.68965517241,1,0,0,7.31194210052,0 
76,8.79310344828,1,1,0,5.08785390854,0 
77,9.8275862069,0,1,1,4.64799880981,0 
78,4.65517241379,1,1,1,4.87991595268,0 
79,0.51724137931,1,1,0,6.35196304321,0 
80,8.79310344828,1,0,0,5.52791285515,0 
81,4.65517241379,0,0,0,4.31194591522,0 
82,4.65517241379,1,0,1,5.75186300278,0 
83,1.55172413793,1,0,1,5.25595498085,0 
84,3.62068965517,0,0,0,5.07990694046,0 
85,12.9310344828,0,1,0,4.30397081375,0 
86,10.8620689655,0,0,1,4.57584905624,1 
87,7.75862068966,1,0,1,4.15136814117,0 
88,6.72413793103,0,1,1,4.75207686424,0 
89,11.8965517241,0,0,0,6.68795609474,0 
90,9.8275862069,0,1,1,4.15988898277,0 
91,8.79310344828,0,0,1,4.43979501724,0 
92,8.79310344828,0,1,0,4.23215603828,0 
93,12.9310344828,1,1,1,4.21582603455,0 
94,0.51724137931,0,0,1,4.35992288589,0 
95,4.65517241379,0,1,0,4.70394086838,0 
96,11.8965517241,1,1,1,4.5519220829,0 
97,4.65517241379,1,1,1,5.01593780518,0 
98,6.72413793103,1,0,0,5.06399106979,0 
99,7.75862068966,1,0,1,4.69579601288,0 
100,7.75862068966,0,0,0,4.91196298599,0 
101,9.8275862069,1,1,1,4.03976082802,0 
102,1.55172413793,0,1,1,4.32807421684,0 
103,10.8620689655,1,1,1,4.50389003754,0 
104,3.62068965517,1,0,1,4.33594703674,0 
105,13.9655172414,1,1,0,8.12798714638,0 
106,5.68965517241,0,1,0,8.66389489174,0 
107,11.8965517241,1,1,1,4.36803603172,0 
108,8.79310344828,0,0,1,4.75978803635,0 
109,13.9655172414,1,0,0,21.0641210079,0 
110,6.72413793103,0,0,0,4.12784790993,0 
111,2.58620689655,0,1,1,4.35173296928,0 
112,0.51724137931,1,0,0,3.82414388657,0 
113,1.55172413793,1,0,1,4.48789787292,0 
114,7.75862068966,0,0,1,5.75189495087,0 
115,7.75862068966,1,0,0,4.45589613914,0 
116,11.8965517241,1,1,0,4.86404800415,0 
117,9.8275862069,1,0,0,4.31987500191,0 
118,6.72413793103,1,0,0,3.79994988441,0 
119,0.51724137931,1,0,0,4.23989701271,0 
120,9.8275862069,0,0,0,4.07200694084,0 
121,1.55172413793,1,0,1,3.98380994797,0 
122,12.9310344828,1,0,0,3.79200005531,0 
123,0.51724137931,1,1,0,5.95200991631,0 
124,2.58620689655,1,0,0,4.28784203529,0 
125,11.8965517241,1,0,0,4.39198708534,0 
126,7.75862068966,1,0,0,3.8959069252,0 
127,5.68965517241,1,0,0,4.22397589684,0 
128,5.68965517241,1,0,1,4.75186300278,0 
129,1.55172413793,1,1,0,3.96790885925,0 
130,4.65517241379,0,1,0,3.83995509148,0 
131,12.9310344828,0,0,0,4.17588496208,0 
132,8.79310344828,1,0,1,6.9598698616,0 
133,8.79310344828,0,1,1,4.41605591774,0 
134,6.72413793103,1,0,0,3.93597006798,0 
135,12.9310344828,1,1,1,6.28789615631,0 
136,1.55172413793,0,0,1,4.69586110115,0 
137,0.51724137931,1,0,1,5.2878241539,0 
138,8.79310344828,1,0,0,4.58398389816,0 
139,9.8275862069,0,1,0,4.4880490303,0 
140,2.58620689655,1,1,1,4.19984698296,0 
141,0.51724137931,0,0,1,5.46399092674,0 
142,6.72413793103,0,1,0,4.10385990143,0 
143,1.55172413793,1,1,0,4.11987900734,0 
144,7.75862068966,1,1,1,4.07193303108,0 
145,2.58620689655,1,1,0,4.05587005615,0 
146,10.8620689655,1,0,0,3.95197510719,0 
147,5.68965517241,0,0,1,4.25593686104,0 
148,9.8275862069,0,1,0,4.15208601952,0 
149,13.9655172414,0,0,1,4.47978901863,0 
