# Time : Sat Jun  4 16:55:44 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : MY 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf6a7378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf6a7490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,9.8275862069,1,1,0,3.82342410088,0 
1,6.72413793103,1,0,0,3.62396788597,0 
2,1.55172413793,1,0,1,4.16783905029,0 
3,7.75862068966,1,1,0,4.31199908257,0 
4,4.65517241379,1,0,1,5.75183820724,0 
5,9.8275862069,0,0,0,3.91196799278,0 
6,2.58620689655,0,1,0,4.99197387695,0 
7,9.8275862069,0,0,1,3.81585407257,0 
8,10.8620689655,0,1,1,4.24785089493,0 
9,13.9655172414,1,1,0,4.1600818634,0 
10,8.79310344828,1,0,0,4.08784294128,0 
11,3.62068965517,1,0,1,4.25587320328,0 
12,13.9655172414,0,0,1,3.91196107864,0 
13,0.51724137931,0,1,0,4.67199993134,0 
14,1.55172413793,0,0,1,4.1198348999,0 
15,12.9310344828,0,1,1,4.67195105553,0 
16,0.51724137931,1,1,1,4.08790397644,0 
17,10.8620689655,1,0,0,4.35995388031,0 
18,10.8620689655,0,1,0,4.84802103043,0 
19,8.79310344828,1,1,1,4.13585996628,0 
20,10.8620689655,0,0,1,3.76786994934,0 
21,5.68965517241,1,0,0,4.14392900467,0 
22,0.51724137931,1,1,1,4.15990710258,0 
23,3.62068965517,1,0,1,5.31194114685,0 
24,1.55172413793,0,1,1,4.49584197998,0 
25,1.55172413793,1,1,1,5.5200278759,0 
26,13.9655172414,0,1,1,4.34389686584,0 
27,9.8275862069,1,1,0,4.86396098137,0 
28,8.79310344828,1,1,0,4.37585616112,0 
29,4.65517241379,0,1,1,4.56792807579,0 
30,12.9310344828,1,1,1,4.75993108749,0 
31,8.79310344828,1,0,0,4.64799594879,0 
32,1.55172413793,1,1,0,4.71189594269,0 
33,0.51724137931,0,1,1,4.91992712021,0 
34,2.58620689655,1,1,1,4.18390703201,0 
35,4.65517241379,1,1,0,4.00797891617,0 
36,6.72413793103,1,0,0,6.30395293236,0 
37,5.68965517241,0,1,1,4.27984595299,0 
38,5.68965517241,0,0,1,4.84792804718,0 
39,11.8965517241,0,1,1,4.38395380974,0 
40,12.9310344828,1,1,1,6.8399310112,0 
41,11.8965517241,1,0,1,4.66388201714,0 
42,4.65517241379,1,0,1,4.27193593979,0 
43,3.62068965517,0,1,1,4.50377297401,0 
44,12.9310344828,1,1,0,3.8561270237,0 
45,13.9655172414,0,1,0,4.3919570446,0 
46,11.8965517241,0,1,1,4.12787699699,0 
47,1.55172413793,1,0,0,4.27989697456,0 
48,10.8620689655,1,1,1,4.07993292809,0 
49,9.8275862069,1,0,0,4.19998478889,0 
50,10.8620689655,1,0,0,4.14389204979,0 
51,8.79310344828,1,1,0,4.17600393295,0 
52,13.9655172414,0,1,1,4.11986804008,0 
53,11.8965517241,1,1,1,4.03190898895,0 
54,6.72413793103,0,1,0,6.07988500595,1 
55,4.65517241379,0,0,0,5.03202104568,0 
56,6.72413793103,0,1,0,4.43983912468,0 
57,0.51724137931,1,1,1,5.2799808979,0 
58,6.72413793103,1,0,0,3.89595413208,0 
59,8.79310344828,1,0,0,5.59989595413,0 
60,12.9310344828,0,0,1,4.99991989136,0 
61,3.62068965517,1,0,1,4.87190485001,0 
62,6.72413793103,1,0,1,4.14394807816,0 
63,11.8965517241,0,0,0,4.23202109337,0 
64,12.9310344828,0,1,0,3.99985003471,0 
65,5.68965517241,0,0,1,5.47989606857,0 
66,7.75862068966,0,1,1,4.4559211731,0 
67,0.51724137931,1,1,0,4.08796906471,0 
68,10.8620689655,0,0,0,4.05587601662,0 
69,10.8620689655,1,0,0,5.0000398159,0 
70,10.8620689655,0,1,1,4.9838449955,0 
71,9.8275862069,0,0,0,4.75196099281,0 
72,12.9310344828,1,0,1,4.55190300941,0 
73,3.62068965517,0,1,1,4.2159280777,0 
74,8.79310344828,1,1,0,4.98398804665,0 
75,2.58620689655,1,0,0,3.83182191849,0 
76,9.8275862069,0,0,0,3.84801006317,0 
77,9.8275862069,1,0,1,5.80789709091,0 
78,0.51724137931,1,1,1,4.19997620583,0 
79,11.8965517241,1,0,1,4.0878329277,0 
80,13.9655172414,1,0,0,6.77593207359,0 
81,8.79310344828,0,0,1,4.6639509201,0 
82,7.75862068966,1,0,1,4.27194190025,0 
83,6.72413793103,1,0,1,39.7681558132,0 
84,9.8275862069,1,1,1,4.72787380219,0 
85,2.58620689655,0,1,1,4.00792813301,0 
86,3.62068965517,1,0,1,4.67187786102,0 
87,0.51724137931,1,1,0,4.54362297058,0 
88,13.9655172414,1,0,1,6.94390201569,0 
89,3.62068965517,1,1,1,4.19192886353,0 
90,2.58620689655,0,1,0,4.54400587082,0 
91,2.58620689655,1,0,1,4.0718870163,0 
92,3.62068965517,1,1,1,5.40792822838,0 
93,5.68965517241,0,1,0,4.25599908829,0 
94,6.72413793103,1,1,0,3.79984498024,0 
95,9.8275862069,0,0,1,3.95997095108,0 
96,12.9310344828,0,0,1,4.39181208611,0 
97,2.58620689655,1,0,0,3.97602915764,0 
98,7.75862068966,1,0,0,6.15188598633,0 
99,2.58620689655,1,0,0,6.12000608444,0 
100,5.68965517241,0,1,1,5.59990406036,0 
101,2.58620689655,1,0,0,6.42395591736,0 
102,1.55172413793,0,0,1,4.57588982582,0 
103,7.75862068966,1,1,0,4.67980480194,0 
104,8.79310344828,0,1,1,5.66407990456,0 
105,3.62068965517,1,1,1,4.39194703102,0 
106,4.65517241379,1,1,0,4.07992601395,0 
107,10.8620689655,1,1,0,4.52796006203,0 
108,0.51724137931,1,0,1,15.6321599483,0 
109,7.75862068966,1,1,1,5.43173694611,0 
110,12.9310344828,1,0,0,4.33588790894,0 
111,4.65517241379,1,1,1,3.80796694756,0 
112,4.65517241379,1,0,0,3.98395895958,0 
113,1.55172413793,1,1,0,3.88785099983,0 
114,1.55172413793,1,1,0,3.72780299187,0 
115,13.9655172414,0,1,0,4.09603404999,0 
