# Time : Sat Jun  4 17:28:58 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : MY 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xdf2b378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xdf2b490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,13.9655172414,0,1,1,6.80902194977,0 
1,13.9655172414,0,0,0,4.47991895676,0 
2,6.72413793103,1,0,1,4.24791002274,0 
3,10.8620689655,0,0,0,15.9999630451,0 
4,10.8620689655,0,1,1,5.74385404587,0 
5,3.62068965517,1,1,0,4.7519800663,0 
6,7.75862068966,1,1,0,4.03168106079,0 
7,5.68965517241,0,1,0,4.31214880943,0 
8,2.58620689655,1,1,0,4.6958770752,0 
9,10.8620689655,1,0,1,3.71992588043,0 
10,8.79310344828,1,1,1,4.91193914413,0 
11,8.79310344828,0,1,1,4.1679110527,0 
12,6.72413793103,1,1,1,4.2639670372,0 
13,7.75862068966,1,0,0,4.13596200943,0 
14,6.72413793103,1,0,0,3.85594797134,0 
15,5.68965517241,1,0,0,4.55985617638,0 
16,4.65517241379,1,0,0,3.76776695251,0 
17,10.8620689655,0,0,0,4.56009912491,0 
18,13.9655172414,0,1,0,3.92796492577,0 
19,0.51724137931,1,0,0,3.71990704536,0 
20,9.8275862069,1,1,1,3.70380783081,0 
21,9.8275862069,1,0,1,3.74398899078,0 
22,8.79310344828,0,0,0,5.1999630928,0 
23,8.79310344828,0,1,0,3.75194811821,0 
24,5.68965517241,0,0,1,3.91191196442,0 
25,7.75862068966,1,0,0,3.68796110153,0 
26,4.65517241379,0,1,1,3.87986016273,0 
27,6.72413793103,1,1,1,8.33597493172,0 
28,9.8275862069,1,0,1,4.90369200706,0 
29,10.8620689655,1,0,0,3.93612003326,0 
30,9.8275862069,0,0,1,3.61589789391,0 
31,2.58620689655,1,0,0,3.69577312469,1 
32,10.8620689655,1,0,0,3.56811213493,0 
33,1.55172413793,1,1,0,3.43198990822,0 
34,3.62068965517,0,1,1,4.29579305649,1 
35,1.55172413793,0,0,0,3.79200601578,0 
36,12.9310344828,0,1,1,3.5758190155,0 
37,4.65517241379,0,0,1,3.91996002197,0 
38,0.51724137931,0,1,1,4.18391418457,0 
39,2.58620689655,1,0,1,4.43993902206,0 
