# Time : Sat May 28 15:28:11 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : SC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xed873f0> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xed87418> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,11.8965517241,0,0,0,4.63283205032,0 
1,2.58620689655,1,0,0,3.71981906891,0 
2,10.8620689655,1,1,1,3.96796512604,0 
3,4.65517241379,0,0,0,5.22398495674,0 
4,9.8275862069,0,1,1,4.87987303734,0 
5,3.62068965517,1,0,0,5.19188404083,0 
6,8.79310344828,1,0,0,3.84793186188,0 
7,1.55172413793,1,1,0,5.34361195564,0 
8,9.8275862069,0,0,1,4.6641972065,0 
9,3.62068965517,1,1,0,3.43198800087,0 
10,9.8275862069,1,1,0,3.46402406693,0 
11,11.8965517241,0,1,0,3.68781995773,0 
12,2.58620689655,1,0,0,4.0879471302,0 
13,0.51724137931,1,0,0,6.67189192772,0 
14,1.55172413793,1,0,1,4.28778600693,0 
15,8.79310344828,1,0,0,3.94411587715,0 
16,8.79310344828,0,1,0,3.63194298744,0 
17,6.72413793103,1,1,1,3.42372393608,0 
18,12.9310344828,0,1,1,4.31194901466,0 
19,3.62068965517,1,0,0,4.0961098671,0 
20,13.9655172414,1,0,0,4.60786414146,0 
21,8.79310344828,1,0,0,3.68801188469,0 
22,13.9655172414,1,0,0,4.12797212601,0 
23,9.8275862069,1,1,1,3.4958088398,0 
24,13.9655172414,0,1,0,4.07205510139,0 
25,12.9310344828,1,0,1,4.8478140831,0 
26,4.65517241379,1,0,0,5.25595402718,0 
27,10.8620689655,0,1,1,4.65588998795,0 
28,1.55172413793,0,1,0,5.49603295326,0 
29,2.58620689655,1,0,1,3.97579407692,0 
30,1.55172413793,1,0,1,4.49607896805,0 
31,0.51724137931,1,1,1,3.64780402184,0 
32,3.62068965517,1,1,0,3.4718811512,0 
33,7.75862068966,1,1,0,3.46406006813,0 
34,8.79310344828,1,1,1,4.5278840065,0 
35,11.8965517241,0,0,1,5.14394497871,0 
36,1.55172413793,1,1,1,3.10386419296,0 
37,6.72413793103,1,0,1,3.91978001595,0 
38,11.8965517241,1,1,1,3.60806703568,0 
39,8.79310344828,1,0,1,4.55973315239,0 
40,9.8275862069,0,1,0,4.67223501205,0 
41,4.65517241379,0,0,1,4.91981387138,0 
42,12.9310344828,1,0,0,4.66393303871,0 
43,6.72413793103,0,0,1,4.86395907402,0 
44,13.9655172414,1,0,0,4.17604613304,0 
45,0.51724137931,1,0,1,4.29577612877,0 
46,0.51724137931,1,0,0,5.03204417229,0 
47,6.72413793103,1,0,0,4.27187609673,0 
48,6.72413793103,1,0,0,3.87194108963,0 
49,11.8965517241,1,0,1,5.31189203262,0 
50,10.8620689655,1,1,1,4.42401385307,0 
51,10.8620689655,1,0,0,3.75185608864,0 
52,12.9310344828,0,0,0,4.68790698051,0 
53,1.55172413793,1,0,0,4.45589709282,0 
54,4.65517241379,1,0,0,4.09585618973,0 
55,7.75862068966,1,1,0,3.40006399155,0 
56,7.75862068966,1,1,0,3.43185591698,0 
57,13.9655172414,1,1,0,3.59203100204,0 
58,9.8275862069,1,0,0,3.78394508362,0 
59,0.51724137931,1,0,1,5.15187621117,0 
60,5.68965517241,1,1,1,3.94390511513,0 
61,7.75862068966,0,1,1,4.6077671051,0 
62,3.62068965517,1,0,0,3.9041531086,0 
63,2.58620689655,0,0,1,4.07990312576,0 
64,5.68965517241,0,1,0,4.5920021534,0 
65,9.8275862069,0,1,0,4.7119038105,0 
66,13.9655172414,0,0,1,4.50387310982,0 
67,3.62068965517,1,1,1,4.44791698456,0 
68,5.68965517241,1,0,0,3.575922966,0 
69,10.8620689655,1,0,0,5.3280339241,0 
70,5.68965517241,1,1,0,4.00782394409,0 
71,9.8275862069,1,0,0,3.83209514618,0 
72,11.8965517241,1,1,0,4.03183507919,0 
73,6.72413793103,1,0,0,4.87190818787,0 
74,0.51724137931,1,0,1,4.86388301849,0 
75,5.68965517241,1,1,1,3.15997099876,0 
76,8.79310344828,1,0,1,3.67188000679,0 
77,6.72413793103,1,0,0,3.45596599579,0 
78,0.51724137931,1,0,0,4.2160141468,0 
79,10.8620689655,0,1,1,3.63184499741,0 
80,2.58620689655,1,1,1,3.29583096504,0 
81,11.8965517241,1,0,1,3.63206291199,0 
82,4.65517241379,1,0,1,3.85592794418,0 
83,3.62068965517,1,0,0,4.02393007278,0 
84,2.58620689655,1,0,0,3.91186094284,0 
85,12.9310344828,0,1,1,4.43202900887,0 
86,4.65517241379,0,1,0,5.81591105461,0 
87,12.9310344828,1,0,0,3.94347810745,0 
88,1.55172413793,1,0,0,4.00799584389,0 
89,8.79310344828,1,0,0,3.33584690094,0 
90,12.9310344828,1,0,1,4.44793510437,0 
91,4.65517241379,1,1,1,3.31193709373,0 
92,11.8965517241,1,1,1,3.36804509163,0 
93,6.72413793103,1,0,1,3.68773794174,0 
94,4.65517241379,1,0,0,3.68805599213,0 
95,6.72413793103,1,0,0,3.91987395287,0 
96,5.68965517241,1,1,1,3.84788489342,0 
97,2.58620689655,1,1,1,3.36790895462,0 
98,0.51724137931,1,0,0,3.74405002594,0 
99,2.58620689655,1,1,1,3.52783513069,0 
100,6.72413793103,1,0,1,4.61601901054,0 
101,13.9655172414,1,1,1,4.08801388741,0 
102,0.51724137931,0,1,1,3.65581011772,0 
103,3.62068965517,1,0,1,3.72789311409,0 
104,10.8620689655,1,0,1,3.9758939743,0 
105,3.62068965517,1,0,0,3.76800823212,0 
106,13.9655172414,1,0,1,4.21587896347,0 
107,11.8965517241,1,1,0,3.32802796364,0 
108,4.65517241379,1,1,0,4.76781392097,0 
109,7.75862068966,1,0,1,3.73588109016,0 
110,7.75862068966,1,0,1,3.58404994011,0 
111,11.8965517241,1,1,1,3.51180815697,0 
112,8.79310344828,0,1,1,4.21595406532,0 
113,11.8965517241,1,1,0,3.61600804329,0 
114,12.9310344828,1,0,0,3.74377298355,0 
115,7.75862068966,1,0,0,3.77614998817,0 
116,13.9655172414,1,0,0,3.63978099823,0 
117,1.55172413793,1,0,1,5.12007713318,0 
118,4.65517241379,1,1,1,3.95980000496,0 
119,6.72413793103,1,1,0,3.12799191475,0 
120,8.79310344828,1,0,0,4.30383682251,0 
121,7.75862068966,1,0,1,4.1999578476,0 
122,9.8275862069,1,1,0,3.86406111717,0 
123,1.55172413793,1,0,0,3.95168399811,0 
124,7.75862068966,1,1,1,4.40000295639,0 
125,5.68965517241,0,1,0,4.93604683876,0 
126,10.8620689655,1,0,1,3.74380302429,0 
127,5.68965517241,1,0,0,3.68798899651,0 
128,13.9655172414,0,1,0,4.04800605774,0 
129,2.58620689655,1,0,0,4.92785811424,0 
130,4.65517241379,0,1,0,5.49583888054,1 
131,8.79310344828,0,0,0,5.9760119915,0 
132,12.9310344828,1,0,0,4.48791313171,0 
133,7.75862068966,1,1,1,4.7598938942,0 
134,10.8620689655,1,0,0,3.88799309731,0 
135,13.9655172414,1,1,1,3.84785294533,0 
136,5.68965517241,1,1,0,4.19989490509,0 
137,0.51724137931,0,1,0,4.59201812744,0 
138,12.9310344828,0,0,1,3.56779503822,0 
139,10.8620689655,1,1,1,3.38391399384,0 
140,9.8275862069,1,0,0,3.58390808105,0 
141,5.68965517241,1,1,0,3.44804191589,0 
142,3.62068965517,1,1,1,3.46396589279,0 
143,5.68965517241,1,1,1,3.64781308174,0 
144,2.58620689655,0,1,1,3.38392710686,0 
145,1.55172413793,1,1,0,5.39197993279,0 
146,9.8275862069,1,0,0,3.8959569931,0 
147,7.75862068966,1,0,1,3.63186001778,0 
148,12.9310344828,1,0,1,4.23987102509,0 
149,10.8620689655,1,1,0,3.29590010643,0 
