# Time : Sat May 28 15:39:33 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : SC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xfc56670> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xfc56698> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,5.68965517241,1,1,1,3.38290715218,0 
1,13.9655172414,1,1,1,4.5679910183,0 
2,4.65517241379,1,0,0,3.32787489891,0 
3,6.72413793103,1,0,1,3.5999109745,0 
4,5.68965517241,1,0,1,3.63186216354,0 
5,1.55172413793,1,0,0,4.20004200935,0 
6,10.8620689655,0,1,1,3.83183479309,0 
7,11.8965517241,1,0,1,4.05595088005,0 
8,0.51724137931,1,0,0,3.70402407646,0 
9,13.9655172414,1,1,0,4.51190185547,0 
10,5.68965517241,1,0,0,3.41595697403,0 
11,0.51724137931,1,0,1,4.43980002403,0 
12,1.55172413793,1,0,0,4.87205600739,0 
13,11.8965517241,0,1,0,3.67987513542,0 
14,9.8275862069,0,1,0,3.44801402092,0 
15,7.75862068966,1,1,1,4.35987901688,0 
16,2.58620689655,1,0,0,3.63192987442,0 
17,12.9310344828,0,1,0,5.24800109863,0 
18,1.55172413793,1,1,0,4.27996611595,0 
19,0.51724137931,0,0,1,4.13570308685,0 
20,10.8620689655,0,1,0,4.11200404167,0 
21,11.8965517241,0,1,1,4.59986782074,0 
22,8.79310344828,1,1,0,5.57603812218,0 
23,13.9655172414,1,0,1,4.51983118057,0 
24,7.75862068966,1,0,1,4.13592791557,0 
25,9.8275862069,1,0,0,3.89597702026,0 
26,13.9655172414,0,1,0,3.92794799805,0 
27,7.75862068966,1,1,0,3.48794913292,0 
28,7.75862068966,1,0,0,3.69587206841,0 
