# Time : Sat May 28 16:02:16 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : SC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xed45378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xed45490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,12.9310344828,1,1,0,3.35056710243,0 
1,11.8965517241,0,1,1,9.05592298508,0 
2,6.72413793103,0,1,0,4.26393389702,0 
3,3.62068965517,1,0,0,6.31185889244,0 
4,11.8965517241,1,1,1,5.07192397118,0 
5,7.75862068966,1,0,1,3.77581620216,0 
6,7.75862068966,1,1,1,3.34404397011,0 
7,4.65517241379,1,0,1,3.59981799126,0 
8,9.8275862069,1,0,0,3.44004297256,0 
9,1.55172413793,0,1,0,4.14394617081,0 
10,0.51724137931,1,1,0,3.82385277748,0 
11,8.79310344828,1,0,1,4.18393206596,0 
12,12.9310344828,0,0,0,4.29599285126,0 
13,1.55172413793,1,0,0,9.63982200623,1 
14,6.72413793103,0,0,0,8.36004185677,0 
15,5.68965517241,1,0,0,5.35195016861,0 
16,9.8275862069,1,1,0,9.59192299843,0 
17,10.8620689655,0,0,1,4.86393213272,0 
18,6.72413793103,1,1,1,2.9514131546,0 
19,12.9310344828,1,0,1,3.61635708809,0 
20,2.58620689655,1,0,0,5.65594887733,0 
21,6.72413793103,1,1,0,3.13583612442,0 
22,13.9655172414,1,1,0,3.33577418327,0 
23,1.55172413793,1,1,0,3.70410609245,0 
24,9.8275862069,1,0,0,3.28008699417,0 
25,12.9310344828,0,1,1,3.51978492737,0 
26,3.62068965517,1,0,1,4.35191488266,0 
27,3.62068965517,1,0,1,4.15188312531,0 
28,8.79310344828,1,0,0,4.34406614304,0 
29,2.58620689655,0,0,1,4.15998888016,0 
30,9.8275862069,1,0,0,3.02382802963,0 
31,1.55172413793,1,0,1,5.67200803757,0 
32,7.75862068966,1,0,0,5.15995001793,0 
33,3.62068965517,1,1,0,2.96299099922,0 
34,7.75862068966,1,1,0,2.98088383675,0 
35,5.68965517241,1,1,1,3.1357998848,0 
36,2.58620689655,1,1,0,3.32013487816,0 
37,0.51724137931,1,1,1,3.35172820091,0 
38,3.62068965517,1,1,1,3.23992681503,0 
39,4.65517241379,1,1,1,3.29599189758,0 
40,9.8275862069,1,1,1,3.16786909103,0 
41,0.51724137931,1,0,1,3.66394400597,0 
42,3.62068965517,1,1,0,3.34401202202,0 
43,1.55172413793,1,1,1,4.39992189407,0 
44,8.79310344828,1,0,0,4.47188806534,0 
45,8.79310344828,1,1,1,3.06387901306,0 
46,13.9655172414,1,0,1,3.24790000916,0 
47,3.62068965517,1,0,1,3.57602095604,0 
48,3.62068965517,1,1,1,3.3278439045,0 
49,5.68965517241,1,0,0,3.8560218811,0 
50,0.51724137931,1,0,0,4.15986585617,0 
51,2.58620689655,1,0,1,3.5198199749,0 
52,1.55172413793,1,1,1,4.06400799751,0 
53,6.72413793103,0,1,0,3.47200083733,0 
54,10.8620689655,0,0,1,2.93273806572,0 
55,7.75862068966,1,1,0,3.98717212677,0 
56,4.65517241379,1,0,0,3.67189002037,0 
57,10.8620689655,1,0,1,3.71982502937,0 
58,9.8275862069,1,0,0,3.61585497856,0 
59,6.72413793103,1,0,1,3.35198497772,0 
60,1.55172413793,1,0,1,3.62396788597,0 
61,11.8965517241,1,1,0,3.44797992706,0 
62,6.72413793103,0,1,1,3.86374306679,0 
63,13.9655172414,1,0,0,3.20013403893,0 
64,4.65517241379,1,1,0,3.03192305565,0 
65,0.51724137931,1,1,0,5.20790314674,0 
66,12.9310344828,0,0,1,4.42361283302,0 
67,0.51724137931,1,0,0,3.28028702736,0 
68,9.8275862069,1,0,1,3.71976399422,0 
69,7.75862068966,1,0,1,4.20798611641,0 
70,13.9655172414,1,1,1,4.01599407196,0 
71,12.9310344828,1,0,0,3.31186699867,0 
72,2.58620689655,1,0,1,3.59986901283,0 
73,10.8620689655,1,1,0,2.99196004868,0 
74,10.8620689655,1,0,1,3.38392114639,0 
75,0.51724137931,1,1,1,3.34391093254,0 
76,11.8965517241,0,0,0,3.45595502853,0 
77,12.9310344828,0,0,1,3.51977515221,0 
78,11.8965517241,1,0,0,3.27221083641,0 
79,8.79310344828,1,1,0,3.35973310471,0 
80,7.75862068966,0,1,0,3.5519888401,0 
81,10.8620689655,1,1,1,2.93764305115,0 
82,5.68965517241,1,0,1,4.50207495689,0 
83,8.79310344828,1,1,1,3.55993199348,0 
84,10.8620689655,1,0,0,3.81596302986,0 
85,4.65517241379,1,1,1,3.07186603546,0 
86,5.68965517241,0,1,0,3.96004700661,0 
87,10.8620689655,1,1,1,3.74346995354,0 
88,3.62068965517,1,0,0,3.5359210968,0 
89,4.65517241379,1,1,1,3.09593009949,0 
90,8.79310344828,1,0,1,3.4801170826,0 
91,1.55172413793,1,0,0,3.25583600998,0 
92,5.68965517241,1,1,0,3.95183396339,0 
93,7.75862068966,0,1,0,3.89597010612,0 
94,2.58620689655,0,0,1,4.44789099693,0 
95,4.65517241379,1,0,0,3.47184705734,0 
96,0.51724137931,1,0,0,5.06393289566,1 
97,9.8275862069,1,1,1,6.70404982567,0 
98,7.75862068966,1,0,0,4.97591400146,0 
99,9.8275862069,0,1,1,3.47991704941,0 
100,5.68965517241,1,0,0,3.12801289558,0 
101,5.68965517241,1,1,1,3.81592702866,0 
102,2.58620689655,0,0,1,3.91987800598,0 
103,11.8965517241,1,0,0,5.64792585373,0 
104,9.8275862069,1,1,1,3.30394101143,0 
105,13.9655172414,1,1,0,4.24001383781,0 
106,13.9655172414,0,1,1,3.39980912209,0 
107,12.9310344828,1,1,0,3.55195999146,0 
108,6.72413793103,1,0,0,3.56804919243,0 
109,4.65517241379,0,0,0,2.99981999397,0 
110,2.58620689655,1,0,1,4.43987703323,0 
111,13.9655172414,1,0,1,3.7278740406,0 
112,8.79310344828,1,1,0,3.04006195068,0 
113,2.58620689655,1,1,0,2.96411705017,0 
114,13.9655172414,1,1,0,3.57968997955,0 
115,0.51724137931,0,1,1,3.54373311996,0 
116,6.72413793103,1,0,1,3.96014595032,0 
117,7.75862068966,1,1,1,2.95221996307,0 
118,8.79310344828,1,1,1,2.95382809639,0 
119,10.8620689655,1,1,1,3.38939189911,0 
120,11.8965517241,1,1,0,2.95144796371,0 
121,12.9310344828,1,1,0,2.95291614532,0 
122,1.55172413793,1,1,1,3.70366883278,0 
123,10.8620689655,1,1,0,3.28793311119,0 
124,13.9655172414,1,0,0,3.36790800095,0 
125,9.8275862069,0,1,0,3.6639881134,0 
126,8.79310344828,1,1,0,2.95981907845,0 
127,11.8965517241,0,0,1,3.99996805191,0 
128,7.75862068966,1,1,1,4.47991704941,0 
129,13.9655172414,1,0,1,3.4718940258,0 
130,4.65517241379,1,0,0,3.2320098877,0 
131,6.72413793103,1,1,1,3.83986091614,0 
132,13.9655172414,0,1,1,4.30403280258,0 
133,4.65517241379,1,1,0,3.72780609131,0 
134,8.79310344828,1,0,1,3.47191905975,0 
135,2.58620689655,0,1,1,4.57593202591,0 
136,12.9310344828,1,1,0,2.96334004402,0 
137,1.55172413793,1,0,0,3.08438897133,0 
138,5.68965517241,1,0,1,4.74408197403,0 
139,3.62068965517,1,1,1,3.12793087959,0 
140,5.68965517241,1,1,1,2.93874979019,0 
141,10.8620689655,0,1,0,3.58118510246,0 
142,11.8965517241,1,1,0,3.38398504257,0 
143,4.65517241379,1,1,1,3.15186405182,0 
144,0.51724137931,1,0,1,3.32786607742,0 
145,5.68965517241,0,1,0,4.66401004791,0 
146,6.72413793103,1,0,1,3.40782809258,0 
147,11.8965517241,1,1,0,3.75983285904,0 
148,12.9310344828,1,0,0,3.65622591972,0 
149,11.8965517241,1,0,1,3.79977607727,0 
