# Time : Sat May 28 16:16:08 2016#
# jitter : 0.08 
# iti : 0.2 
# demo : False 
# cue_size : [2, 2] 
# elem_size : 2.5 
# subject : SC 
# monitor : CRT_NEC_FE992 
# n_trials : 150 
# res : 128 
# cue_dur : 0.2 
# full_screen : True 
# middle_fix_dur : 0.5 
# rgb : [ 1.  1.  1.] 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0xf6a7378> 
# cue_to_ea : 0.6 
# elem_spacing : 1 
# fixation_size : 0.1 
# correct_sound : <psychopy.sound.SoundPygame instance at 0xf6a7490> 
# line_width : 5 
# mask_dur : 0.2 
# screen_number : 1 
# elems_per_row : 30 
# texture_dur : 0.15 
# sf : 4 
trial,target_ecc,correct,odd_first,neutral,rt,eye_moved 
0,12.9310344828,0,0,0,3.73267793655,0 
1,9.8275862069,1,0,0,3.89590811729,0 
2,1.55172413793,1,0,0,5.08795499802,0 
3,7.75862068966,1,0,0,4.02384996414,0 
4,9.8275862069,1,1,0,3.99198579788,0 
5,2.58620689655,1,0,0,4.00794506073,0 
6,12.9310344828,1,0,0,3.46389913559,0 
7,5.68965517241,1,1,1,3.7838909626,0 
8,11.8965517241,1,0,1,3.60790610313,0 
9,1.55172413793,1,0,0,3.80812311172,0 
10,0.51724137931,1,0,1,3.79974102974,0 
11,2.58620689655,0,0,0,4.14399504662,0 
12,11.8965517241,1,0,1,3.6318898201,0 
13,1.55172413793,1,1,1,2.94347500801,0 
14,6.72413793103,1,0,0,3.0804309845,0 
15,2.58620689655,1,1,1,3.09586000443,0 
16,6.72413793103,1,0,1,3.33591985703,0 
17,9.8275862069,1,1,0,3.61583209038,0 
18,4.65517241379,1,0,1,3.44009494781,0 
19,4.65517241379,1,0,0,3.44791984558,0 
20,13.9655172414,0,1,1,3.56783390045,0 
21,9.8275862069,1,0,1,3.61594605446,0 
22,2.58620689655,1,0,1,3.46401500702,0 
23,3.62068965517,1,1,1,3.31983208656,0 
24,8.79310344828,1,0,1,3.59989190102,0 
25,3.62068965517,1,1,0,3.67198801041,0 
26,6.72413793103,1,1,1,3.85593414307,0 
27,8.79310344828,0,1,1,3.5038459301,0 
28,5.68965517241,1,0,0,3.75986409187,0 
29,7.75862068966,1,1,0,3.04804396629,0 
30,0.51724137931,1,0,1,3.41590499878,0 
31,9.8275862069,1,0,0,3.6637609005,0 
32,0.51724137931,1,1,1,3.43206596375,0 
33,1.55172413793,0,1,0,3.74394011497,0 
34,0.51724137931,1,1,0,3.75997495651,0 
35,9.8275862069,0,1,0,4.65592098236,0 
36,3.62068965517,1,0,0,5.49591302872,0 
37,2.58620689655,0,0,0,4.33597493172,0 
38,1.55172413793,1,0,1,3.83186888695,0 
39,8.79310344828,1,0,1,4.20792412758,0 
40,3.62068965517,1,0,1,3.70401310921,0 
41,5.68965517241,1,1,1,3.62382698059,0 
42,4.65517241379,1,0,1,3.6718981266,0 
43,13.9655172414,1,1,0,4.03198504448,0 
44,8.79310344828,1,1,0,2.94865202904,0 
45,13.9655172414,0,1,0,4.01921010017,0 
46,8.79310344828,0,1,0,3.31963300705,0 
47,4.65517241379,1,0,0,4.42413306236,0 
48,9.8275862069,1,0,1,4.57599306107,0 
49,1.55172413793,1,1,0,3.34396505356,0 
50,6.72413793103,1,0,0,3.04793119431,0 
51,10.8620689655,1,1,1,3.99987006187,0 
52,12.9310344828,1,1,0,3.42391395569,0 
53,4.65517241379,1,0,0,3.48788094521,0 
54,1.55172413793,0,1,1,4.3679728508,0 
55,11.8965517241,0,0,0,3.45605897903,0 
56,5.68965517241,0,1,0,3.36778378487,0 
57,10.8620689655,1,0,0,3.82404494286,0 
58,4.65517241379,1,0,1,3.76775717735,0 
59,7.75862068966,0,0,0,4.78400802612,0 
60,5.68965517241,1,0,0,4.59995698929,0 
61,11.8965517241,0,0,0,5.04788684845,0 
62,13.9655172414,1,0,0,3.43996310234,0 
63,13.9655172414,1,0,0,3.75991296768,0 
64,5.68965517241,0,1,1,3.42384290695,0 
65,10.8620689655,1,0,0,3.54398703575,0 
66,0.51724137931,1,1,1,3.03183197975,0 
67,12.9310344828,1,1,0,3.2080039978,0 
68,9.8275862069,1,0,1,3.48787283897,0 
69,13.9655172414,1,1,0,3.18383288383,0 
70,5.68965517241,1,0,1,3.51201105118,0 
71,10.8620689655,1,1,1,3.43197607994,0 
72,3.62068965517,1,1,0,3.1118710041,0 
73,3.62068965517,1,1,1,3.67972302437,0 
74,7.75862068966,1,1,1,2.93398404121,0 
75,2.58620689655,1,0,0,3.51418304443,0 
76,4.65517241379,1,0,0,3.43977499008,0 
77,1.55172413793,1,1,1,2.94086408615,0 
78,4.65517241379,1,0,0,3.44301700592,0 
79,3.62068965517,1,0,1,3.51196694374,0 
80,6.72413793103,1,1,1,3.19178199768,0 
81,10.8620689655,1,1,1,3.04787707329,0 
82,1.55172413793,1,1,0,3.19200992584,0 
83,3.62068965517,1,0,0,3.28793787956,0 
84,4.65517241379,1,0,1,3.51187300682,0 
85,13.9655172414,1,0,0,3.40002703667,0 
86,0.51724137931,1,1,0,3.67201495171,0 
87,5.68965517241,1,1,1,2.99947404861,0 
88,10.8620689655,0,1,1,3.39986991882,0 
89,13.9655172414,0,0,1,3.32802295685,0 
90,6.72413793103,1,0,0,3.16789889336,0 
91,10.8620689655,0,0,1,4.20797801018,0 
92,10.8620689655,1,0,1,3.63992118835,0 
93,3.62068965517,1,1,1,3.28786993027,0 
94,12.9310344828,0,1,1,3.64791822433,0 
95,13.9655172414,1,0,0,3.07204318047,0 
96,11.8965517241,1,1,0,3.47188878059,0 
97,6.72413793103,1,0,1,3.7519030571,0 
98,6.72413793103,1,0,1,3.28785204887,0 
99,2.58620689655,1,1,0,3.45598101616,0 
100,10.8620689655,1,0,1,4.07996797562,0 
101,2.58620689655,1,1,0,3.48786687851,0 
102,8.79310344828,1,0,1,4.32796812057,0 
103,7.75862068966,1,1,0,3.32789516449,0 
104,12.9310344828,1,1,0,2.95586299896,0 
105,7.75862068966,1,1,1,3.05990386009,0 
106,9.8275862069,0,1,1,2.93897104263,0 
107,8.79310344828,1,1,1,3.8289167881,0 
108,2.58620689655,1,1,1,3.82394504547,0 
